feature,type,p,effect,detail
feature_057,multi,5.508704444729024e-98,0.10100778783711326,"rates: {0: 0.213, 1: 0.155, 2: 0.112}"
feature_011,cont,7.202186086293664e-39,-0.5687255803344771,mean(y=1)=3.383 mean(y=0)=3.952
feature_006,cont,9.5008253569381e-20,-2.0757494430745496,mean(y=1)=58.233 mean(y=0)=60.309
feature_035,binary,3.517791305592361e-18,0.05634641652586536,n1=3624 rate=0.221; n0=46376 rate=0.165
feature_063,cont,4.3726028613102294e-07,-0.5124958537855226,mean(y=1)=5.654 mean(y=0)=6.166
feature_099,cont,1.3036899432972359e-06,0.028894977799755583,mean(y=1)=3.825 mean(y=0)=3.796
feature_092,cont,1.2984770687798073e-05,-1.327213894001158,mean(y=1)=19.074 mean(y=0)=20.401
feature_093,binary,0.005638379954766785,0.017188385532239697,n1=4025 rate=0.185; n0=45975 rate=0.168
feature_005,cat,0.009594955601115278,0.025608204043933852,"rates: {'asian': 0.163, 'black': 0.157, 'hispanic': 0.167, 'other': 0.147, 'white': 0.173}"
feature_121,binary,0.024858654018723274,-0.013772815807450545,n1=4143 rate=0.156; n0=45857 rate=0.170
feature_014,binary,0.03148907628125756,0.007399138553241286,n1=20020 rate=0.173; n0=29980 rate=0.166
feature_084,cont,0.04998505580780711,1.1672457172224284,mean(y=1)=105.295 mean(y=0)=104.127
feature_012,binary,0.05066737851505928,-0.006677839619460474,n1=20997 rate=0.165; n0=29003 rate=0.172
feature_033,cont,0.052212623850039566,-0.0387003133718018,mean(y=1)=1.942 mean(y=0)=1.981
feature_111,binary,0.05675813979774225,-0.01077175068222161,n1=4983 rate=0.159; n0=45017 rate=0.170
feature_031,cont,0.057718843588070945,0.003799008881601118,mean(y=1)=1.060 mean(y=0)=1.056
feature_030,binary,0.06427585788671461,0.014406723736844818,n1=2512 rate=0.183; n0=47488 rate=0.168
feature_125,multi,0.07324149773261056,0.017391952942176714,"rates: {0: 0.174, 1: 0.164, 2: 0.167, 3: 0.168, 4: 0.157}"
feature_028,cont,0.09378267055598714,-0.2333700377729251,mean(y=1)=27.804 mean(y=0)=28.037
feature_045,multi,0.09495224987826897,0.022161714802555715,"rates: {0: 0.172, 1: 0.166, 2: 0.171, 3: 0.168, 4: 0.15}"
feature_054,cont,0.09892783421342158,-0.062389851939592234,mean(y=1)=2.178 mean(y=0)=2.241
feature_027,binary,0.10919351644771652,0.0059047996446480455,n1=15014 rate=0.173; n0=34986 rate=0.167
feature_020,cont,0.11117919178607488,0.011398297846825445,mean(y=1)=1.814 mean(y=0)=1.803
feature_091,binary,0.11482616732718787,-0.027919047278487236,n1=488 rate=0.141; n0=49512 rate=0.169
feature_075,binary,0.12001948571117892,0.005499906367293889,n1=17601 rate=0.173; n0=32399 rate=0.167
feature_016,binary,0.12970775173148213,-0.005596104539803554,n1=14941 rate=0.165; n0=35059 rate=0.171
feature_021,binary,0.13274745869174762,0.00781473686740547,n1=6060 rate=0.176; n0=43940 rate=0.168
feature_024,binary,0.13439642888044567,-0.0070876589479727525,n1=7545 rate=0.163; n0=42455 rate=0.170
feature_034,binary,0.13877682985578113,-0.005578207624281212,n1=13980 rate=0.165; n0=36020 rate=0.171
feature_044,cont,0.14838763696674034,-0.030860143356047587,mean(y=1)=12.481 mean(y=0)=12.512
feature_053,binary,0.16039464118351254,-0.024707776197919223,n1=498 rate=0.145; n0=49502 rate=0.169
feature_110,binary,0.1630689199309271,0.0051444244111240045,n1=15049 rate=0.173; n0=34951 rate=0.167
feature_038,binary,0.17236371562053943,-0.008594882172951152,n1=3972 rate=0.161; n0=46028 rate=0.170
feature_096,multi,0.18491749468721058,0.013123076923076932,"rates: {0: 0.169, 1: 0.166, 2: 0.175, 3: 0.164, 4: 0.177}"
feature_119,cont,0.18608842759238545,-0.004964402470578944,mean(y=1)=0.666 mean(y=0)=0.671
feature_097,cont,0.21641520080832227,0.22246657296827266,mean(y=1)=130.212 mean(y=0)=129.990
feature_114,binary,0.21863139402061474,0.010887253036026001,n1=1961 rate=0.180; n0=48039 rate=0.169
feature_065,cont,0.23900768390705196,0.17366835141181625,mean(y=1)=25.907 mean(y=0)=25.734
feature_076,binary,0.2777529157049008,0.00671728184157544,n1=4161 rate=0.175; n0=45839 rate=0.168
feature_080,binary,0.2831094274429714,-0.005644577451016736,n1=5967 rate=0.164; n0=44033 rate=0.170
feature_083,binary,0.2891225999333762,-0.0041592532216807865,n1=12476 rate=0.166; n0=37524 rate=0.170
feature_098,binary,0.30643225351009956,0.008242943078325543,n1=2397 rate=0.177; n0=47603 rate=0.169
feature_081,binary,0.30757537738289503,0.00534485654384767,n1=6032 rate=0.174; n0=43968 rate=0.168
feature_003,cont,0.3119952827181536,-0.839885464697943,mean(y=1)=249.138 mean(y=0)=249.978
feature_007,binary,0.32626455224926015,0.0033495340429150477,n1=22371 rate=0.171; n0=27629 rate=0.168
feature_015,binary,0.3325375049696313,0.003969490709570228,n1=11073 rate=0.172; n0=38927 rate=0.168
feature_047,binary,0.3326128846496671,0.004102578367267989,n1=10127 rate=0.172; n0=39873 rate=0.168
feature_068,binary,0.3349722388962291,0.004592388929625962,n1=7546 rate=0.173; n0=42454 rate=0.168
feature_055,cont,0.3513802189091807,-0.9004193736472814,mean(y=1)=223.071 mean(y=0)=223.971
feature_123,cont,0.35444254584975043,-0.005544489997621582,mean(y=1)=4.197 mean(y=0)=4.203
feature_094,cont,0.3610347976346402,-0.0328088812460976,mean(y=1)=139.943 mean(y=0)=139.975
feature_109,binary,0.3691612042175564,-0.00671842494425498,n1=2815 rate=0.163; n0=47185 rate=0.169
feature_002,binary,0.36969267084626134,-0.003051393111569878,n1=23681 rate=0.167; n0=26319 rate=0.170
feature_086,cont,0.3936264212988297,-0.020289580275971275,mean(y=1)=95.966 mean(y=0)=95.987
feature_074,binary,0.39379263638612694,0.0038600229359728733,n1=8587 rate=0.172; n0=41413 rate=0.168
feature_067,binary,0.40188709962345504,0.003574999999999995,n1=10000 rate=0.172; n0=40000 rate=0.168
feature_042,multi,0.4100100391895549,0.011937784477247776,"rates: {0: 0.172, 1: 0.166, 2: 0.172, 3: 0.169, 4: 0.16}"
feature_107,binary,0.41473731678589343,0.019884930614302604,n1=286 rate=0.189; n0=49714 rate=0.169
feature_060,binary,0.415090529930918,0.006434139886319246,n1=2535 rate=0.175; n0=47465 rate=0.169
feature_103,cont,0.42731010940299424,0.047646952662214304,mean(y=1)=15.026 mean(y=0)=14.978
feature_116,binary,0.4472070955426565,-0.009720939115103716,n1=978 rate=0.160; n0=49022 rate=0.169
feature_004,binary,0.45744378599965274,-0.0033025228561129327,n1=9048 rate=0.166; n0=40952 rate=0.170
feature_113,binary,0.46425732986683266,-0.00391436243170365,n1=5846 rate=0.166; n0=44154 rate=0.169
feature_079,binary,0.48228199984288034,0.007220561421757837,n1=1511 rate=0.176; n0=48489 rate=0.169
feature_105,binary,0.486215716896951,-0.0024261294110187737,n1=19901 rate=0.168; n0=30099 rate=0.170
feature_064,multi,0.4903688897301077,0.01319964249179445,"rates: {0: 0.169, 1: 0.167, 2: 0.168, 3: 0.173, 4: 0.18}"
feature_069,binary,0.4907592891860041,-0.0033149507898714847,n1=7490 rate=0.166; n0=42510 rate=0.170
feature_036,binary,0.5006395655122212,-0.003993776030712576,n1=4679 rate=0.165; n0=45321 rate=0.169
feature_085,binary,0.5050378030449794,-0.0022862780485337075,n1=27510 rate=0.168; n0=22490 rate=0.170
feature_048,cont,0.5103259286298956,0.19170285996762004,mean(y=1)=27.628 mean(y=0)=27.437
feature_082,cont,0.512963719537751,0.038867799136053094,mean(y=1)=26.028 mean(y=0)=25.989
feature_071,binary,0.5139872628279252,0.0031417664041337168,n1=7501 rate=0.172; n0=42499 rate=0.169
feature_009,binary,0.5197074327017673,-0.0037131053273115056,n1=4985 rate=0.166; n0=45015 rate=0.169
feature_120,cont,0.5241874869737211,0.07105740156009777,mean(y=1)=5.849 mean(y=0)=5.778
feature_008,binary,0.5325181330858355,0.008003695654068749,n1=995 rate=0.177; n0=49005 rate=0.169
feature_032,binary,0.5392618163788894,-0.005566317075008709,n1=1961 rate=0.164; n0=48039 rate=0.169
feature_070,binary,0.5396987655708188,0.002105876568860604,n1=22580 rate=0.170; n0=27420 rate=0.168
feature_087,cat,0.5402723157880647,0.005635197408490333,"rates: {'medicaid': 0.169, 'medicare': 0.172, 'private': 0.167, 'uninsured': 0.166}"
feature_029,binary,0.5540707004010454,-0.002123811508498441,n1=17476 rate=0.168; n0=32524 rate=0.170
feature_040,binary,0.5562519353207174,0.002521647022893675,n1=10067 rate=0.171; n0=39933 rate=0.169
feature_066,cont,0.5624081668241123,-0.014473926940329118,mean(y=1)=3.492 mean(y=0)=3.507
feature_112,binary,0.5634538880214438,-0.002570811616409735,n1=9153 rate=0.167; n0=40847 rate=0.170
feature_017,binary,0.5719778923253279,-0.0019444290134429942,n1=22498 rate=0.168; n0=27502 rate=0.170
feature_100,binary,0.5780894999477996,-0.007102083689136757,n1=1018 rate=0.162; n0=48982 rate=0.169
feature_050,binary,0.5868557158199176,0.005680838574128599,n1=1501 rate=0.175; n0=48499 rate=0.169
feature_061,binary,0.5893542658525355,0.0034632981992932244,n1=4018 rate=0.172; n0=45982 rate=0.169
feature_056,cont,0.5898531531235935,-0.001903956495548531,mean(y=1)=1.001 mean(y=0)=1.003
feature_115,binary,0.5933853421874593,-0.001992687169557056,n1=15204 rate=0.168; n0=34796 rate=0.170
feature_025,binary,0.5960467106789531,-0.0018267796547662973,n1=22442 rate=0.168; n0=27558 rate=0.170
feature_089,binary,0.6117145550316699,-0.0017804725387588205,n1=19867 rate=0.168; n0=30133 rate=0.170
feature_001,binary,0.6236470402462395,-0.0023774234360258995,n1=7532 rate=0.167; n0=42468 rate=0.169
feature_104,binary,0.6677848702134612,0.0019405323013091669,n1=8996 rate=0.171; n0=41004 rate=0.169
feature_010,cont,0.6933446556620817,0.01183441696091414,mean(y=1)=7.510 mean(y=0)=7.498
feature_041,binary,0.6971231784493142,0.0022737859997926935,n1=5056 rate=0.171; n0=44944 rate=0.169
feature_122,binary,0.7015008091689285,-0.0013311790866392115,n1=22607 rate=0.168; n0=27393 rate=0.170
feature_049,binary,0.7159061314390989,-0.001525719485229865,n1=11099 rate=0.168; n0=38901 rate=0.169
feature_078,cont,0.7168077107936557,0.04681288466674971,mean(y=1)=68.031 mean(y=0)=67.984
feature_118,binary,0.7175997366933216,-0.002124223324114771,n1=5038 rate=0.167; n0=44962 rate=0.169
feature_018,multi,0.7370486975111682,0.02664028144239225,"rates: {0: 0.168, 1: 0.167, 2: 0.168, 3: 0.163, 4: 0.176, 5: 0.173, 6: 0.172, 7: 0.166, 8: 0.166, 9: 0.17, 10: 0.19}"
feature_088,binary,0.7374416624195319,-0.0012705734554245285,n1=15129 rate=0.168; n0=34871 rate=0.169
feature_124,binary,0.7436233395194475,-0.0016228580043393115,n1=7402 rate=0.168; n0=42598 rate=0.169
feature_095,binary,0.7518671821230047,0.0011550569781619002,n1=17498 rate=0.170; n0=32502 rate=0.169
feature_117,binary,0.753723442582853,-0.004380576687786741,n1=953 rate=0.165; n0=49047 rate=0.169
feature_073,binary,0.7625465795435331,0.0020178601328273427,n1=3938 rate=0.171; n0=46062 rate=0.169
feature_052,binary,0.7671729868148749,0.0062320067972979065,n1=468 rate=0.175; n0=49532 rate=0.169
feature_013,binary,0.8178766692199987,-0.001161948452692213,n1=7462 rate=0.168; n0=42538 rate=0.169
feature_026,binary,0.8191583365462801,0.0012905565335879776,n1=5835 rate=0.170; n0=44165 rate=0.169
feature_046,binary,0.8196724339528119,-0.0008276861612504793,n1=19225 rate=0.169; n0=30775 rate=0.169
feature_059,cont,0.8284433033937179,-0.07089200462226586,mean(y=1)=107.718 mean(y=0)=107.789
feature_043,binary,0.8411231444832227,0.0007271384712705664,n1=20056 rate=0.169; n0=29944 rate=0.169
feature_022,binary,0.858656127871878,0.0010158750515247839,n1=5967 rate=0.170; n0=44033 rate=0.169
feature_058,binary,0.8607073321947488,-0.0020939378403953546,n1=1467 rate=0.167; n0=48533 rate=0.169
feature_101,cont,0.8658590549936115,0.0036200678329807445,mean(y=1)=4.495 mean(y=0)=4.491
feature_062,cont,0.8737162186329998,-0.0021365764415466337,mean(y=1)=1.906 mean(y=0)=1.909
feature_106,cont,0.896545690643271,0.018545937618796415,mean(y=1)=77.961 mean(y=0)=77.943
feature_051,binary,0.9148113373064488,-0.0004702077962351059,n1=12301 rate=0.169; n0=37699 rate=0.169
feature_019,cont,0.9211542791948297,-0.0005917582095396057,mean(y=1)=9.396 mean(y=0)=9.397
feature_037,cont,0.922152556010784,0.0035027538837617556,mean(y=1)=13.018 mean(y=0)=13.014
feature_039,binary,0.9228062463533953,-0.0005317757803666723,n1=7545 rate=0.169; n0=42455 rate=0.169
feature_090,cont,0.9485405944703172,0.024893305371751495,mean(y=1)=26.246 mean(y=0)=26.221
feature_072,binary,0.9630966670254515,0.0004986120567747332,n1=3050 rate=0.170; n0=46950 rate=0.169
feature_077,cont,0.9635616288004746,-0.005418430269628516,mean(y=1)=79.995 mean(y=0)=80.000
feature_023,binary,1.0,3.4530360489337664e-05,n1=9996 rate=0.169; n0=40004 rate=0.169
feature_102,binary,1.0,0.000124966737134663,n1=2944 rate=0.169; n0=47056 rate=0.169
feature_108,binary,1.0,0.001422053899132858,n1=264 rate=0.170; n0=49736 rate=0.169
