feature,kind,p,effect,rr1,rr0,n1,rrs
feature_057,ordinal,7.66007398269729e-100,-0.09464506508732247,,,,
feature_011,continuous,3.1001488952378224e-30,-0.05106662641494981,,,,
feature_006,continuous,1.555345850821188e-20,-0.04152543404589001,,,,
feature_035,binary,3.517791305592361e-18,0.05634641652586536,0.22130242825607063,0.16495601173020527,3624.0,
feature_092,continuous,2.2870491048631052e-09,-0.026721310987324772,,,,
feature_099,continuous,1.3196953664868779e-06,0.02162867970345552,,,,
feature_063,continuous,3.309511411506932e-05,-0.018562931793217323,,,,
feature_093,binary,0.005638379954766785,0.017188385532239697,0.1848447204968944,0.1676563349646547,4025.0,
feature_005,categorical,0.009594955601115278,0.025608204043933852,,,,"{'asian': 0.1632996632996633, 'black': 0.15741212429954152, 'hispanic': 0.16695059625212946, 'other': 0.14723320158102768, 'white': 0.17284140562496153}"
feature_125,ordinal,0.01999065540786811,-0.010404506650113858,,,,
feature_121,binary,0.024858654018723274,-0.013772815807450545,0.1564083997103548,0.17018121551780535,4143.0,
feature_014,binary,0.03148907628125756,0.007399138553241286,0.17347652347652348,0.1660773849232822,20020.0,
feature_033,continuous,0.040179543999449875,-0.009176404537310985,,,,
feature_012,binary,0.05066737851505928,-0.006677839619460474,0.16516645235033575,0.17184429196979623,20997.0,
feature_111,binary,0.05675813979774225,-0.01077175068222161,0.1593417619907686,0.1701135126729902,4983.0,
feature_054,continuous,0.06185937818494623,-0.008350893134243406,,,,
feature_030,binary,0.06427585788671461,0.014406723736844818,0.18272292993630573,0.16831620619946092,2512.0,
feature_031,continuous,0.07575649228821033,0.007941947192272425,,,,
feature_028,continuous,0.07918297085896003,-0.00785067053798471,,,,
feature_084,continuous,0.09511110042896397,0.007464219252771013,,,,
feature_027,binary,0.10919351644771652,0.0059047996446480455,0.17317170640735313,0.1672669067627051,15014.0,
feature_045,ordinal,0.10926812419485758,-0.007162174460261897,,,,
feature_091,binary,0.11482616732718787,-0.027919047278487236,0.1413934426229508,0.16931248990143805,488.0,
