,coef,OR,p
feature_057,-0.38454037958874304,0.680763457089765,8.496498998586797e-97
const,-1.3779895446285166,0.25208484928555436,4.14721296846562e-55
feature_011,-0.1560258987299965,0.8555370327614792,1.2224210342610795e-34
feature_006,-0.11142243228348857,0.8945607777489736,3.023280971928152e-20
feature_035,0.36014565765664497,1.4335382051696717,3.1730329931232014e-17
feature_099,0.058861994070868326,1.0606288575685658,1.1057334891390005e-06
feature_063,-0.06609540903012297,0.936041553214398,1.7035523721266955e-06
feature_092,-0.058697418521937876,0.9429920579240623,8.83086343001442e-06
feature_093,0.13139587842983944,1.1404191593068347,0.002241555564161616
feature_014,0.060037834935582214,1.0618767218227068,0.014451837067167933
feature_084,0.02595076215631107,1.026290414902342,0.029634762152779093
feature_031,0.024027365156407444,1.0243183481389015,0.04589310415886895
feature_121,-0.08906195784763711,0.9147888934676999,0.04787401674846414
feature_012,-0.04765351908388959,0.9534640869632263,0.05191382217656347
feature_111,-0.07942284185079691,0.923649284288548,0.05359727305770757
feature_033,-0.02375776319452228,0.976522230735361,0.05390049301959304
feature_028,-0.023340604243160375,0.9769296807049085,0.05519063974962686
feature_030,0.10265676617913977,1.1081110026221943,0.055987949499939946
feature_045,-0.02069956639963441,0.9795131990452798,0.056887875938782466
feature_125,-0.020885934220177163,0.9793306663148228,0.0664045347219877
feature_016,-0.04779924408539144,0.9533251535310048,0.0713188260343028
feature_020,0.020414873540856766,1.0206246823797778,0.09093591700214763
feature_091,-0.22202684305979756,0.8008938656041887,0.09206527301764941
feature_027,0.04270831637853983,1.0436334396693165,0.10287978167107713
feature_024,-0.05317859956976071,0.9482106473448197,0.1189448981446568
feature_005_white,0.07795718304735556,1.0810763692833962,0.13661143888679758
feature_097,0.01748062151626698,1.017634301749924,0.14744832233976407
feature_053,-0.1806224283438592,0.834750477322302,0.16224310065239367
feature_080,-0.051608337631547686,0.9497007560580688,0.16990248053767942
feature_054,-0.01706084285288794,0.9830838691880274,0.17445244235089352
feature_110,0.03368062603102641,1.0342542400940877,0.19852735482873496
feature_021,0.046225111293538367,1.0473101457643068,0.20511433721911332
feature_076,0.053974566771870854,1.0554577581157734,0.21076459524252433
feature_034,-0.03272515480933168,0.9678045194561422,0.22620956040092088
feature_065,0.014484122062247716,1.0145895252341786,0.2269215617090411
feature_044,-0.014402035064621736,0.9857011781548066,0.23222921790530615
feature_038,-0.0540702308277997,0.9473655698971625,0.2336710973329743
feature_005_other,-0.12158496999504195,0.885515807878304,0.23641524722243423
feature_075,0.02950990712920027,1.0299496392654925,0.24111924529956263
feature_123,-0.014166693901676504,0.9859331815152895,0.2412256417591473
feature_119,-0.014150473561557145,0.9859491738165286,0.24358269098363183
feature_114,0.06816903531280999,1.0705462533061159,0.26166239006128045
feature_064,0.012004577289411877,1.0120769214244518,0.2702681126407621
feature_007,0.02672197816056507,1.027082211779294,0.27043325765205006
feature_083,-0.030811039668211974,0.9696587828111158,0.27143499812464134
feature_047,0.032121766868205295,1.0326432393830736,0.2821571846244084
feature_098,0.05893396938053426,1.0607051994063608,0.2888697589057889
feature_018,0.00470766062908398,1.0047187590724505,0.29218609752957647
feature_107,0.15618787669132062,1.1690458189193362,0.3080715177379686
feature_015,0.02944045188512392,1.0298781063461078,0.3086081705020318
feature_003,-0.012123573638080799,0.9879496207895236,0.3154416061068752
feature_068,0.03197652917982377,1.0324932715568167,0.33936949191429144
feature_074,0.028561940884767115,1.0289737444047773,0.3690656422444635
feature_055,-0.010859269814344723,0.9891994792066465,0.3700607858330368
feature_082,0.010767035678953577,1.0108252088041814,0.3724059038213803
feature_060,0.04829685211058097,1.0494821500795135,0.37364138067340724
feature_103,0.010733964180516453,1.010791779852644,0.3738556740456992
feature_042,-0.009575546209721468,0.990470153350481,0.3867652905961204
feature_086,-0.010056604440934862,0.989993794117892,0.4042190229760735
feature_081,0.030211809121443393,1.0306728167393673,0.4103393690139505
feature_113,-0.031112311567595616,0.9693666958688675,0.4107986951772832
feature_109,-0.04332858265606227,0.9575966887037465,0.4178576635510147
feature_009,-0.03276968751637587,0.9677614214606435,0.419245606981518
feature_048,0.009612476824004079,1.0096588250674525,0.422825325429379
feature_002,-0.01907696229443642,0.9811038513336178,0.4301511241028291
feature_032,-0.049499634086998534,0.9517055063778168,0.4314670701779283
