feature,kind,n1,n0,rate1,rate0,diff,beta,OR,p,n_levels,rate_min,rate_max,mean_resp1,mean_resp0,beta_per_sd,OR_per_sd,rates,chi2
feature_057,ordinal,,,,,-0.10100778783711326,-0.38373808459065034,0.6813098493608571,1.841581399750777e-97,3.0,0.21288085493406095,0.11187306709694769,,,,,,
feature_011,continuous,,,,,-0.5687255803344771,,,7.429618098395795e-35,,,,3.3828797917652627,3.9516053720997397,-0.1549600382708929,0.8564494019987702,,
feature_006,continuous,,,,,-2.0757494430745496,,,1.1558570512949848e-19,,,,58.233199242782774,60.308948685857324,-0.1085617140679366,0.8971235279661793,,
feature_035,binary,3624.0,46376.0,0.22130242825607063,0.16495601173020527,0.05634641652586536,0.3637130366965161,1.4386613119143223,4.130586964471593e-18,,,,,,,,,
feature_099,continuous,,,,,0.028894977799755583,,,1.358694141508161e-06,,,,3.824538570752485,3.7956435929527292,0.05769082342873637,1.0593874073053366,,
feature_063,continuous,,,,,-0.5124958537855226,,,2.8171519059372104e-06,,,,5.653943445338382,6.166439299123905,-0.0642480299454902,0.9377723750519373,,
feature_092,continuous,,,,,-1.327213894001158,,,1.8806249858472477e-05,,,,19.073852342640798,20.401066236641956,-0.05598984841546353,0.9455487346595881,,
feature_093,binary,4025.0,45975.0,0.1848447204968944,0.1676563349646547,0.017188385532239697,0.11846665730068222,1.1257693372876851,0.005293351600757771,,,,,,,,,
feature_005,categorical,,,,,,,,0.009594955601115278,,,,,,,,"{'asian': 0.1632996632996633, 'black': 0.15741212429954152, 'hispanic': 0.16695059625212946, 'other': 0.14723320158102768, 'white': 0.17284140562496153}",13.371812089358926
feature_121,binary,4143.0,45857.0,0.1564083997103548,0.17018121551780535,-0.013772815807450545,-0.10085445624999415,0.9040646042636881,0.023550063489434503,,,,,,,,,
feature_014,binary,20020.0,29980.0,0.17347652347652348,0.1660773849232822,0.007399138553241286,0.05250071366040646,1.0539033142073366,0.030551473217981535,,,,,,,,,
feature_125,ordinal,,,,,-0.017391952942176714,-0.023297309817211093,0.9769719772302227,0.03831671278343451,5.0,0.17396104756436867,0.15656909462219196,,,,,,
feature_084,continuous,,,,,1.1672457172224284,,,0.04784339636919683,,,,105.29455750118316,104.12731178396074,0.023340192184313623,1.023614706044844,,
feature_012,binary,20997.0,29003.0,0.16516645235033575,0.17184429196979623,-0.006677839619460474,-0.04766619099542057,0.9534520048272204,0.04926806127109945,,,,,,,,,
feature_111,binary,4983.0,45017.0,0.1593417619907686,0.1701135126729902,-0.01077175068222161,-0.07831086634788019,0.9246769309190133,0.05427117804557686,,,,,,,,,
feature_033,continuous,,,,,-0.0387003133718018,,,0.05576422438877999,,,,1.9420373876005677,1.9807377009723695,-0.023350583025034566,0.9769199321853576,,
feature_031,continuous,,,,,0.003799008881601118,,,0.05702648226255735,,,,1.0601668244202553,1.0563678155386542,0.02265178197691043,1.0229102817270195,,
feature_030,binary,2512.0,47488.0,0.18272292993630573,0.16831620619946092,0.014406723736844818,0.09960071601411234,1.1047297291120968,0.06053662388063988,,,,,,,,,
feature_045,ordinal,,,,,-0.022161714802555715,-0.019494834424418087,0.9806939610243606,0.06954854463806846,5.0,0.1724155219091547,0.150253807106599,,,,,,
feature_028,continuous,,,,,-0.2333700377729251,,,0.0948868606508633,,,,27.80380383341221,28.037173871185136,-0.020107415499830486,0.9800933904309365,,
feature_091,binary,488.0,49512.0,0.1413934426229508,0.16931248990143805,-0.027919047278487236,-0.21325679218725097,0.8079486356778995,0.10215389883651708,,,,,,,,,
feature_027,binary,15014.0,34986.0,0.17317170640735313,0.1672669067627051,0.0059047996446480455,0.041808970904853124,1.042695274589655,0.10636072388003642,,,,,,,,,
feature_020,continuous,,,,,0.011398297846825445,,,0.11227829570370786,,,,1.813937529578798,1.8025392317319726,0.018948596346371166,1.0191292603034445,,
feature_054,continuous,,,,,-0.062389851939592234,,,0.11553111499227027,,,,2.1782915286322764,2.2406813805718686,-0.01960448958276988,0.9805864287686108,,
feature_075,binary,17601.0,32399.0,0.1726038293278791,0.1671039229605852,0.005499906367293889,0.03900830355163396,1.039779117473902,0.117085932050366,,,,,,,,,
feature_016,binary,14941.0,35059.0,0.16511612341878054,0.1707122279585841,-0.005596104539803554,-0.04005567556251543,0.9607359481489242,0.12645718926825036,,,,,,,,,
feature_021,binary,6060.0,43940.0,0.17590759075907592,0.16809285389167045,0.00781473686740547,0.0548804367879503,1.056414298837457,0.12813924905742466,,,,,,,,,
feature_024,binary,7545.0,42455.0,0.16302186878727634,0.1701095277352491,-0.0070876589479727525,-0.051062365848002514,0.9502194074453161,0.1301461580791226,,,,,,,,,
feature_034,binary,13980.0,36020.0,0.1650214592274678,0.17059966685174902,-0.005578207624281212,-0.039947236245232436,0.960840135348123,0.13528306006979768,,,,,,,,,
feature_053,binary,498.0,49502.0,0.14457831325301204,0.16928608945093127,-0.024707776197919223,-0.1870778836508965,0.8293791387945817,0.14381621145713858,,,,,,,,,
feature_044,continuous,,,,,-0.030860143356047587,,,0.14939219177411667,,,,12.480726455276859,12.511586598632906,-0.017205421255296203,0.9829417467669507,,
feature_110,binary,15049.0,34951.0,0.1726360555518639,0.1674916311407399,0.0051444244111240045,0.03645086508795424,1.0371233438015188,0.15919585458496122,,,,,,,,,
feature_038,binary,3972.0,46028.0,0.16112789526686808,0.16972277743981923,-0.008594882172951152,-0.062266563859788016,0.9396323813703664,0.16559026973687152,,,,,,,,,
