feature,kind,test,p,effect,detail
feature_057,cont,ttest,2.6078386270880896e-103,-0.1703477343512183,"{'mean_resp': np.float64(0.6553478466635116), 'mean_nonresp': np.float64(0.82569558101473)}"
feature_011,cont,ttest,7.202186086293664e-39,-0.5687255803344771,"{'mean_resp': np.float64(3.3828797917652627), 'mean_nonresp': np.float64(3.9516053720997397)}"
feature_006,cont,ttest,9.5008253569381e-20,-2.0757494430745496,"{'mean_resp': np.float64(58.233199242782774), 'mean_nonresp': np.float64(60.308948685857324)}"
feature_035,binary,chi2,3.517791305592361e-18,0.05634641652586536,"{'rate_pos': np.float64(0.22130242825607063), 'rate_neg': np.float64(0.16495601173020527), 'prev': np.float64(0.07248)}"
feature_063,cont,ttest,4.3726028613102294e-07,-0.5124958537855226,"{'mean_resp': np.float64(5.653943445338382), 'mean_nonresp': np.float64(6.166439299123905)}"
feature_099,cont,ttest,1.3036899432972359e-06,0.028894977799755583,"{'mean_resp': np.float64(3.824538570752485), 'mean_nonresp': np.float64(3.7956435929527292)}"
feature_092,cont,ttest,1.2984770687798073e-05,-1.327213894001158,"{'mean_resp': np.float64(19.073852342640798), 'mean_nonresp': np.float64(20.401066236641956)}"
feature_093,binary,chi2,0.005638379954766785,0.017188385532239697,"{'rate_pos': np.float64(0.1848447204968944), 'rate_neg': np.float64(0.1676563349646547), 'prev': np.float64(0.0805)}"
feature_005,cat,chi2,0.009594955601115278,,"{'asian': 0.1632996632996633, 'black': 0.15741212429954152, 'hispanic': 0.16695059625212946, 'other': 0.14723320158102768, 'white': 0.17284140562496153}"
feature_121,binary,chi2,0.024858654018723274,-0.013772815807450545,"{'rate_pos': np.float64(0.1564083997103548), 'rate_neg': np.float64(0.17018121551780535), 'prev': np.float64(0.08286)}"
feature_014,binary,chi2,0.03148907628125756,0.007399138553241286,"{'rate_pos': np.float64(0.17347652347652348), 'rate_neg': np.float64(0.1660773849232822), 'prev': np.float64(0.4004)}"
feature_125,cont,ttest,0.03746179773295689,-0.026462165952371164,"{'mean_resp': np.float64(0.9065309985802177), 'mean_nonresp': np.float64(0.9329931645325888)}"
feature_084,cont,ttest,0.04998505580780711,1.1672457172224284,"{'mean_resp': np.float64(105.29455750118316), 'mean_nonresp': np.float64(104.12731178396074)}"
feature_012,binary,chi2,0.05066737851505928,-0.006677839619460474,"{'rate_pos': np.float64(0.16516645235033575), 'rate_neg': np.float64(0.17184429196979623), 'prev': np.float64(0.41994)}"
feature_033,cont,ttest,0.052212623850039566,-0.0387003133718018,"{'mean_resp': np.float64(1.9420373876005677), 'mean_nonresp': np.float64(1.9807377009723695)}"
feature_111,binary,chi2,0.05675813979774225,-0.01077175068222161,"{'rate_pos': np.float64(0.1593417619907686), 'rate_neg': np.float64(0.1701135126729902), 'prev': np.float64(0.09966)}"
feature_031,cont,ttest,0.057718843588070945,0.003799008881601118,"{'mean_resp': np.float64(1.0601668244202553), 'mean_nonresp': np.float64(1.0563678155386542)}"
feature_030,binary,chi2,0.06427585788671461,0.014406723736844818,"{'rate_pos': np.float64(0.18272292993630573), 'rate_neg': np.float64(0.16831620619946092), 'prev': np.float64(0.05024)}"
feature_045,cont,ttest,0.06692142200824903,-0.02421650101324846,"{'mean_resp': np.float64(1.0409370563180311), 'mean_nonresp': np.float64(1.0651535573312796)}"
feature_028,cont,ttest,0.09378267055598714,-0.2333700377729251,"{'mean_resp': np.float64(27.80380383341221), 'mean_nonresp': np.float64(28.037173871185136)}"
feature_054,cont,ttest,0.09892783421342158,-0.062389851939592234,"{'mean_resp': np.float64(2.1782915286322764), 'mean_nonresp': np.float64(2.2406813805718686)}"
feature_027,binary,chi2,0.10919351644771652,0.0059047996446480455,"{'rate_pos': np.float64(0.17317170640735313), 'rate_neg': np.float64(0.1672669067627051), 'prev': np.float64(0.30028)}"
feature_020,cont,ttest,0.11117919178607488,0.011398297846825445,"{'mean_resp': np.float64(1.813937529578798), 'mean_nonresp': np.float64(1.8025392317319726)}"
feature_091,binary,chi2,0.11482616732718787,-0.027919047278487236,"{'rate_pos': np.float64(0.1413934426229508), 'rate_neg': np.float64(0.16931248990143805), 'prev': np.float64(0.00976)}"
feature_075,binary,chi2,0.12001948571117892,0.005499906367293889,"{'rate_pos': np.float64(0.1726038293278791), 'rate_neg': np.float64(0.1671039229605852), 'prev': np.float64(0.35202)}"
feature_016,binary,chi2,0.12970775173148213,-0.005596104539803554,"{'rate_pos': np.float64(0.16511612341878054), 'rate_neg': np.float64(0.1707122279585841), 'prev': np.float64(0.29882)}"
