feature,pearson_r,p,slope_per_unit,sd,min,max,mean
feature_080,0.701535072951399,0.0,0.17592324588938638,9.952598845544616,30.0,90.0,64.988108
feature_067,-0.11552760378938601,4.0746632668183206e-148,-0.07473333306449624,3.8581735043929792,0.0,24.6,3.8409
feature_019,0.10021045803542346,9.393535192804359e-112,0.49876731204530944,0.5014474240635802,1.5,5.5,3.80197
feature_101,-0.09141848558859533,2.979162563057627e-93,-0.018764407997770058,12.159325821376775,1.0,100.0,15.53764
feature_053,-0.01640106311208841,0.0002448912527249338,-0.0005067329112818642,80.77988465627128,48.21,830.17,224.02586920000002
feature_066,-0.013294083602434866,0.002951884965321785,-0.0006712205495898858,49.431467318479136,15.68,601.53,104.324623
feature_006,-0.012838442767292822,0.004094220397479213,-0.06392748335372322,0.5012277211008984,7.3,11.8,9.39654
feature_065,0.010022256931200253,0.025023158365827396,0.04977306797891291,0.5025525276068163,2.5,6.3,4.201886
feature_105,-0.00893018161405371,0.04584265324093631,-0.0704950907552001,0.31616351986805813,0.09,3.53,0.6705592000000001
feature_046,0.00840346525308747,0.060236553296957755,0.0063139966050283144,3.3217305850678196,0.02,116.33,2.230135
feature_059,0.008293000003896305,0.06368814547246601,0.0006279750594277089,32.95942378859902,0.32,897.01,26.225568799999998
feature_079,0.007249068569084168,0.1050344151127893,0.0036243649126006692,4.991839704958484,14.0,47.7,25.9954
feature_084,-0.0060071351629550525,0.1792024326497842,-0.01338682292527648,1.119954104550432,0.19,15.38,1.9082508000000002
feature_002,0.004646831799072226,0.29878482653818195,0.0009674777922540662,11.987435638617626,40.0,130.0,77.9459
feature_035,-0.0045953046499004994,0.3041751583384692,-0.006393451966584549,1.793862877451897,6.0,18.0,12.50637
feature_122,-0.004324418994804234,0.3335691146844799,-0.017943187341022668,0.6015039940382774,0.1,4.6,1.8044660000000001
feature_087,0.004152170780282646,0.3531822803101596,0.005221642405181021,1.984624836184411,88.0,100.0,95.98314
feature_096,-0.00395983902783006,0.3759256966231398,-0.03318084844728998,0.29785190730294137,0.3,2.11,1.002854
feature_108,0.0038636427684756777,0.3876327113114527,0.0006410350001111234,15.042691990943643,80.0,198.0,130.02716
feature_025,-0.0038632985465174453,0.3876749979480538,-0.003235678660478083,2.979910542281429,6.0,22.0,13.0146
feature_062,-0.0035742091439628096,0.42417443284854284,-0.0007321703837451248,12.183670479054717,3.66,168.35,25.7630584
feature_088,0.0035348810390161264,0.42929061879508323,0.0008853666545603317,9.964648469283802,45.0,122.0,79.99906
feature_043,-0.0032995233633787975,0.4606485034642748,-0.0008811141363980542,9.346077533284697,0.05,300.0,6.0990152
feature_064,-0.003169261572609202,0.4785401519459197,-0.000325756232566099,24.28151005829177,0.73,150.0,27.4690166
feature_032,0.0027593916702576345,0.5372317681288502,0.003313680246545314,2.0783232246828214,0.27,30.41,3.4944119999999996
feature_121,-0.0026322708935424327,0.5561430738074316,-0.0005610556525541697,11.709409114484599,4.97,126.62,27.997725
feature_103,0.0026206446661713972,0.557888741373337,9.394324497153865e-05,69.62303035206382,20.0,508.0,249.83634
feature_003,0.0023858494640448284,0.5937016424964427,0.0002171940817791073,27.416082085559164,34.7,286.74,107.77664859999999
feature_013,-0.00215410906993984,0.6300461117275608,-0.003171384367146923,1.6952320281490554,0.06,20.0,1.9741958000000002
feature_007,-0.0019348505555050097,0.6652797217254306,-0.0016067068560730552,3.0055303667738915,128.0,152.0,139.96988
feature_092,-0.0013173302583201973,0.7683324945457197,-0.0018402809471947956,1.786573460623436,0.1,11.8,4.491785999999999
feature_125,-0.0011338879083479013,0.7998518923469274,-0.0005677142143994489,4.984833955108234,3.0,36.0,14.9862
feature_027,0.0010082754294985046,0.8216279263785571,0.0002692296732230965,9.346878571630544,0.02,516.58,5.7898124
feature_099,-0.0004372016827425677,0.9221238005404788,-0.006522795965349274,0.16728552806504213,0.8,1.8,1.05701
feature_060,0.0003883799814269331,0.9307969148686394,0.000551808146070672,1.7566250427271042,0.3,20.0,2.6737919999999997
feature_033,0.00036020328191402475,0.9358062799157993,0.0003581274297834291,2.5102699098351953,0.5,18.5,7.500423999999999
