,coef,p
Intercept,-6.921383644100037,0.0
C(feature_063)[T.1],-1.1887743849692234,0.0
C(feature_063)[T.2],-2.3346338663521657,0.0
"C(feature_011, Treatment(reference=""white""))[T.asian]",0.018929642991895073,0.38588480460915847
"C(feature_011, Treatment(reference=""white""))[T.black]",-0.008257467975602608,0.6086590412304685
"C(feature_011, Treatment(reference=""white""))[T.hispanic]",0.006757262569278621,0.6408726112599358
"C(feature_011, Treatment(reference=""white""))[T.other]",0.007405977205983183,0.8385554823350357
"C(feature_089, Treatment(reference=""private""))[T.medicaid]",-0.0004483073653966819,0.9774789451221779
"C(feature_089, Treatment(reference=""private""))[T.medicare]",0.00642838357233969,0.5675390532511134
"C(feature_089, Treatment(reference=""private""))[T.uninsured]",0.01542641219842121,0.5594099377630586
feature_080,0.17566420971271748,0.0
feature_067,-0.07681952806580536,0.0
feature_019,0.4761763593393267,0.0
feature_101,-0.018902583037517847,0.0
feature_042,1.1015639047824366,0.0
feature_111,0.5312137370162252,3.899116763157075e-274
feature_039,0.014122484025464795,0.32229566192446935
feature_034,0.0018728055420256053,0.8684470632805839
feature_056,-1.5489415725019346,0.0
feature_048,-0.9836380088822188,0.0
feature_015,-0.5823867473062153,0.0
feature_040,-0.4708666004295512,3.316635592806993e-239
