col,kind,spearman_rho,p,lin_slope,lin_p,effect,n1,n0,stat,mean1,mean0,n_lvl,detail,absp
feature_080,cont,0.7264206806832961,0.0,0.17592324588938593,0.0,0.17592324588938593,,,,,,,,
feature_042,bin,,0.0,,,1.0981499237271555,17428.0,32572.0,43.54116323032869,5.408254502546887,4.310104578819732,,,
feature_063,ord,-0.3338443005665083,0.0,-1.179973507814523,0.0,-1.179973507814523,,,,,,3.0,,
feature_056,bin,,0.0,,,-1.5363170319001882,14969.0,35031.0,-66.61888127692949,3.616501277344159,5.152818309244347,,,
feature_048,bin,,1.4549955380425552e-178,,,-1.0501723374934535,5090.0,44910.0,-29.42409553972706,3.749610922697449,4.799783260190902,,,177.83713833850382
feature_067,cont,-0.11589289413594235,4.769490481042353e-149,-0.07473333306454351,4.074663266820571e-148,-0.07473333306454351,,,,,,,,148.32152801364143
feature_015,bin,,6.066087429244211e-144,,,-0.558930040322501,17365.0,32635.0,-25.64444394310201,4.328062078915572,4.886992119238073,,,143.2170913345851
feature_111,bin,,3.704854712016327e-143,,,0.5678562042894937,34886.0,15114.0,25.592886175483276,4.864527289666697,4.296671085377203,,,142.4312288184557
feature_019,cont,0.10193347937583726,1.396282024223855e-115,0.4987673120452743,9.393535192796926e-112,0.4987673120452743,,,,,,,,114.855026853064
feature_101,cont,-0.08282059493912054,8.055696646568164e-77,-0.018764407997773316,2.979162563056748e-93,-0.018764407997773316,,,,,,,,76.09389689637723
feature_040,bin,,6.101871955866938e-70,,,-0.45898205091367306,9060.0,40940.0,-17.76957174921497,4.317061212945953,4.776043263859626,,,69.21453691000792
feature_039,bin,,5.822526632644856e-59,,,0.3619568351900426,31954.0,18046.0,16.216672164034755,4.823513177190859,4.461556342000816,,,58.23488851629534
feature_034,bin,,1.044485889142057e-06,,,0.11440172242322344,18543.0,31457.0,4.883881486023146,4.764850415879415,4.650448693456192,,,5.98109742290161
feature_006,cont,-0.012796196905308272,0.004218248109191043,-0.06392748335367847,0.004094220397479002,-0.06392748335367847,,,,,,,,2.3748678794842464
feature_053,cont,-0.012665328550721148,0.004624391366955782,-0.000506732911281959,0.0002448912527249069,-0.000506732911281959,,,,,,,,2.3349454182473917
feature_077,bin,,0.004874718797005761,,,0.06600523138417991,17601.0,32399.0,2.8153735445277213,4.73564578606639,4.66964055468221,,,2.3120504319513056
feature_086,bin,,0.017533944373829276,,,-0.0741087291535667,7585.0,42415.0,-2.3756930174214155,4.6300092812930975,4.704118010446664,,,1.7561203755721067
feature_066,cont,-0.010466143552471897,0.01926792372373759,-0.0006712205495898876,0.002951884965321796,-0.0006712205495898876,,,,,,,,1.7151650816032664
feature_055,bin,,0.023774031733699047,,,-0.14433420314553036,1501.0,48499.0,-2.2629228180200536,4.552874425866967,4.697208629012497,,,1.6238971619310196
