Top 40 features most associated with pfs_months:
    feature    kind    effect             p    n1    n0
feature_080 numeric  0.701535  0.000000e+00   586     0
feature_063 numeric -0.320424  0.000000e+00     3     0
feature_056  binary -1.536317  0.000000e+00 14969 35031
feature_042  binary  1.098150  0.000000e+00 17428 32572
feature_048  binary -1.050172 1.454996e-178  5090 44910
feature_067 numeric -0.115528 4.074663e-148   210     0
feature_015  binary -0.558930 6.066087e-144 17365 32635
feature_111  binary  0.567856 3.704855e-143 34886 15114
feature_019 numeric  0.100210 9.393535e-112    39     0
feature_101 numeric -0.091418  2.979163e-93   845     0
feature_040  binary -0.458982  6.101872e-70  9060 40940
feature_039  binary  0.361957  5.822527e-59 31954 18046
feature_034  binary  0.114402  1.044486e-06 18543 31457
feature_053 numeric -0.016401  2.448913e-04 23564     0
feature_066 numeric -0.013294  2.951885e-03 16634     0
feature_006 numeric -0.012838  4.094220e-03    43     0
feature_077  binary  0.066005  4.874719e-03 17601 32399
feature_086  binary -0.074109  1.753394e-02  7585 42415
feature_055  binary -0.144334  2.377403e-02  1501 48499
feature_065 numeric  0.010022  2.502316e-02    39     0
feature_005  binary -0.053857  2.545523e-02 15204 34796
feature_031  binary -0.060494  2.915094e-02 10039 39961
feature_105 numeric -0.008930  4.584265e-02   268     0
feature_046 numeric  0.008403  6.023655e-02  1857     0
feature_059 numeric  0.008293  6.368815e-02  9070     0
feature_036  binary  0.045197  6.369387e-02 14941 35059
feature_078  binary -0.147239  7.329485e-02   978 49022
feature_075  binary  0.043116  7.690047e-02 15035 34965
feature_008  binary  0.048277  8.044505e-02 10127 39873
feature_094  binary -0.127439  8.132287e-02  1222 48778
feature_079 numeric  0.007249  1.050344e-01   299     0
feature_009  binary -0.036595  1.180089e-01 17498 32502
feature_126  binary -0.222698  1.180198e-01   286 49714
feature_052  binary  0.048535  1.606027e-01  5967 44033
feature_057  binary -0.047252  1.663639e-01  6032 43968
feature_044  binary  0.038284  1.704385e-01 10067 39933
feature_090  binary -0.033086  1.739364e-01 15129 34871
feature_084 numeric -0.006007  1.792024e-01   800     0
feature_113  binary -0.028883  1.976602e-01 22498 27502
feature_037  binary -0.028201  2.179177e-01 19225 30775

Bottom 20 (least associated):
    feature        kind    effect        p    n1    n0
feature_089 categorical  0.047882 0.817894     4     0
feature_045      binary -0.013402 0.819175  1961 48039
feature_027     numeric  0.001008 0.821628  3662     0
feature_097      binary -0.004809 0.830029 22607 27393
feature_049      binary -0.007303 0.846142  4987 45013
feature_073     numeric -0.000786 0.860558     5     0
feature_116      binary -0.006337 0.863256  5056 44944
feature_018      binary  0.005853 0.865789  5835 44165
feature_110      binary  0.014100 0.902640   468 49532
feature_028      binary -0.002462 0.912734 27510 22490
feature_054      binary  0.004387 0.913922  4161 45839
feature_099     numeric -0.000437 0.922124    98     0
feature_060     numeric  0.000388 0.930797   165     0
feature_012      binary  0.002593 0.934912  7402 42598
feature_022      binary  0.001816 0.935539 22442 27558
feature_033     numeric  0.000360 0.935806   165     0
feature_024     numeric  0.000208 0.962816     5     0
feature_026      binary  0.000948 0.966887 19901 30099
feature_098      binary -0.000771 0.980325  7501 42499
feature_124      binary -0.000414 0.985356 20997 29003
