feature,kind,n0,n1,mean0,mean1,diff,t,p,r,F,means
feature_051,binary,22519.0,27481.0,5.0547075243979975,3.7027062826990917,-1.3520012416989058,-68.49067699424133,0.0,,,
feature_078,continuous,,,,,0.7661014023245134,,0.0,0.7661014023245134,,
feature_057,multinary(3),,,,,2.3634864499035837,,0.0,,3528.8771960833637,"[np.float64(5.271274530331505), np.float64(4.053644171440389), np.float64(2.9077880804279213)]"
feature_038,binary,39978.0,10022.0,4.116760508426309,5.088922220206073,0.9721617117797638,32.01982621199098,1.7088416373826197e-216,,,
feature_099,continuous,,,,,-0.12285577040366533,,2.2067463507322854e-167,-0.12285577040366533,,
feature_092,continuous,,,,,0.1017696822037902,,3.248766421347271e-115,0.1017696822037902,,
feature_013,binary,29102.0,20898.0,4.4481986529846935,4.121425633917682,-0.3267730190670113,-16.141244293599144,1.8615258128025077e-58,,,
feature_043,binary,32343.0,17657.0,4.419401271577806,4.114194640659866,-0.3052066309179402,-14.84288900595031,1.0437227587012202e-49,,,
feature_009,continuous,,,,,-0.03773937205463503,,3.1308680243784293e-17,-0.03773937205463503,,
feature_109,binary,47728.0,2272.0,4.321975001592822,4.09410529082308,-0.22786971076974183,-5.109254423016968,3.473876309642735e-07,,,
feature_067,binary,48494.0,1506.0,4.304960831051133,4.526068762137205,0.22110793108607218,3.3842174963956824,0.000731237769562676,,,
feature_070,continuous,,,,,-0.012824507800830266,,0.004134760774735755,-0.012824507800830266,,
feature_006,continuous,,,,,-0.011162867508273312,,0.01255642177719829,-0.011162867508273312,,
feature_089,binary,45996.0,4004.0,4.304281233484568,4.395931688665358,0.09165045518078951,2.3846503997150594,0.017134806387150908,,,
feature_102,binary,34960.0,15040.0,4.3264604216911655,4.277125914524544,-0.04933450716662158,-2.2063428069639146,0.02736795477124193,,,
feature_028,continuous,,,,,-0.009005524710101074,,0.044042402829101,-0.009005524710101074,,
feature_112,binary,39092.0,10908.0,4.322369966430737,4.273097118542528,-0.049272847888209625,-1.9976094037640282,0.04577436425172901,,,
feature_025,multinary(5),,,,,0.12792004772903098,,0.0467898261863575,,2.412230864094036,"[np.float64(4.27885922353226), np.float64(4.330139063372389), np.float64(4.324539261293734), np.float64(4.358607945495809), np.float64(4.230687897766778)]"
feature_079,binary,40979.0,9021.0,4.320924110589602,4.269358271690606,-0.051565838898995686,-1.9310764172658033,0.053494880634385907,,,
feature_103,continuous,,,,,0.00857509196005721,,0.05518254331978192,0.00857509196005721,,
feature_055,continuous,,,,,-0.008253443749746717,,0.06496317909352947,-0.008253443749746717,,
feature_068,binary,42459.0,7541.0,4.319406600418071,4.2677821574885835,-0.0516244429294872,-1.8196086071727513,0.0688471338468146,,,
feature_096,multinary(5),,,,,0.08701887340513803,,0.06893002389795255,,2.1762281579135974,"[np.float64(4.312392767981813), np.float64(4.345412662793707), np.float64(4.2692354655878955), np.float64(4.280149651877826), np.float64(4.258393789388569)]"
feature_121,continuous,,,,,0.008113267240143718,,0.06965214110624009,0.008113267240143718,,
feature_014,continuous,,,,,-0.007890070044893376,,0.07768877928776306,-0.007890070044893376,,
feature_063,binary,34922.0,15078.0,4.323066621174871,4.285110595045989,-0.03795602612888249,-1.706027387479361,0.08801372958665916,,,
feature_032,binary,45006.0,4994.0,4.30583473384442,4.36376292858837,0.05792819474395028,1.7021651063599401,0.08877480346882617,,,
feature_010,continuous,,,,,-0.007473969918923575,,0.09467980337433253,-0.007473969918923575,,
feature_094,continuous,,,,,-0.007231698117409159,,0.10587017061810995,-0.007231698117409159,,
feature_095,binary,43980.0,6020.0,4.31768643520367,4.267305760218418,-0.05038067498525134,-1.5963221831113115,0.11045764106033384,,,
feature_021,binary,46076.0,3924.0,4.316285328200353,4.256846920135781,-0.05943840806457157,-1.5731421958262644,0.11575418420980052,,,
feature_040,binary,47989.0,2011.0,4.314799400941864,4.2357641198275005,-0.07903528111436398,-1.5594183038830245,0.11904167110296128,,,
feature_059,continuous,,,,,-0.006826093002973548,,0.12692510763434062,-0.006826093002973548,,
feature_033,multinary(5),,,,,0.14587103164948,,0.13164124692880494,,1.7704759258043012,"[np.float64(4.297485548101862), np.float64(4.335926521169913), np.float64(4.319318391273451), np.float64(4.333117989444628), np.float64(4.190055489520433)]"
feature_016,continuous,,,,,0.006575051792985924,,0.14150612984142175,0.006575051792985924,,
feature_041,binary,44027.0,5973.0,4.3171710330828965,4.270708358150273,-0.04646267493262357,-1.4666394031611054,0.14251515196615533,,,
feature_083,binary,42485.0,7515.0,4.317644785121525,4.277563725999241,-0.04008105912228377,-1.422086059250766,0.15503094947492335,,,
feature_116,binary,44034.0,5966.0,4.316923567891641,4.2724803399650915,-0.044443227926549866,-1.413896018977719,0.15743285292432616,,,
feature_002,binary,30354.0,19646.0,4.300079146086156,4.329452697570656,0.029373551484500382,1.4081693588057194,0.15908818246996476,,,
feature_054,continuous,,,,,-0.0062270746903319105,,0.16380284246955817,-0.0062270746903319105,,
feature_020,continuous,,,,,-0.006206227267506641,,0.16521827984006804,-0.006206227267506641,,
feature_029,binary,34837.0,15163.0,4.302399834983595,4.332805318568145,0.030405483584550197,1.3601107675877222,0.17380555149897875,,,
feature_047,binary,32539.0,17461.0,4.301492029923449,4.330495443278914,0.029003413355464858,1.3489054674657994,0.17737587540630237,,,
feature_065,continuous,,,,,-0.005937192063723234,,0.18431854330214645,-0.005937192063723234,,
feature_062,continuous,,,,,0.00579054002445731,,0.19539523765610214,0.00579054002445731,,
feature_037,binary,31039.0,18961.0,4.301438872785779,4.328288008247164,0.026849135461385565,1.268811532147393,0.20451569124918997,,,
feature_018,cat(4),,,,,,,0.21911235021866027,,1.4749275499930867,"{'medicare': np.float64(4.311569491987207), 'private': np.float64(4.330219858522746), 'uninsured': np.float64(4.248637881550722), 'medicaid': np.float64(4.276909402532674)}"
feature_111,binary,39944.0,10056.0,4.305325828773846,4.336624422457217,0.0312985936833714,1.21387143153089,0.22481548890050165,,,
feature_060,binary,42512.0,7488.0,4.316767437542434,4.282400212602605,-0.03436722493982902,-1.2088501811425023,0.22674790840096656,,,
feature_072,binary,48557.0,1443.0,4.313775196733658,4.239118412318789,-0.07465678441486912,-1.2014864375997711,0.22974896191393265,,,
feature_001,binary,48489.0,1511.0,4.309481043049374,4.380280476738022,0.0707994336886486,1.1718331271308786,0.24143811179473568,,,
feature_073,binary,45967.0,4033.0,4.315140852531377,4.27149777546801,-0.043643077063366675,-1.1663550283369402,0.24352913381705063,,,
feature_108,binary,41471.0,8529.0,4.317053483542962,4.285204019317868,-0.03184946422509327,-1.1647551066987831,0.24414081059672624,,,
