feature,type,effect,p,nu
feature_078,cont,0.7850298458991709,0.0,586
feature_051,binary,-1.3520012416989058,0.0,2
feature_057,cont,-0.3596446409145072,0.0,3
feature_038,binary,0.9721617117797638,1.7088416373826197e-216,2
feature_099,cont,-0.1200949222218085,5.558583064896573e-160,210
feature_092,cont,0.1025999714793794,4.430934865876039e-117,39
feature_013,binary,-0.3267730190670113,1.8615258128025077e-58,2
feature_043,binary,-0.3052066309179402,1.0437227587012202e-49,2
feature_009,cont,-0.04676309869094318,1.290897459291049e-25,5065
feature_109,binary,-0.22786971076974183,3.473876309642735e-07,2
feature_067,binary,0.22110793108607218,0.000731237769562676,2
feature_070,cont,-0.013588103302286998,0.0023779338038538967,16634
feature_028,cont,-0.012169908057708723,0.006502436172512275,268
feature_089,binary,0.09165045518078951,0.017134806387150908,2
feature_102,binary,-0.04933450716662158,0.02736795477124193,2
feature_094,cont,-0.009171061509235254,0.040295825138789855,43
feature_103,cont,0.00905714161176202,0.042843820734273466,39
feature_112,binary,-0.049272847888209625,0.04577436425172901,2
feature_079,binary,-0.051565838898995686,0.053494880634385907,2
feature_068,binary,-0.0516244429294872,0.0688471338468146,2
feature_065,cont,-0.008087345859696279,0.07054895410804612,179
feature_121,cont,0.008013142055501826,0.07316869403037159,11689
feature_063,binary,-0.03795602612888249,0.08801372958665916,2
feature_032,binary,0.05792819474395028,0.08877480346882617,2
feature_014,cont,-0.007581677169161374,0.09001918224825735,119
feature_006,cont,-0.007438911452584005,0.09623787523180267,23564
feature_095,binary,-0.05038067498525134,0.11045764106033384,2
feature_021,binary,-0.05943840806457157,0.11575418420980052,2
feature_040,binary,-0.07903528111436398,0.11904167110296128,2
feature_010,cont,-0.006577765215038163,0.14134192448906036,44
feature_041,binary,-0.04646267493262357,0.14251515196615533,2
feature_025,cont,0.0063775674423564,0.1538549830950637,5
feature_083,binary,-0.04008105912228377,0.15503094947492335,2
feature_026,cont,-0.006358952271414339,0.15505999247844096,5
feature_116,binary,-0.044443227926549866,0.15743285292432616,2
feature_002,binary,0.029373551484500382,0.15908818246996476,2
feature_054,cont,-0.00612966925325031,0.17049521615774216,301
feature_029,binary,0.030405483584550197,0.17380555149897875,2
feature_047,binary,0.029003413355464858,0.17737587540630237,2
feature_062,cont,0.006014538627292499,0.17866713504397122,107
feature_059,cont,-0.00586414032411862,0.1897766482011949,165
