feat,type,effect,p,dirA,dirB,absp
feature_078,cont,0.7850298458991709,0.0,-,-,300.0
feature_057,ord,-0.3596446409145072,0.0,-,-,300.0
feature_051,bin,-1.3520012416989058,0.0,3.7027062826990917,5.0547075243979975,300.0
feature_038,bin,0.9721617117797638,1.7088416373826197e-216,5.088922220206073,4.116760508426309,215.7672981825675
feature_099,cont,-0.1200949222218085,5.558583064896573e-160,-,-,159.2550359000585
feature_092,cont,0.1025999714793794,4.430934865876039e-117,-,-,116.35350463398971
feature_013,bin,-0.3267730190670113,1.8615258128025077e-58,4.121425633917682,4.4481986529846935,57.73013093726994
feature_043,bin,-0.3052066309179402,1.0437227587012202e-49,4.114194640659866,4.419401271577806,48.98141484650248
feature_009,cont,-0.04676309869094318,1.290897459291049e-25,-,-,24.88910825396342
feature_109,bin,-0.22786971076974183,3.473876309642735e-07,4.09410529082308,4.321975001592822,6.459185649042619
feature_067,bin,0.22110793108607218,0.000731237769562676,4.526068762137205,4.304960831051133,3.13594138471265
feature_070,cont,-0.013588103302286998,0.0023779338038538967,-,-,2.623800239297277
feature_028,cont,-0.012169908057708723,0.006502436172512275,-,-,2.1869239021173663
feature_089,bin,0.09165045518078951,0.017134806387150908,4.395931688665358,4.304281233484568,1.7661207984688407
feature_102,bin,-0.04933450716662158,0.02736795477124193,4.277125914524544,4.3264604216911655,1.5627576565450154
feature_094,cont,-0.009171061509235254,0.040295825138789855,-,-,1.394739946739968
feature_103,cont,0.00905714161176202,0.042843820734273466,-,-,1.368111806518477
feature_112,bin,-0.049272847888209625,0.04577436425172901,4.273097118542528,4.322369966430737,1.3393776787877802
feature_079,bin,-0.051565838898995686,0.053494880634385907,4.269358271690606,4.320924110589602,1.2716877772052608
feature_068,bin,-0.0516244429294872,0.0688471338468146,4.2677821574885835,4.319406600418071,1.1621141350065105
feature_065,cont,-0.008087345859696279,0.07054895410804612,-,-,1.1515094203004366
feature_121,cont,0.008013142055501826,0.07316869403037159,-,-,1.1356746965104747
feature_063,bin,-0.03795602612888249,0.08801372958665916,4.285110595045989,4.323066621174871,1.0554495753653976
feature_032,bin,0.05792819474395028,0.08877480346882617,4.36376292858837,4.30583473384442,1.051710280473813
feature_014,cont,-0.007581677169161374,0.09001918224825735,-,-,1.0456649365950794
feature_006,cont,-0.007438911452584005,0.09623787523180267,-,-,1.016653974044043
feature_095,bin,-0.05038067498525134,0.11045764106033384,4.267305760218418,4.31768643520367,0.9568042358309679
feature_021,bin,-0.05943840806457157,0.11575418420980052,4.256846920135781,4.316285328200353,0.9364633014211629
feature_040,bin,-0.07903528111436398,0.11904167110296128,4.2357641198275005,4.314799400941864,0.9243009851441246
feature_010,cont,-0.006577765215038163,0.14134192448906036,-,-,0.8497289996967643
feature_041,bin,-0.04646267493262357,0.14251515196615533,4.270708358150273,4.3171710330828965,0.8461389597574386
feature_025,ord,0.0063775674423564,0.1538549830950637,-,-,0.812888433146504
feature_083,bin,-0.04008105912228377,0.15503094947492335,4.277563725999241,4.317644785121525,0.8095815931559814
feature_026,ord,-0.006358952271414339,0.15505999247844096,-,-,0.8095002414330125
feature_116,bin,-0.044443227926549866,0.15743285292432616,4.2724803399650915,4.316923567891641,0.8029046343978802
feature_002,bin,0.029373551484500382,0.15908818246996476,4.329452697570656,4.300079146086156,0.7983620798047064
feature_054,cont,-0.00612966925325031,0.17049521615774216,-,-,0.7682878021579452
feature_029,bin,0.030405483584550197,0.17380555149897875,4.332805318568145,4.302399834983595,0.7599363559260872
feature_047,bin,0.029003413355464858,0.17737587540630237,4.330495443278914,4.301492029923449,0.7511054481479248
feature_062,cont,0.006014538627292499,0.17866713504397122,-,-,0.7479553265189883
feature_059,cont,-0.00586414032411862,0.1897766482011949,-,-,0.7217572280588394
feature_037,bin,0.026849135461385565,0.20451569124918997,4.328288008247164,4.301438872785779,0.6892733655954739
feature_018,cat,0.08158197697202407,0.21911235021866035,private,uninsured,0.6593331428379634
feature_123,cont,0.005458145493611127,0.22229167580488768,-,-,0.6530768000976416
feature_111,bin,0.0312985936833714,0.22481548890050165,4.336624422457217,4.305325828773846,0.6481737708952797
feature_060,bin,-0.03436722493982902,0.22674790840096656,4.282400212602605,4.316767437542434,0.6444567103278809
feature_072,bin,-0.07465678441486912,0.22974896191393265,4.239118412318789,4.313775196733658,0.6387464422315978
feature_001,bin,0.0707994336886486,0.24143811179473568,4.380280476738022,4.309481043049374,0.6171941740244729
feature_073,bin,-0.043643077063366675,0.24352913381705063,4.27149777546801,4.315140852531377,0.6134490759313921
feature_108,bin,-0.03184946422509327,0.24414081059672624,4.285204019317868,4.317053483542962,0.6123596178154147
feature_030,bin,0.03032145822878718,0.2603917460253776,4.336499358412165,4.3061779001833775,0.5843727862806714
feature_084,cont,-0.004880759238185097,0.2751188346483645,-,-,0.5604796767718843
feature_061,bin,-0.023353870409711597,0.27734348107366524,4.296397147970171,4.319751018379883,0.5569820377065721
feature_017,bin,-0.04996844754720353,0.2788057056309014,4.26416956477567,4.314138012322873,0.5546983428456879
feature_118,cont,-0.004801902215893823,0.2829493947013444,-,-,0.5482912307908451
feature_074,bin,0.023422311550566732,0.29740564263428565,4.328068685998715,4.304646374448148,0.5266507959294432
feature_015,bin,0.03185244205001325,0.3144321694284707,4.339662217818595,4.307809775768582,0.5024730278662096
feature_097,cont,0.004374451780213094,0.3280063825245135,-,-,0.4841177054706132
feature_096,ord,-0.004344371091703115,0.3313435507043106,-,-,0.4797214781309442
feature_022,bin,0.023852667424264062,0.3334620094451715,4.3302309301132045,4.30637826268894,0.47695363709418553
feature_053,bin,-0.030350899359630645,0.33347732564645344,4.284886315743508,4.315237215103139,0.47693369002748354
feature_045,bin,0.02447901177729772,0.3387569748193592,4.3311680720000885,4.306689060222791,0.4701117541415209
feature_114,bin,-0.01961251586383117,0.34443248979368046,4.300354780572944,4.319967296436775,0.46289588894719025
feature_087,bin,0.02956000215900101,0.3481813547470277,4.337671831838173,4.308111829679172,0.45819448924191764
feature_066,bin,-0.019097964030388326,0.35440736707411286,4.3010720324829,4.320169996513289,0.450497259001745
feature_088,bin,0.019010518285527134,0.3570570802503838,4.322025058593114,4.303014540307587,0.4472623506771972
feature_036,bin,-0.055627641219246904,0.36033490664362416,4.257666240164073,4.31329388138332,0.4432936645263356
feature_020,cont,-0.0040046481490871545,0.37054778386966125,-,-,0.43115577976883884
feature_071,ord,-0.0039767651824711885,0.373888610784924,-,-,0.42725776391396825
feature_008,bin,-0.01830565413944374,0.37511593366403073,4.30149061904776,4.319796273187204,0.4258344880876247
feature_050,bin,-0.12068062645597877,0.3913454774327474,4.191483038298518,4.312163664754497,0.40743968072068154
feature_076,bin,-0.017816866683859622,0.39366766866261355,4.301006025439869,4.318822892123729,0.4048702517020236
feature_004,bin,0.03742614392241084,0.4208210907158019,4.347144749223719,4.309718605301308,0.3759025023335038
feature_016,cont,0.0034972847568342773,0.4342148757662105,-,-,0.3622953021332949
feature_052,bin,0.021377558105206695,0.46239007633789087,4.329815041638787,4.30843748353358,0.3349914951713111
feature_106,bin,-0.015103721542577553,0.4634272830021721,4.304814562933929,4.319918284476507,0.33401840190447685
feature_064,cat,0.13372563046138897,0.4794502059601774,other,black,0.31925649047382015
feature_119,cont,-0.003110474458803737,0.4867372956169117,-,-,0.31270537522750197
feature_082,cont,0.002988885724620181,0.5039293814972113,-,-,0.2976303194570698
feature_081,bin,-0.018763613740269136,0.5189368626489576,4.295631000850538,4.314394614590807,0.2848854781267932
feature_042,cont,0.0028239799823773014,0.5277485591658894,-,-,0.27757294370890434
feature_107,bin,-0.024254804066826452,0.528258837482083,4.289250881240693,4.313505685307519,0.2771532287051843
feature_105,bin,0.013467279805797538,0.5461460794315068,4.321012144180816,4.307544864375019,0.2626911796289302
feature_033,ord,0.002687421856272249,0.5478986953213084,-,-,0.26129973372376997
feature_012,bin,0.011954406837554998,0.5604174231402679,4.31787538668099,4.305920979843435,0.2514883711449164
feature_090,cont,0.002513757856457779,0.5740613915300264,-,-,0.24104166060372448
feature_077,bin,-0.012627500436467542,0.6114457563310283,4.301772666895053,4.31440016733152,0.213642064827253
feature_069,bin,-0.01255672666545582,0.6233633029829523,4.301575722872147,4.3141324495376026,0.20525876795765
feature_113,bin,-0.02843999527514285,0.6274570118763281,4.284011054522336,4.312451049797479,0.2024160230651281
feature_058,bin,0.049510719361856026,0.6483476184927027,4.360625321745423,4.311114602383567,0.18819208006430063
feature_048,bin,0.009186615182571245,0.660668968389674,4.317113462885408,4.307926847702837,0.18001609151713702
feature_075,ord,-0.001892777629929085,0.6721291075096899,-,-,0.17254729644996755
feature_035,bin,-0.019225840858952736,0.680349204413334,4.293361051838064,4.312586892697016,0.16726811873156447
feature_046,bin,-0.00907576485627537,0.7016242442111295,4.304837012251271,4.3139127771075465,0.15389541259356146
feature_110,bin,0.015226462126104678,0.7237014242306877,4.325941698623532,4.310715236497427,0.14044057268979557
feature_011,cont,0.0015344419785503689,0.7315207627343621,-,-,0.13577334279500006
feature_104,bin,0.013048505787938147,0.7354241935003043,4.323653933973081,4.310605428185143,0.13346208709858107
feature_100,bin,0.024036618587379266,0.741251555676544,4.335181295474794,4.311144676887415,0.13003438216592084
feature_093,bin,0.019647519074915465,0.7416787649993222,4.330670836430483,4.311023317355567,0.12978415509315006
feature_117,bin,-0.014135218926748294,0.7453697664739175,4.2983425426844155,4.312477761611164,0.1276282269830857
feature_091,bin,0.01656859747133499,0.750135022335352,4.327512206514101,4.310943609042766,0.12486055770511811
feature_049,bin,0.006745990983830552,0.7530588901602104,4.315995916767738,4.309249925783908,0.12317106009203947
feature_115,bin,-0.014015562850260288,0.759219875472835,4.298320673724319,4.31233623657458,0.11963243111923683
feature_007,bin,-0.006023315423925091,0.7702692019715673,4.308292238298493,4.314315553722418,0.1133574663880454
feature_080,bin,-0.021744137020345278,0.7703873505776446,4.290320045310315,4.31206418233066,0.11329085674986275
feature_120,bin,-0.02188626140753147,0.7743926326850282,4.2901370477378125,4.312023309145344,0.11103878741383956
feature_098,bin,-0.02992320702703477,0.7744591948344488,4.281989445408994,4.311912652436029,0.11100145966730997
feature_027,bin,0.03994909148473624,0.7861833575452978,4.351369148980928,4.311420057496192,0.10447615385444733
feature_019,cont,-0.0011826017818815837,0.7914476119457391,-,-,0.10157782697454948
feature_044,cont,0.0011033865535277315,0.8051259791575758,-,-,0.0941361596665265
feature_086,bin,0.005450360045876401,0.8107213831064481,4.315544643154075,4.3100942831081985,0.09112837213793894
feature_055,cont,-0.0010518491799919858,0.8140575326342188,-,-,0.08934490073411966
feature_023,bin,0.00775769249842817,0.819642906442986,4.318610593184229,4.310852900685801,0.08637531534686285
feature_122,bin,-0.004699856361551902,0.8196823342608103,4.3090254352497235,4.313725291611275,0.08635442469832928
feature_039,bin,0.005186669255706988,0.8556953074438376,4.316012673461178,4.310826004205471,0.06768084963608408
feature_005,bin,-0.003661094123144082,0.8588629693819372,4.309622596428681,4.313283690551825,0.0660761218364313
feature_024,bin,0.005400886234546931,0.8725186558849393,4.3164694095790965,4.31106852334455,0.05922527833867946
feature_034,bin,-0.0025327509601664744,0.9239317050549372,4.309543543528032,4.3120762944881985,0.034360129660802534
feature_003,cont,0.000354461457000668,0.9368274025311241,-,-,0.028340414483510493
feature_056,cont,0.0003312767494225426,0.9409515963234868,-,-,0.026432716626184655
feature_101,cont,-0.00029224845454203254,0.9478976351315107,-,-,0.023238560233558983
feature_085,bin,0.000756655398282291,0.9824167708013618,4.312301410196604,4.311544754798322,0.0077042323141450425
feature_031,cont,-3.530433340995764e-05,0.9937014916210813,-,-,0.0027440582705493925
