feature,kind,effect,p,n1,n0,abs_eff
feature_051,binary,-1.3520012416989058,0.0,27481,22519,1.3520012416989058
feature_057_slope,multicat_slope,-1.1896680457304332,0.0,50000,0,1.1896680457304332
feature_078,continuous_corr,0.7661014023245134,0.0,50000,0,0.7661014023245134
feature_057_anova,multicat_anova,3528.8771960833637,0.0,50000,0,3528.8771960833637
feature_038,binary,0.9721617117797638,1.7088416373826197e-216,10022,39978,0.9721617117797638
feature_099,continuous_corr,-0.12285577040366533,2.2067463507322854e-167,50000,0,0.12285577040366533
feature_092,continuous_corr,0.1017696822037902,3.248766421347271e-115,50000,0,0.1017696822037902
feature_013,binary,-0.3267730190670113,1.8615258128025077e-58,20898,29102,0.3267730190670113
feature_043,binary,-0.3052066309179402,1.0437227587012202e-49,17657,32343,0.3052066309179402
feature_009,continuous_corr,-0.03773937205463503,3.1308680243784293e-17,50000,0,0.03773937205463503
feature_109,binary,-0.22786971076974183,3.473876309642735e-07,2272,47728,0.22786971076974183
feature_067,binary,0.22110793108607218,0.000731237769562676,1506,48494,0.22110793108607218
feature_070,continuous_corr,-0.012824507800830266,0.004134760774735755,50000,0,0.012824507800830266
feature_006,continuous_corr,-0.011162867508273312,0.01255642177719829,50000,0,0.011162867508273312
feature_089,binary,0.09165045518078951,0.017134806387150908,4004,45996,0.09165045518078951
feature_102,binary,-0.04933450716662158,0.02736795477124193,15040,34960,0.04933450716662158
feature_028,continuous_corr,-0.009005524710101074,0.044042402829101,50000,0,0.009005524710101074
feature_112,binary,-0.049272847888209625,0.04577436425172901,10908,39092,0.049272847888209625
feature_025_anova,multicat_anova,2.412230864094036,0.0467898261863575,50000,0,2.412230864094036
feature_079,binary,-0.051565838898995686,0.053494880634385907,9021,40979,0.051565838898995686
feature_103,continuous_corr,0.00857509196005721,0.05518254331978192,50000,0,0.00857509196005721
feature_055,continuous_corr,-0.008253443749746717,0.06496317909352947,50000,0,0.008253443749746717
feature_068,binary,-0.0516244429294872,0.0688471338468146,7541,42459,0.0516244429294872
feature_096_anova,multicat_anova,2.1762281579135974,0.06893002389795255,50000,0,2.1762281579135974
feature_121,continuous_corr,0.008113267240143718,0.06965214110624009,50000,0,0.008113267240143718
feature_014,continuous_corr,-0.007890070044893376,0.07768877928776306,50000,0,0.007890070044893376
feature_096_slope,multicat_slope,-0.016107124106617427,0.08665326064365855,50000,0,0.016107124106617427
feature_063,binary,-0.03795602612888249,0.08801372958665916,15078,34922,0.03795602612888249
feature_032,binary,0.05792819474395028,0.08877480346882617,4994,45006,0.05792819474395028
feature_010,continuous_corr,-0.007473969918923575,0.09467980337433253,50000,0,0.007473969918923575
feature_094,continuous_corr,-0.007231698117409159,0.10587017061810995,50000,0,0.007231698117409159
feature_095,binary,-0.05038067498525134,0.11045764106033384,6020,43980,0.05038067498525134
feature_021,binary,-0.05943840806457157,0.11575418420980052,3924,46076,0.05943840806457157
feature_040,binary,-0.07903528111436398,0.11904167110296128,2011,47989,0.07903528111436398
feature_059,continuous_corr,-0.006826093002973548,0.12692510763434062,50000,0,0.006826093002973548
feature_033_anova,multicat_anova,1.7704759258043012,0.13164124692880494,50000,0,1.7704759258043012
feature_016,continuous_corr,0.006575051792985924,0.14150612984142175,50000,0,0.006575051792985924
feature_041,binary,-0.04646267493262357,0.14251515196615533,5973,44027,0.04646267493262357
feature_083,binary,-0.04008105912228377,0.15503094947492335,7515,42485,0.04008105912228377
feature_116,binary,-0.044443227926549866,0.15743285292432616,5966,44034,0.044443227926549866
feature_002,binary,0.029373551484500382,0.15908818246996476,19646,30354,0.029373551484500382
feature_054,continuous_corr,-0.0062270746903319105,0.16380284246955817,50000,0,0.0062270746903319105
feature_020,continuous_corr,-0.006206227267506641,0.16521827984006804,50000,0,0.006206227267506641
feature_029,binary,0.030405483584550197,0.17380555149897875,15163,34837,0.030405483584550197
feature_047,binary,0.029003413355464858,0.17737587540630237,17461,32539,0.029003413355464858
feature_065,continuous_corr,-0.005937192063723234,0.18431854330214645,50000,0,0.005937192063723234
feature_062,continuous_corr,0.00579054002445731,0.19539523765610214,50000,0,0.00579054002445731
feature_071_anova,multicat_anova,1.3358612296108767,0.2043439914748687,50000,0,1.3358612296108767
feature_037,binary,0.026849135461385565,0.20451569124918997,18961,31039,0.026849135461385565
feature_018_anova,cat_anova,1.4749275499930867,0.21911235021866027,50000,0,1.4749275499930867
feature_111,binary,0.0312985936833714,0.22481548890050165,10056,39944,0.0312985936833714
feature_060,binary,-0.03436722493982902,0.22674790840096656,7488,42512,0.03436722493982902
feature_072,binary,-0.07465678441486912,0.22974896191393265,1443,48557,0.07465678441486912
feature_001,binary,0.0707994336886486,0.24143811179473568,1511,48489,0.0707994336886486
feature_073,binary,-0.043643077063366675,0.24352913381705063,4033,45967,0.043643077063366675
feature_108,binary,-0.03184946422509327,0.24414081059672624,8529,41471,0.03184946422509327
feature_030,binary,0.03032145822878718,0.2603917460253776,8975,41025,0.03032145822878718
feature_097,continuous_corr,0.0050248438732340955,0.2611962317406869,50000,0,0.0050248438732340955
feature_061,binary,-0.023353870409711597,0.27734348107366524,17407,32593,0.023353870409711597
feature_017,binary,-0.04996844754720353,0.2788057056309014,2519,47481,0.04996844754720353
feature_011,continuous_corr,0.004735716664714308,0.28963717062270583,50000,0,0.004735716664714308
feature_074,binary,0.023422311550566732,0.29740564263428565,14888,35112,0.023422311550566732
feature_026_slope,multicat_slope,-0.009243740288951308,0.31155546126584743,50000,0,0.009243740288951308
feature_015,binary,0.03185244205001325,0.3144321694284707,5982,44018,0.03185244205001325
feature_044,continuous_corr,0.004427194229855226,0.32220793089459565,50000,0,0.004427194229855226
feature_022,binary,0.023852667424264062,0.3334620094451715,10989,39011,0.023852667424264062
feature_053,binary,-0.030350899359630645,0.33347732564645344,5958,44042,0.030350899359630645
feature_118,continuous_corr,-0.004313430427097831,0.33479894735114135,50000,0,0.004313430427097831
feature_123,continuous_corr,0.004295399590904566,0.3368232675198376,50000,0,0.004295399590904566
feature_045,binary,0.02447901177729772,0.3387569748193592,10073,39927,0.02447901177729772
feature_114,binary,-0.01961251586383117,0.34443248979368046,21279,28721,0.01961251586383117
feature_087,binary,0.02956000215900101,0.3481813547470277,5935,44065,0.02956000215900101
feature_084,continuous_corr,-0.0041598245344332645,0.3522955934025932,50000,0,0.0041598245344332645
feature_066,binary,-0.019097964030388326,0.35440736707411286,22383,27617,0.019097964030388326
feature_088,binary,0.019010518285527134,0.3570570802503838,22635,27365,0.019010518285527134
feature_036,binary,-0.055627641219246904,0.36033490664362416,1504,48496,0.055627641219246904
feature_008,binary,-0.01830565413944374,0.37511593366403073,22331,27669,0.01830565413944374
feature_025_slope,multicat_slope,0.007835974300180454,0.3875122049224516,50000,0,0.007835974300180454
feature_050,binary,-0.12068062645597877,0.3913454774327474,225,49775,0.12068062645597877
feature_076,binary,-0.017816866683859622,0.39366766866261355,20212,29788,0.017816866683859622
feature_004,binary,0.03742614392241084,0.4208210907158019,2541,47459,0.03742614392241084
feature_052,binary,0.021377558105206695,0.46239007633789087,7445,42555,0.021377558105206695
feature_106,binary,-0.015103721542577553,0.4634272830021721,27469,22531,0.015103721542577553
feature_064_anova,cat_anova,0.8724314412177243,0.4794502059601774,50000,0,0.8724314412177243
feature_081,binary,-0.018763613740269136,0.5189368626489576,7392,42608,0.018763613740269136
feature_107,binary,-0.024254804066826452,0.528258837482083,3886,46114,0.024254804066826452
feature_090,continuous_corr,0.0027572559287074344,0.537546805867963,50000,0,0.0027572559287074344
feature_105,binary,0.013467279805797538,0.5461460794315068,15132,34868,0.013467279805797538
feature_071_slope,multicat_slope,-0.0022963350879728985,0.5467281949665307,50000,0,0.0022963350879728985
feature_012,binary,0.011954406837554998,0.5604174231402679,23839,26161,0.011954406837554998
feature_077,binary,-0.012627500436467542,0.6114457563310283,11006,38994,0.012627500436467542
feature_069,binary,-0.01255672666545582,0.6233633029829523,10002,39998,0.01255672666545582
feature_113,binary,-0.02843999527514285,0.6274570118763281,1460,48540,0.02843999527514285
feature_075_anova,multicat_anova,0.6281510478501984,0.6423825520087946,50000,0,0.6281510478501984
