feature,kind,mean,std,OR_per_unit,effect,p_value,n_pos,rate_1,rate_0,OR,n_levels,rates
feature_051,ordinal,0.79848,0.6783501255088374,0.6873354398160327,-0.3749328383602404,1.7325099096621463e-93,,,,,,
feature_013,binary,,,,-0.29508011176975657,1.3090389426613218e-33,32365.0,0.15396261393480612,0.19642755883186844,0.744471944111897,,
feature_011,continuous,3.8398919999999994,3.870236969879243,0.9622102444573896,-0.038522302862851056,1.7878154201157947e-32,,,,,,
feature_067,binary,,,,-0.25212302004295,2.0397854888166925e-18,12584.0,0.14359504132231404,0.1774641864443019,0.7771491272690292,,
feature_006,binary,,,,0.1272300800496943,9.825607973373308e-07,14258.0,0.18193294992285033,0.16375692462648983,1.1356782846403548,,
feature_099,continuous,3.801978,0.5016358442998324,1.0949031742037876,0.09066593397404037,0.00013981013094285316,,,,,,
feature_007,binary,,,,0.08255318976907074,0.0005660234880564283,22371.0,0.17536095838362165,0.16374099677874696,1.0860564389939626,,
feature_063,continuous,6.086860999999999,9.104812951459058,0.99514513148071,-0.004866691675561055,0.0006882461176529518,,,,,,
feature_092,continuous,0.30685414734257827,0.21181304087142336,1.180396353196561,0.165850274617762,0.0031928243285727844,,,,,,
feature_039,binary,,,,0.07018763868538383,0.0032898241872041305,25008.0,0.1738643634037108,0.16401248399487836,1.0727094441611735,,
feature_076,binary,,,,0.10034465740610124,0.018221867564151072,4066.0,0.1822429906542056,0.16776244176427046,1.1055518890660356,,
feature_112,binary,,,,-0.09891305147992743,0.031161645084818054,3879.0,0.15648362980149524,0.1699876412046573,0.9058214644354048,,
feature_033,ordinal,1.3465,1.1106135328044517,0.9780880335594447,-0.02215559913386164,0.04024084520431761,,,,,,
feature_123,categorical,,,,,0.04481469374100249,,,,,5.0,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,binary,,,,-0.06191128376011773,0.04877798674931671,9048.0,0.16191423519009726,0.17049228364915023,0.9399662733655517,,
feature_053,binary,,,,-0.044293931338935714,0.06539743409980613,22409.0,0.16551385603998395,0.17172266318727122,0.9566727200492978,,
feature_043,categorical,,,,,0.07841390423372419,,,,,2.0,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_044,continuous,27.997725,11.709526210332184,0.9982138043170946,-0.0017877928325788113,0.08224925641221482,,,,,,
feature_074,binary,,,,0.07382863703576578,0.08637974514455865,4013.0,0.1786693246947421,0.16809098223410965,1.0766222964995782,,
feature_031,continuous,130.02716,15.042842420119994,1.0013541769668306,0.0013532608961232698,0.08810406382399363,,,,,,
feature_100,binary,,,,0.13245510357279028,0.10642185455077526,995.0,0.1879396984924623,0.16855422916028975,1.1416277599309597,,
feature_117,binary,,,,-0.060852692151400344,0.16705289337105422,4143.0,0.16123581945450158,0.16963604247988312,0.94096184063162,,
feature_038,binary,,,,-0.035505671959382555,0.1750694157177909,14976.0,0.16546474358974358,0.17042599360438557,0.9651172601085772,,
feature_032,binary,,,,0.039801515641838786,0.1777661158161591,10067.0,0.17343796563027714,0.16780607517591967,1.0406042100344606,,
feature_070,continuous,104.324623,49.43196164056716,1.0003177917650683,0.00031774127996093943,0.18473882010478815,,,,,,
feature_010,continuous,1.8044660000000001,0.6015100091684449,1.025143588973768,0.024832689582807443,0.21073279137359446,,,,,,
feature_085,binary,,,,0.04525863877680882,0.21075126866574612,6060.0,0.17458745874587459,0.1681611288120164,1.046298438264431,,
feature_028,continuous,0.6705592000000001,0.3161666815506821,0.953713290500377,-0.047392186769954055,0.21267772865754841,,,,,,
feature_005,categorical,,,,,0.23151897695571896,,,,,4.0,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_026,ordinal,1.2545,1.1356740487969699,0.9877998696786139,-0.01227516280656494,0.2444126512164444,,,,,,
feature_045,ordinal,1.10846,1.0967226105126529,1.0123265632255147,0.012251209746055087,0.25846432096228544,,,,,,
feature_081,binary,,,,-0.0706656980863227,0.2608361143763861,1961.0,0.15961244263131055,0.16932076021565812,0.9317733336755001,,
feature_093,binary,,,,-0.02674677076840294,0.26310075622544893,23978.0,0.16698640420385352,0.17074014295596035,0.9736077562546449,,
feature_046,binary,,,,0.05878099262039765,0.26690401089648064,2589.0,0.1769022788721514,0.16850519921537196,1.0605429485721154,,
feature_057,categorical,,,,,0.26858137121818315,,,,,3.0,"{'current': 0.1722986509950581, 'former': 0.16849856712736241, 'never': 0.16382893149215713}"
feature_059,continuous,7.500423999999999,2.5102950129108406,1.005256073181945,0.00524230824125463,0.2701742799775271,,,,,,
