col,n1,rr0,rr1,diff,p,absdiff
feature_013,32365,0.19642755883186844,0.15396261393480612,-0.04246494489706232,1.109329360648439e-33,0.04246494489706232
feature_067,12584,0.1774641864443019,0.14359504132231404,-0.033869145121987854,1.9915374242765803e-18,0.033869145121987854
feature_006,14258,0.16375692462648983,0.18193294992285033,0.018176025296360504,1.0395027404398896e-06,0.018176025296360504
feature_007,22371,0.16374099677874696,0.17536095838362165,0.01161996160487469,0.0005904565948079544,0.01161996160487469
feature_039,25008,0.16401248399487836,0.1738643634037108,0.009851879408832448,0.0034149284285682475,0.009851879408832448
feature_076,4066,0.16776244176427046,0.1822429906542056,0.014480548889935135,0.01927836481113668,0.014480548889935135
feature_112,3879,0.1699876412046573,0.15648362980149524,-0.01350401140316207,0.03288596918188831,0.01350401140316207
feature_021,9048,0.17049228364915023,0.16191423519009726,-0.008578048459052967,0.050551875323761514,0.008578048459052967
feature_053,22409,0.17172266318727122,0.16551385603998395,-0.006208807147287276,0.06715732226589445,0.006208807147287276
feature_074,4013,0.16809098223410965,0.1786693246947421,0.01057834246063244,0.09042000699547424,0.01057834246063244
feature_100,995,0.16855422916028975,0.1879396984924623,0.019385469332172556,0.11574326628411497,0.019385469332172556
feature_117,4143,0.16963604247988312,0.16123581945450158,-0.008400223025381542,0.17374300997982106,0.008400223025381542
feature_038,14976,0.17042599360438557,0.16546474358974358,-0.0049612500146419825,0.17923590925972227,0.0049612500146419825
feature_032,10067,0.16780607517591967,0.17343796563027714,0.005631890454357469,0.1825817697633948,0.005631890454357469
feature_085,6060,0.1681611288120164,0.17458745874587459,0.006426329933858194,0.21746234658697272,0.006426329933858194
feature_093,23978,0.17074014295596035,0.16698640420385352,-0.0037537387521068277,0.2682219928886605,0.0037537387521068277
feature_081,1961,0.16932076021565812,0.15961244263131055,-0.009708317584347564,0.2740012380258302,0.009708317584347564
feature_046,2589,0.16850519921537196,0.1769022788721514,0.008397079656779438,0.27861548698102373,0.008397079656779438
feature_104,8858,0.16812503038257742,0.17272522013998645,0.004600189757409029,0.3018338227376992,0.004600189757409029
feature_071,5976,0.16829456660003633,0.17369477911646586,0.005400212516429526,0.30440613738862127,0.005400212516429526
feature_111,7546,0.16825269703679277,0.172806785051683,0.00455408801489024,0.3389751042562632,0.00455408801489024
feature_016,17443,0.16779801578769543,0.17107148999598693,0.0032734742082914936,0.3583405793126079,0.0032734742082914936
feature_012,20896,0.17025151181968115,0.16711332312404287,-0.003138188695638283,0.36199179382836344,0.003138188695638283
feature_015,13980,0.1698778456413104,0.16652360515021458,-0.0033542404910958112,0.3761205445812471,0.0033542404910958112
feature_027,7451,0.1695692025664528,0.16534693329754396,-0.00422226926890884,0.37857380495364534,0.00422226926890884
feature_075,7350,0.16832356389214537,0.17251700680272108,0.004193442910575718,0.38468538116615936,0.004193442910575718
feature_109,6517,0.16951452291700206,0.16510664416142395,-0.004407878755578104,0.3854536658750173,0.004407878755578104
feature_068,5056,0.16943307226771093,0.16455696202531644,-0.004876110242394482,0.3911682553313359,0.004876110242394482
feature_116,488,0.16909032153821296,0.15368852459016394,-0.015401796948049024,0.39929412373266593,0.015401796948049024
feature_120,2397,0.16862382622943933,0.17521902377972465,0.006595197550285314,0.41627353404434064,0.006595197550285314
feature_017,5972,0.16943763059870992,0.16527126590756866,-0.004166364691141261,0.4307368786095056,0.004166364691141261
feature_049,3000,0.16927659574468085,0.16366666666666665,-0.005609929078014192,0.44134085513059573,0.005609929078014192
feature_080,1501,0.16870450937132725,0.1765489673550966,0.007844457983769343,0.4449539745793255,0.007844457983769343
feature_079,6032,0.16846342794759825,0.1724137931034483,0.0039503651558500386,0.45354710067712867,0.0039503651558500386
feature_030,10981,0.168276993259694,0.17129587469265095,0.003018881432956949,0.4645280072229979,0.003018881432956949
feature_036,2464,0.16921911814203972,0.16355519480519481,-0.0056639233368449005,0.4814059653319218,0.0056639233368449005
feature_009,1519,0.16915905199975248,0.1619486504279131,-0.007210401571839387,0.48159454003626045,0.007210401571839387
feature_088,15151,0.1681540359838159,0.17074780542538445,0.0025937694415685553,0.48495291638085747,0.0025937694415685553
feature_087,9910,0.1695185831878274,0.16659939455095862,-0.002919188636868769,0.49682498009814713,0.002919188636868769
feature_052,264,0.16903249155541258,0.15151515151515152,-0.017517340040261065,0.4995155734701594,0.017517340040261065
feature_108,978,0.16910774754191996,0.1605316973415133,-0.008576050200406665,0.505639033253345,0.008576050200406665
feature_113,1467,0.16914264521047534,0.16223585548738922,-0.006906789723086115,0.5091188462561029,0.006906789723086115
feature_095,22417,0.16792952180691006,0.17018334299861712,0.002253821191707056,0.5112445776723168,0.002253821191707056
feature_002,17316,0.1681862685105862,0.17036267036267036,0.0021764018520841477,0.5448990416756159,0.0021764018520841477
feature_069,15019,0.16957777078985736,0.16745455756042346,-0.0021232132294339012,0.5701499697054165,0.0021232132294339012
feature_083,12462,0.16838936544301775,0.1705986198042048,0.0022092543611870463,0.5778622377591959,0.0022092543611870463
feature_022,5079,0.16925268805235857,0.16617444378814727,-0.0030782442642112995,0.5925183355797236,0.0030782442642112995
feature_061,2503,0.16914752510684886,0.16500199760287654,-0.004145527503972318,0.6085706665125763,0.004145527503972318
feature_041,1961,0.16875871687587168,0.17338092809790923,0.004622211222037542,0.6137648634527899,0.004622211222037542
feature_004,3050,0.16915867944621937,0.16557377049180327,-0.0035849089544160995,0.6262050248958319,0.0035849089544160995
feature_107,7402,0.1692802478989624,0.1669818967846528,-0.0022983511143095936,0.6381433360372275,0.0022983511143095936
feature_091,9153,0.16929027835581562,0.16737681634436796,-0.001913462011447653,0.669996133534826,0.001913462011447653
feature_110,20206,0.1683560448412432,0.1698010491933089,0.0014450043520657097,0.6810720333253273,0.0014450043520657097
feature_047,9980,0.16859070464767617,0.17034068136272545,0.001749976715049284,0.6873269315164132,0.001749976715049284
feature_058,1018,0.16883753215466907,0.1738703339882122,0.005032801833543127,0.7025285003644036,0.005032801833543127
feature_114,7702,0.16866045675918484,0.1704752012464295,0.0018147444872446683,0.7081006399810921,0.0018147444872446683
feature_098,1511,0.16882179463383448,0.1727332892124421,0.003911494578607622,0.7153024625785731,0.003911494578607622
feature_086,27510,0.1696309470875945,0.1683751363140676,-0.0012558107735268775,0.7182324873400854,0.0012558107735268775
feature_073,14999,0.16853804177023513,0.1698779918661244,0.0013399500958892752,0.7237821412233081,0.0013399500958892752
feature_008,286,0.16888602808062114,0.17832167832167833,0.009435650241057192,0.7297079195205769,0.009435650241057192
