Found 78 binary features
                  feat     n1       rr1       rr0      diff             p
77  objective_response   8447  1.000000  0.000000  1.000000  0.000000e+00
1          feature_013  32365  0.153963  0.196428 -0.042465  1.109329e-33
2          feature_067  12584  0.143595  0.177464 -0.033869  1.991537e-18
8          feature_006  14258  0.181933  0.163757  0.018176  1.039503e-06
0          feature_007  22371  0.175361  0.163741  0.011620  5.904566e-04
9          feature_039  25008  0.173864  0.164012  0.009852  3.414928e-03
68         feature_076   4066  0.182243  0.167762  0.014481  1.927836e-02
76         feature_112   3879  0.156484  0.169988 -0.013504  3.288597e-02
18         feature_021   9048  0.161914  0.170492 -0.008578  5.055188e-02
48         feature_053  22409  0.165514  0.171723 -0.006209  6.715732e-02
45         feature_074   4013  0.178669  0.168091  0.010578  9.042001e-02
38         feature_100    995  0.187940  0.168554  0.019385  1.157433e-01
19         feature_117   4143  0.161236  0.169636 -0.008400  1.737430e-01
12         feature_038  14976  0.165465  0.170426 -0.004961  1.792359e-01
29         feature_032  10067  0.173438  0.167806  0.005632  1.825818e-01
16         feature_085   6060  0.174587  0.168161  0.006426  2.174623e-01
75         feature_093  23978  0.166986  0.170740 -0.003754  2.682220e-01
27         feature_081   1961  0.159612  0.169321 -0.009708  2.740012e-01
59         feature_046   2589  0.176902  0.168505  0.008397  2.786155e-01
64         feature_104   8858  0.172725  0.168125  0.004600  3.018338e-01
52         feature_071   5976  0.173695  0.168295  0.005400  3.044061e-01
28         feature_111   7546  0.172807  0.168253  0.004554  3.389751e-01
50         feature_016  17443  0.171071  0.167798  0.003273  3.583406e-01
71         feature_012  20896  0.167113  0.170252 -0.003138  3.619918e-01
15         feature_015  13980  0.166524  0.169878 -0.003354  3.761205e-01
6          feature_027   7451  0.165347  0.169569 -0.004222  3.785738e-01
51         feature_075   7350  0.172517  0.168324  0.004193  3.846854e-01
3          feature_109   6517  0.165107  0.169515 -0.004408  3.854537e-01
30         feature_068   5056  0.164557  0.169433 -0.004876  3.911683e-01
24         feature_116    488  0.153689  0.169090 -0.015402  3.992941e-01
