,coef,se,z,pval,OR
feature_051,-0.38246988342448623,0.018411957987497965,-20.772906590607572,7.611039393881473e-96,0.6821744354249845
feature_013,-0.302610378010335,0.024680504021724014,-12.261110135513217,1.4647927817688465e-34,0.7388869268888836
feature_011,-0.039440019557080055,0.0032735608207764286,-12.048048506312954,1.9859616489903682e-33,0.9613276131173969
feature_067,-0.2605944572995555,0.029078311380487738,-8.961815350612856,3.193763425082748e-19,0.7705933647699644
feature_006,0.13098356320829002,0.027346087000264852,4.789846649980358,1.6690882058722097e-06,1.1399490440530033
feature_099,0.09381812542144896,0.024121015401380543,3.8894766186368495,0.00010046064663423788,1.0983599639945492
feature_063,-0.005040960615893065,0.0014518229119786666,-3.4721594309479658,0.0005162896257615607,0.9949717237034039
feature_007,0.08068121097506441,0.0242234365598114,3.3307087033604854,0.0008662519981355233,1.0840252661204988
feature_039,0.07833819542295997,0.02415445875443275,3.2432188284319805,0.0011818739954305778,1.0814883512391946
feature_092,0.17633613923399696,0.05690623253513101,3.098713996312021,0.0019436254774189852,1.1928389512403825
feature_005_private,0.0895747509314673,0.037974251689857526,2.358828599521598,0.018332721047262423,1.0937090860297018
feature_076,0.0998885738812575,0.04302009846408434,2.3219048176900445,0.020238061351033846,1.105047780030224
feature_112,-0.10141164930525613,0.046394637650548944,-2.185848504068578,0.028826690795462906,0.9035610060584246
feature_033,-0.02160345016255405,0.010937075490467315,-1.9752492502573908,0.0482398693495237,0.9786282329825765
feature_021,-0.060716952610900134,0.03176771236026772,-1.9112787197997798,0.055968772269738655,0.9410895750286036
feature_074,0.08272753384392646,0.04357820999481706,1.8983692504525906,0.05764745734066202,1.086245803005827
feature_044,-0.0019394888250085136,0.001040340870647183,-1.8642820634375172,0.06228210431183772,0.9980623907680963
feature_053,-0.04509962843787338,0.024321662045827783,-1.8542987873482897,0.06369642552689819,0.9559022420417486
feature_031,0.0013854911739803635,0.0008012260230222306,1.7292138974147149,0.08377081997104364,1.0013864514102921
feature_100,0.1424842109846931,0.08305513075816771,1.715537736007731,0.08624668296590025,1.153134873949459
feature_005_medicare,0.06306144006462139,0.03773875019138565,1.670999695136061,0.09472173802792219,1.0650922765593476
feature_123_white,-0.0785751423719742,0.050817682897923,-1.5462165508373797,0.12205227764148838,0.9244325932638526
const,-1.2824900975049625,0.893995018251752,-1.4345606757551406,0.15141232722702022,0.2773458217470473
feature_070,0.0003437474134266621,0.00024211402200136927,1.4197749084715054,0.15567322203146,1.000343806501339
feature_043_squamous,0.03800618964525972,0.02796162102304524,1.3592269780759854,0.17407467496561801,1.0387376622762472
feature_038,-0.035736977292121316,0.026483911673262785,-1.3493844011041654,0.17721352853540506,0.964894049155533
feature_032,0.04007556748557664,0.029880278037821274,1.3412046378835758,0.1798540209936147,1.0408894286173762
feature_020,0.0016309335900434035,0.001248033501916688,1.3068027320890587,0.19127971705888658,1.001632264285558
feature_117,-0.05543689355891718,0.044516966563904796,-1.2452980927920292,0.21302219647429188,0.9460717250062196
