feature,mean,sd,beta_per_sd,se,p_value
feature_011,3.8398919999999994,3.87019826731603,-0.14908894979282955,0.012564886382981142,1.787815420116383e-32
feature_099,3.801978,0.5016308279163074,0.04548082752320464,0.01194191432916221,0.00013981013094281982
feature_063,6.086860999999999,9.1047219028743,-0.04430987429301671,0.013054512192380427,0.0006882461176529586
feature_092,0.30685414734257827,0.2118109227304239,0.03512889970188233,0.01191401215123838,0.0031928243285728342
feature_044,27.997725,11.709409114484599,-0.0209339976886088,0.012046389739340982,0.08224925641221127
feature_031,130.02716,15.042691990943643,0.02035668684376996,0.011936012601782816,0.08810406382400196
feature_070,104.324623,49.431467318479136,0.015706417696120845,0.011842240134130693,0.1847388201047908
feature_010,1.8044660000000001,0.6015039940382774,0.014936961966771429,0.011934741891576542,0.2107327913735989
feature_028,0.6705592000000001,0.31616351986805813,-0.014983680583432961,0.012023147587101107,0.21267772865755152
feature_059,7.500423999999999,2.5102699098351953,0.013159608636102622,0.011934406936466413,0.27017427997752774
feature_020,5.7898124,9.346878571630544,0.01224080056324354,0.01152790000582772,0.2883077278352325
feature_096,1.982722,1.724708538482952,-0.0120722257221716,0.012079686731027764,0.31760950622171524
feature_054,1.05701,0.16728552806504213,0.011571139647245543,0.011919535281239865,0.3316623074591726
feature_062,25.9954,4.991839704958484,0.011157568587334915,0.011933349559416441,0.3497931902843878
feature_066,3.4948233999999996,2.0851773614761027,-0.010461340127391744,0.012020966876380944,0.3841595379200906
feature_121,107.77664859999999,27.416082085559164,-0.010202031702208849,0.011966966098253765,0.3939276868063618
feature_048,12.99884,2.9805366386608974,-0.010000807492628444,0.011938104458620043,0.4021871016901034
feature_056,139.96988,3.0055303667738915,-0.00945927562976129,0.01193548514329577,0.42804948014357247
feature_055,223.72975760000003,80.83938646183086,0.007928493586518797,0.011899659188441226,0.505232755595653
feature_003,4.491785999999999,1.786573460623436,-0.007226200899453175,0.011936951862680803,0.5449371670726708
feature_103,4.201886,0.5025525276068163,-0.007152012202059113,0.01193557991868695,0.5490276397563236
feature_019,249.83634,69.62303035206382,-0.006851358081369812,0.01193547934320922,0.5659455232981806
feature_014,12.50637,1.793862877451897,-0.006226551585418445,0.01193571570926445,0.6018973870570195
feature_090,2.230135,3.3217305850678196,-0.005462765091505219,0.012080009674922064,0.6511138934632477
feature_118,14.9862,4.984833955108234,0.005188201582366321,0.01193424844375984,0.6637568533014977
feature_078,64.988108,9.952598845544616,0.005115182485021751,0.011936307622111762,0.6682581877026788
feature_097,77.9459,11.987435638617626,-0.0041594856576623205,0.01193560335653533,0.7274692504281686
feature_094,9.39654,0.5012277211008984,0.004128468907999297,0.011935138924331078,0.7294112975120586
feature_101,26.225568799999998,32.95942378859902,-0.0038390424281452267,0.012020751990116454,0.7494475425246792
feature_023,27.3928112,23.981258160762845,-0.0036884545524727614,0.011968205389251215,0.7579394565536792
feature_064,3.20894,2.68248468334863,0.003400920875592951,0.011927606658302895,0.7755443934634794
feature_077,95.98314,1.984624836184411,0.0031884215198046606,0.011936537506875334,0.7893810506671867
feature_065,1.002854,0.29785190730294137,0.002344467268626426,0.011934813909403513,0.8442662874243858
feature_119,1.9082508000000002,1.119954104550432,-0.0015704323954879174,0.01194717663034079,0.8954209247097111
feature_082,79.99906,9.964648469283802,-0.0010873287913626877,0.011935347007398176,0.9274118891144644
feature_084,25.7630584,12.183670479054717,0.0001253961724204743,0.011934505022920344,0.9916167592300431
