,coef,se,z,p_value,or
const,-1.5192270982678353,0.06703594980217734,-22.66287123179525,1.0416357697468719e-113,0.2188809950920538
feature_013,-0.3023757725921041,0.024628832849312998,-12.277308244452136,1.1992214564138349e-34,0.7390602941010402
feature_067,-0.25866981255189186,0.029027787875708217,-8.911110059763066,5.052413102334211e-19,0.772077911396225
feature_006,0.1307286570603485,0.027289903495607448,4.790367143709044,1.6647642098847647e-06,1.1396585010655043
feature_007,0.08064699212402389,0.02417188057958905,3.3363970940731407,0.0008487184255415013,1.0839881726560447
feature_039,0.0769720372402642,0.024105553266453736,3.1931246874711485,0.0014074216016724138,1.0800118758577608
feature_011,-0.15251842692672118,0.012646477404568807,-12.060150984939149,1.714682828053475e-33,0.8585430735003315
feature_099,0.04655064697988356,0.012070455761819742,3.856577406723007,0.00011498569721580966,1.0476511380909987
feature_063,-0.04596744444325928,0.013192427797241411,-3.4843809759467663,0.0004932768030414817,0.9550730546196174
feature_092,0.036747840621929755,0.01202690866748533,3.0554685029975577,0.0022470920362060174,1.037431389799141
feature_051,-0.2587611106240875,0.012468776425519724,-20.752726794786668,1.1583209690429116e-95,0.7720074253889969
feature_033,-0.02423160848145863,0.012123030240576035,-1.9988078888358236,0.04562914391199461,0.9760596198903786
feature_057_former,0.012555453517536652,0.028321943016936354,0.44331186988225224,0.6575401713427962,1.0126346041344692
feature_057_never,0.014273731378240603,0.041326184297285906,0.34539194994535294,0.729799728262444,1.0143760875034207
feature_043_squamous,0.04002659132109396,0.027903615002992203,1.434458987367829,0.15144132481142691,1.040838451093864
feature_123_black,0.004690649334901958,0.059226704770575275,0.07919821562033523,0.9368749638648035,1.0047016676514438
feature_123_hispanic,-0.03939417515808043,0.05758477065510562,-0.6841075289511053,0.4939072679710479,0.9613716856142929
feature_123_other,0.048910975583380985,0.094930726995048,0.5152280734764877,0.6063936537159944,1.0501268596475388
feature_123_white,-0.07651762350650573,0.05071455488071114,-1.5087902020729078,0.13135240541750962,0.9263365888460667
feature_005_medicare,0.06198765376407073,0.03767026076326525,1.6455329086683406,0.09985996194919938,1.063949208878995
feature_005_private,0.0880412259168923,0.037902385716095284,2.3228412738015463,0.020187680902067427,1.0920331411677349
feature_005_uninsured,0.0817787207560281,0.06847276082779567,1.1943248638928992,0.23235091522177986,1.0852156475610277
