a,b,coef,p_value
feature_007,feature_092,0.13012162076659667,6.899137061644467e-08
feature_039,feature_092,0.126210346168577,1.573797291376522e-07
feature_006,feature_092,0.12554315523418422,1.5594115155836974e-06
feature_006,feature_039,0.17559107300952218,0.0008274914758217289
feature_007,feature_039,0.1457230531830519,0.0025800890675324872
feature_006,feature_007,0.15654233133553375,0.0029148615902707675
feature_013,feature_092,0.05218321186102284,0.0337321708637659
feature_063,feature_092,0.02737307284382876,0.038183489786563274
feature_099,feature_063,-0.022240830598917287,0.09295259131910683
feature_013,feature_039,0.0737341086851645,0.13432535777172472
feature_007,feature_051,0.03661537484582582,0.1430746489081698
feature_013,feature_007,0.07174274426402139,0.14636503839149861
feature_013,feature_006,-0.07159992450167368,0.18140225675378796
feature_006,feature_011,0.036491855655812845,0.18294693510522575
feature_039,feature_063,0.034351105438270906,0.19345497008812285
feature_013,feature_063,0.034367107957408674,0.20639799491734712
feature_007,feature_011,-0.031999731229704814,0.2072221891937942
feature_006,feature_063,-0.03573081881974531,0.22005134670406334
feature_067,feature_007,0.06673304962564244,0.251265862985372
feature_067,feature_092,0.032342400282479054,0.26268284732372627
feature_006,feature_051,0.028644737537629895,0.28990566663327044
feature_006,feature_099,-0.027776269775717063,0.29265221735270275
feature_039,feature_051,-0.023727360768076154,0.3412538331747409
feature_013,feature_011,-0.018282052466604467,0.47856712387702216
feature_013,feature_067,0.038504572716577735,0.5164193563159531
feature_011,feature_051,-0.008227726147190053,0.532328443336044
feature_011,feature_092,0.00776412561531576,0.5379572155669906
feature_039,feature_011,0.015446249485070783,0.5413736630236736
feature_067,feature_006,0.035455012491477214,0.5734906852801788
feature_007,feature_063,-0.013570118475242431,0.6068909372900799
feature_099,feature_051,-0.0061360612592813515,0.6247853720508876
feature_099,feature_092,-0.005604967228069064,0.6410328089956989
feature_063,feature_051,0.00634086227198637,0.6420860940871611
feature_067,feature_039,-0.024901644439743395,0.6679617597247096
feature_067,feature_051,-0.012332407600086309,0.6823164028571981
feature_067,feature_063,0.010909377190845844,0.7249359973771623
feature_013,feature_051,0.007797088461351525,0.7594453267125474
feature_092,feature_051,-0.002519366869907294,0.839107842499232
feature_067,feature_099,-0.005084550847424057,0.8599507203424679
feature_067,feature_011,0.004479161512730668,0.8834390229878362
feature_039,feature_099,-0.003197696681240304,0.8946108527174335
feature_011,feature_099,0.001313105020690063,0.917423885095918
feature_011,feature_063,0.001254704082650946,0.9287213963029706
feature_013,feature_099,0.0005000246371927344,0.9838330947685102
feature_007,feature_099,-0.00037574968772179193,0.987624939168291
