,coef,se,p_value,or
const,-1.4174357330497596,0.03110534648814247,0.0,0.2423346315327058
f013,-0.3039363127093622,0.024660373108768438,6.65366619986473e-35,0.7379078603064828
f067,-0.2585464024222551,0.02905685508963877,5.688836304146392e-19,0.7721731995109985
f006,0.04263603940148622,0.030306419171375235,0.15947722000788211,1.0435580117250298
f007,-0.0027833149820941407,0.0275765246900138,0.9196055576267371,0.9972205548478994
f039,-0.00946868626759188,0.027413394928060775,0.7297909444884754,0.9905760005890634
f011,-0.15176290591701397,0.012652261015711947,3.7776495737298936e-33,0.8591919659251633
f099,0.04587565334200241,0.012085484448931847,0.00014709098381389724,1.0469442188479046
f063,-0.04727111637294401,0.013244901738642437,0.0003583400166547409,0.9538287639371581
f092,-0.001974809802449229,0.018001495122561474,0.9126452831416176,0.9980271388514773
f051,-0.25985556017598305,0.012481466367928134,2.893008704893234e-96,0.7711629644024868
f092_hi,-0.36052207500694616,0.06414438002720255,1.904298714160361e-08,0.6973121817618437
f006_x_hi,0.35593195989484516,0.061484217067200204,7.0807881817817525e-09,1.4275104170005894
f007_x_hi,0.3675479199101855,0.057827732230936214,2.0719495734933967e-10,1.444189002278698
f039_x_hi,0.3726579634808807,0.05798334913127852,1.3016189778406682e-10,1.4515877588889612
squamous,0.037274921683343364,0.026835051064954134,0.16482101362035062,1.0379783443692552
