feature,coef,p_value
feature_039,0.37606962168884184,4.442002321525251e-11
feature_007,0.35552078848642893,4.4890180461720774e-10
feature_006,0.34340898047189533,1.7301449939388647e-08
feature_115,0.12708714136771607,0.026179302788796655
feature_109,-0.19062991543916735,0.028396572143038035
feature_089,-0.11099292496706634,0.0570846299782054
feature_061,-0.23618946699334814,0.08665420489241282
feature_035,0.14326946230551896,0.08806957489207445
feature_067,0.11517161965553517,0.09125651108499244
feature_027,-0.1358990704494913,0.09490710268226843
feature_120,0.20234622061823024,0.11360358783580515
feature_036,-0.1965480380694055,0.14775935729268208
feature_112,-0.1611273444466494,0.14918308574684414
feature_013,0.07978275511461756,0.17134935255503736
feature_087,0.09198043455179103,0.19576949330109095
feature_100,-0.2552828164273668,0.2002654098898211
feature_015,0.07752183341764644,0.22140465903168693
feature_021,-0.09222641753122994,0.22144975514254905
feature_009,-0.21052395685663,0.22896892509086275
feature_093,0.06774139552571956,0.23404692404893657
feature_075,0.09019630180600183,0.25598498829476546
feature_095,0.06452859983321224,0.2584865014295943
feature_008,0.37952574226445907,0.29535997583810414
feature_074,-0.1070561545673893,0.3030889254771717
feature_105,-0.06010567976690878,0.30467845704250074
feature_108,0.20254968824507566,0.3238980432071433
feature_053,-0.054387158404668706,0.3429121328818284
feature_012,-0.05365607955779329,0.3531281499750154
feature_002,0.05360546038793045,0.3690302706867129
feature_052,0.3724144320056628,0.3700373934463631
feature_086,-0.05093067395621495,0.37301843340492313
feature_032,0.06052835673248772,0.388599646929372
feature_016,-0.05019383796032484,0.39963985339069186
feature_069,-0.05145188724377616,0.4086470456745225
feature_106,-0.05546341743264491,0.41858618753361576
feature_117,-0.08602900509644916,0.42402239940143216
feature_041,0.10873756744395793,0.44886269649295096
feature_022,-0.06874387523983087,0.4657603666811956
feature_017,0.0612920224591588,0.48715694260242925
feature_046,0.08624753642007721,0.49974519180267785
feature_004,-0.07168195379240416,0.551353054689632
feature_080,-0.0995948882678366,0.5547402836847686
feature_088,0.03436123327343353,0.5772638929034954
feature_098,0.09032053604304022,0.5818527681042658
feature_102,-0.03266080113506265,0.598690881195862
feature_049,-0.06382785253287607,0.6025651436173571
feature_068,0.048932214461399795,0.6047670272179186
feature_038,0.03126007089386258,0.616003511817558
feature_040,-0.03954163780455756,0.6218092315662154
feature_058,0.0940397326048047,0.6403491731092377
feature_076,-0.04582830821216278,0.6578491817649519
feature_081,0.06494678828490197,0.6629770302734873
feature_091,-0.031699826806363914,0.6676995199107711
feature_111,-0.03349926849342327,0.6728019932860351
feature_025,0.02394747519472209,0.6974929823892272
feature_071,0.0328513716156553,0.7021254736235548
feature_122,0.027578764661793022,0.715807569221371
feature_104,0.02607566132123238,0.7231372532143389
feature_114,0.0271734956488165,0.7300789587078697
feature_116,-0.09526610389444329,0.7611797513233977
feature_110,0.01646580898331669,0.7763045268131343
feature_037,-0.015128440741186234,0.7912685557018453
feature_001,0.02021572860352323,0.8180156094461611
feature_024,-0.013082236233448308,0.8258103318081951
feature_085,-0.014699413075026986,0.8668996072382166
feature_107,-0.013136296749123162,0.8701521605803593
feature_072,0.034900822018790544,0.8702913578332276
feature_050,0.04638125927466273,0.874440103287344
feature_060,0.04588033557240226,0.8799549329430689
feature_029,-0.00796447984405626,0.894048488702507
feature_083,-0.007771726578372742,0.9050183523575173
feature_034,-0.010853179793571279,0.9080769706980404
feature_073,-0.006292927573550974,0.9187385037804611
feature_047,-0.004792891810103898,0.9459447799438353
feature_030,-0.0037850571398192756,0.9562278790277338
feature_079,-0.004226895452052692,0.961271420167306
feature_113,0.0017553576380358162,0.9916811315353316
