,coef,se,p_value,or
const,-1.4287700274408872,0.029160269007497328,0.0,0.23960344674266051
f013,-0.30627859337726215,0.024712886635727904,2.8348021070854164e-35,0.7361814955952165
f067,-0.2594887257244788,0.02912079343462943,5.067883082271917e-19,0.7714459054386407
f011_z,-0.15257855580203292,0.012686337800044049,2.5631269966312828e-33,0.8584914518229075
f051_z,-0.25943936537572587,0.012508679715527236,1.485989891729148e-95,0.771483985217385
f099_z,0.04735679428564753,0.012109799435263866,9.206044028383837e-05,1.0484960397451908
f063_z,-0.048273006009008766,0.01327677041912533,0.00027701207279101517,0.9528736113426288
f006,0.03852444227395765,0.030017558978804187,0.1993530578286674,1.0392761303194369
f007,0.022170397820777538,0.025914051765142374,0.39225461949327267,1.0224179874250958
f039,0.02245743955460719,0.02553286451277938,0.37910295344266287,1.022711506180956
f092_hi,-0.009496156597579209,0.03069113795176628,0.7570093768917611,0.9905487895131999
triple,-0.02895679691683113,0.06545306099952006,0.658195769487514,0.9714584335595013
triple_x_hi,1.4289204921237975,0.09856737394600962,1.26762384779462e-47,4.174190687154315
