feature,beta,p
feature_007,0.13012031954388287,7.0003955072786e-08
feature_039,0.1262090840588047,1.5998116457786212e-07
feature_006,0.12554189979635463,1.568725786137606e-06
feature_115,0.07087898986789866,0.003384622728167573
feature_109,-0.08201021462993298,0.022479621873393064
feature_035,0.0825163282849556,0.022884537513899482
feature_089,-0.05234006599836091,0.03296671971406659
feature_013,0.052182690026295046,0.033766889912391525
feature_107,-0.0645251664788424,0.05839909829955566
feature_027,-0.06357779294315156,0.06163136651929424
feature_071,0.06484509496271465,0.0761046871607596
feature_091,-0.049080870360628165,0.11764984731202716
feature_085,0.056356212728460725,0.12362044215448574
feature_117,-0.06752979193920658,0.13194687112590828
feature_106,-0.041706982227070595,0.14899587721889837
feature_110,0.033114569102761365,0.1760208188036314
feature_122,0.04312914974882377,0.17635942199839283
feature_108,0.11726203453079653,0.177243169617597
feature_073,0.03436752982895878,0.18668820946668963
feature_088,0.03237788558289148,0.21468609219812396
feature_052,0.21473007243407996,0.2293831211099392
feature_029,-0.029496916135242926,0.2415082397655275
feature_095,0.027830020858420863,0.2494405378300948
feature_067,0.03234207685685912,0.26258064431114114
feature_008,0.17718469394473266,0.26909363671051
feature_009,-0.07815381195043593,0.2740544429462227
feature_105,-0.026819091188521972,0.2783258579445723
feature_021,-0.03236364166488827,0.307045414976161
feature_050,0.12389401332547119,0.3224876091578135
feature_004,0.04693409033026351,0.34990051426166013
feature_040,-0.030984221373505007,0.35820572829085073
feature_034,-0.03560256231494383,0.37166760132733334
feature_061,-0.04951978544710601,0.3830089087575387
feature_069,-0.021501340774332488,0.41386637428719686
feature_041,0.04840827850125012,0.4285652108956506
feature_111,0.025117305095612774,0.4505687271142894
feature_086,-0.01772681452159542,0.4633616301840988
feature_047,-0.021338269235427386,0.47779061755514973
feature_100,-0.05256399176650733,0.5174376202198381
feature_024,-0.016206854211004703,0.5199031120508993
feature_081,0.040634871731103424,0.524063661515471
feature_038,0.016331683571877764,0.535944091718641
feature_114,0.02043086438505825,0.5392113354324584
feature_074,-0.025844938818798856,0.5533985067644787
feature_098,0.0407709015493421,0.5589477068825437
feature_079,0.020967777147877776,0.5642011719311462
feature_053,-0.012211911645467222,0.6141367796563617
feature_072,-0.0447832273202815,0.6172063008337162
feature_068,0.02012043447443457,0.6174389358616885
feature_120,0.02528512406026727,0.6464311588284033
feature_049,0.023313052272554282,0.6477712074069195
feature_075,0.015214432511601626,0.6517137613858189
feature_002,-0.011390375485372958,0.6517342918173898
feature_112,-0.01927892606134094,0.6766149611020731
feature_046,0.02007819263383656,0.7055532087321708
feature_087,0.01099403021037837,0.7164941546924146
feature_080,0.025260612609245538,0.7172193020162456
feature_030,-0.010440111496070643,0.7190777721328467
feature_083,0.00944217518340793,0.733055367469085
feature_036,-0.018092680831891722,0.7440660613804306
feature_032,0.009728550606640931,0.7441116490044685
feature_104,0.009840583770476564,0.752781246702408
feature_022,0.012204924155930578,0.7620217785601258
feature_113,-0.021270699557674716,0.7634195016332158
feature_058,0.024519650064049804,0.7697879977270606
feature_001,0.010005512387623138,0.7865903251913717
feature_093,0.006443125563097178,0.7890067176289647
feature_060,-0.03351504382985197,0.7925738388987834
feature_025,0.006172429554011788,0.8138209159309724
feature_016,-0.005163229262366087,0.837387300955531
feature_012,-0.004660125738506445,0.8484702476122749
feature_017,0.006491074259561569,0.8620896489304972
feature_102,-0.003536993372634063,0.8927340113733375
feature_015,0.003098682745985746,0.9083328777778884
feature_037,-0.0009992585325231005,0.9670294991779018
feature_116,-0.0028373052122804597,0.9826389206429601
feature_076,0.0007546649826704729,0.9859734640719328
