,coef,se,p
feature_051_2,-0.7803715547464384,0.041511532990311094,7.708485387738435e-79
feature_051_1,-0.36924484557660714,0.025602466290264275,3.7498672688034227e-47
feature_013,-0.30215588361544177,0.02468978217858161,1.9454683430822643e-34
const,-1.1819058938968545,0.09726558831557533,5.644250734009488e-34
feature_011,-0.15263602522092598,0.012672274013253498,2.0637545045305975e-33
feature_067,-0.26052789723892766,0.02908759554680696,3.3464146593692525e-19
feature_006,0.13040721879015113,0.027360259733436,1.876393720163675e-06
feature_099,0.04754989801243851,0.01210575562528277,8.569963842806453e-05
feature_063,-0.04593264498593146,0.013223069515027644,0.00051338260541109
feature_007,0.08038679791517672,0.024234240352590843,0.0009096512568731548
feature_039,0.07864463096505472,0.02416415798283434,0.001135527974333267
feature_092,0.037090107029015155,0.01205752546404336,0.0020973023824929814
feature_005_private,0.09087936920463018,0.03799424582028351,0.016760287580710145
feature_076,0.09918441106060763,0.043043434773842947,0.02120655923961545
feature_112,-0.10233079054662994,0.04641813976101376,0.02748617109680813
feature_026_4,-0.13085549674497599,0.06019036232767837,0.029703077724809165
feature_021,-0.061369163932368284,0.03178443764055026,0.053508678841087044
feature_074,0.082113946022876,0.04359998278274746,0.05965320489443645
feature_044,-0.02269246176163315,0.012183344453300587,0.06252128733389119
feature_033_3,-0.08459173008595196,0.045615667158183965,0.0636755713942213
feature_053,-0.04434887912157414,0.024332846699139984,0.06836503757362465
feature_100,0.14678747576515438,0.08309904683614301,0.0773261032215853
feature_045_2,0.06058609514039594,0.03455480768601794,0.07954481199648475
feature_005_medicare,0.06469971034534132,0.037757374874786996,0.08660867403529454
feature_031,0.020571187055364443,0.01206015872421951,0.08806125716739988
feature_064_5,-0.07808959860075475,0.04918421977236955,0.11235505381048369
feature_123_white,-0.07900282896007298,0.05083913337822894,0.12018997340257141
feature_070,0.016950685767427698,0.011974701403449157,0.15690981455185055
feature_038,-0.036089819760402146,0.026497070302013967,0.17318823782634074
feature_045_3,0.06244610672851735,0.04643382712289087,0.17867664081534218
feature_043_squamous,0.037484968863047224,0.02797446431160749,0.1802547971892542
feature_020,0.015477598650800554,0.011665746518859734,0.18458942500826991
feature_032,0.03881633767447607,0.02989658094626942,0.1941658077520776
feature_117,-0.05575862644815959,0.04453747760416501,0.210588645403884
feature_028,-0.014923442588247944,0.012157027296265725,0.21961335433503415
feature_010,0.014453163494827698,0.012073877690849265,0.23128292831970876
feature_093,-0.028952439775914374,0.02418939385418482,0.23134304806669248
feature_085,0.043645059540833156,0.03660476746418312,0.2331308355240641
feature_033_4,-0.07139024605238924,0.06017863662620311,0.23550168563725926
feature_005_uninsured,0.07839937722905094,0.0686482780928577,0.2534355908382584
feature_081,-0.07207561503486856,0.06357549527598397,0.2569199077669745
feature_071,0.04144992907827746,0.036880349206251876,0.26105424794042453
feature_016,0.028184574781768296,0.02528316623353743,0.26495476701478893
feature_075,0.03725437055076143,0.03387248913535237,0.27140117043888257
feature_045_4,-0.06899997542110131,0.0656886536437364,0.29352995257366044
feature_096,-0.01266929016108211,0.01223001830837361,0.3002406261501479
feature_018_4,-0.06551546144472363,0.064733957584564,0.31150336663211153
feature_111,0.03385055552029561,0.033511908310494345,0.3124448529452928
feature_108,-0.08810754601037525,0.08891485450776303,0.32172443476277823
feature_054,0.01189453279005471,0.012065638434886321,0.3242220553761235
feature_064_10,0.09806905553313541,0.10113194085474843,0.3321890866880194
feature_120,0.05340414102474165,0.05579819438267681,0.3385195949612033
feature_116,-0.12165244510816275,0.12763533185702347,0.34052666362606643
feature_015,-0.025712388085225104,0.02700540659505299,0.3410361203249398
feature_059,0.011318209803057786,0.012075723137038821,0.3486198277029564
feature_068,-0.037684868507981986,0.04043790010938644,0.35137811827170784
feature_009,-0.06562837538054764,0.0715066466583507,0.3587266939045528
feature_062,0.011062266039219773,0.0120729221811491,0.3595161938405721
feature_046,0.04843132303889625,0.05362770292907631,0.3664713938482391
feature_066,-0.010971346544977318,0.01217427357081965,0.3674867416652583
feature_027,-0.0301345647446683,0.03413841465963658,0.3773891033663912
feature_012,-0.021623870191671255,0.02451904731882712,0.3778193653541756
feature_022,-0.03535419827672094,0.04020946541025019,0.37926539155762284
feature_079,0.03191627105327307,0.03683192757160742,0.3861951046760692
