a,b,beta,p,lrt
feature_007,feature_092,0.13012031954388287,6.899137061644467e-08,29.09284333672258
feature_039,feature_092,0.1262090840588047,1.573797291376522e-07,27.496491705911467
feature_006,feature_092,0.12554189979635463,1.5594115155836974e-06,23.07330074989295
feature_006,feature_039,0.1755910730095221,0.0008274914758185092,11.178533587793936
feature_007,feature_039,0.14572305318305181,0.0025800890675324872,9.082911876233993
feature_006,feature_007,0.15654233133553377,0.0029148615902707675,8.860008858857327
feature_013,feature_092,0.052182690026295046,0.0337321708637659,4.508227943893871
feature_063,feature_092,0.027372525382371865,0.038183489786563274,4.29682966764085
feature_099,feature_063,-0.02224038578230529,0.09295259131910683,2.82248158963921
feature_013,feature_039,0.07373410868516436,0.13432535777172472,2.241790510735882
feature_051,feature_007,0.053977103370269536,0.1430746489081698,2.1445750392085756
feature_013,feature_007,0.07174274426402134,0.14636503839149861,2.1097310613113223
feature_013,feature_006,-0.07159992450167363,0.18140225675378796,1.7860984070721315
feature_006,feature_011,0.03649149073543167,0.18294693510522575,1.7735209357051644
feature_039,feature_063,0.034350761925498956,0.1934549700890812,1.6911080355857848
feature_013,feature_063,0.03436676428461066,0.20639799491838107,1.5965135304286378
feature_007,feature_011,-0.03199941123079247,0.2072221891937942,1.5907277518927003
feature_006,feature_063,-0.03573046150977057,0.22005134670406334,1.5040363489824813
feature_067,feature_007,0.06673304962564239,0.251265862985372,1.3162516992597375
feature_067,feature_092,0.03234207685685912,0.26268284732372627,1.2545625156053575
feature_051,feature_006,0.04222706897288943,0.28990566663327044,1.1200593875255436
feature_006,feature_099,-0.02777599201163047,0.29265221735270275,1.1073798665674985
feature_051,feature_039,-0.03497804433997573,0.3412538331747409,0.9057153163957992
feature_013,feature_011,-0.01828186964516568,0.47856712387702216,0.5021267738484312
feature_013,feature_067,0.038504572716577624,0.5164193563159531,0.421038401669648
feature_051,feature_011,-0.012128904470011722,0.532328443336044,0.38994475299841724
feature_011,feature_092,0.007763970332803445,0.5379572155669906,0.3793389798811404
feature_039,feature_011,0.015446095021803658,0.5413736630236736,0.37299976410577074
feature_067,feature_006,0.03545501249147732,0.5734906852801788,0.3168767364259111
feature_007,feature_063,-0.01356998277337916,0.6068909372900799,0.2647272142348811
feature_051,feature_099,-0.00904547617465135,0.6247853720508876,0.23919881560868816
feature_099,feature_092,-0.005604855128724503,0.6410328089956989,0.21739395449549193
feature_051,feature_063,0.00934738363657012,0.6420860940871611,0.21602423513832036
feature_067,feature_039,-0.02490164443974338,0.6679617597247096,0.18399557078373618
feature_051,feature_067,-0.01818000341760928,0.6823164028571981,0.1675299625203479
feature_067,feature_063,0.010909268096528466,0.7249359973771623,0.123812272970099
feature_051,feature_013,0.011494194764838948,0.7594453267125474,0.09376410741970176
feature_051,feature_092,-0.0037139252745370323,0.839107842499232,0.041223124651878607
feature_067,feature_099,-0.005084500001661374,0.8599507203424679,0.03112997833522968
feature_067,feature_011,0.004479116720891563,0.8834390229878362,0.021494803069799673
feature_039,feature_099,-0.0031976647041135975,0.8946108527174335,0.017548869596794248
feature_011,feature_099,0.0013130787585896634,0.9174238851237647,0.010749389199190773
feature_011,feature_063,0.001254678988569302,0.9287213963029706,0.008001953581697308
feature_013,feature_099,0.0005000196369213077,0.9838330947685102,0.00041061338561121374
feature_007,feature_099,-0.00037574593020609084,0.987624939168291,0.00024057438713498414
