,coef,se,z,p,OR
Intercept,-1.2315229765156763,0.10725896245863305,-11.481772229436233,1.629066567790182e-30,0.29184776175742516
C(feature_005)[T.medicare],0.06181051028115972,0.03769205827911356,1.639881532163793,0.10102980143318216,1.063760753902772
C(feature_005)[T.private],0.08776209687014785,0.03792646332323635,2.3140068748877725,0.020667345031352504,1.091728365535872
C(feature_005)[T.uninsured],0.08193901761997059,0.0685267679667071,1.1957227817862308,0.23180475799076528,1.0853896181691318
feature_051,-0.3824391155648781,0.018394314472471793,-20.791158927788334,5.203881668556494e-96,0.6821954247951392
feature_011,-0.039517266136924814,0.0032695307752109047,-12.086525209225385,1.244392785246027e-33,0.9612533567152367
feature_013,-0.3023790740357828,0.024649675306630797,-12.267061138709701,1.3610428171566716e-34,0.7390578541391318
feature_067,-0.2579984228152768,0.029047486016455296,-8.8819535938195,6.569624424944999e-19,0.7725964506332863
feature_006,-0.05863287790436093,0.04736748719145856,-1.2378296038244094,0.21577924907180945,0.9430529211779056
feature_007,-0.11044864975459776,0.04309935036303246,-2.562652309704712,0.010387601482347575,0.89543230967779
feature_039,-0.10924191016201149,0.042802039922859345,-2.5522594334030444,0.010702679156929306,0.8965135155341102
feature_092,-0.5952819145936661,0.10432193898647628,-5.706200636002703,1.1552581398214656e-08,0.5514070942470808
feature_006:feature_092,0.5957365080255363,0.12349415994768492,4.824005509879209,1.4070352759086734e-06,1.8143667486563537
feature_007:feature_092,0.61160129961501,0.11403545308979969,5.363255751116201,8.173514956622765e-08,1.8433808417126367
feature_039:feature_092,0.5935104986197144,0.11375918002983083,5.217253662201849,1.815954928259808e-07,1.8103324430751904
feature_099,0.09199685996993524,0.02409322034551195,3.8183712534332206,0.0001343356607643959,1.0963613794677187
feature_063,-0.005054144128665273,0.0014518097894466928,-3.4812715587153367,0.0004990392622479087,0.9949586065674417
feature_076,0.09956358336787564,0.04297608841834864,2.316720460891619,0.020518964250115627,1.1046887083354882
feature_112,-0.09992570903616034,0.04634560239873122,-2.156099044229835,0.031075932128670408,0.904904641776891
