,coef,se,z,p,OR
Intercept,-1.4379081770217685,0.11674767813500343,-12.316374937744078,7.394410939393496e-35,0.2374238883387113
C(feature_123)[T.black],0.004342773204238159,0.05922262265135532,0.07332963333630368,0.941543811178766,1.0043522167091745
C(feature_123)[T.hispanic],-0.04016391626476571,0.057580624596104885,-0.6975248453189348,0.48547439630191147,0.9606319630430314
C(feature_123)[T.other],0.0479283049233954,0.09492463834739902,0.504909007374782,0.6136227473671153,1.0490954376503665
C(feature_123)[T.white],-0.07672427811142382,0.05071117335759163,-1.5129659408667173,0.1302883104893436,0.9261451769030385
C(feature_043)[T.squamous],0.03994897241375883,0.027902108952473612,1.4317545846374895,0.1522140688011878,1.0407576654858635
C(feature_057)[T.former],0.012413823243571119,0.028319968592147277,0.43834170236379766,0.6611385998913959,1.012491194573866
C(feature_057)[T.never],0.014444266460615423,0.041323218514094366,0.34954359752227016,0.7266812462438006,1.0145490889640518
C(feature_005)[T.medicare],0.06270983480344618,0.03766755904302501,1.664823428877277,0.09594798825110186,1.064717850340244
C(feature_005)[T.private],0.08867823258765273,0.03789994025086488,2.339798743762639,0.01929413383159547,1.0927289951716412
C(feature_005)[T.uninsured],0.08296904100732054,0.06846883421652201,1.211778204736828,0.2255972935125259,1.086508170829039
feature_013,-0.30250234774819956,0.024627704134727906,-12.283010470376585,1.1176071603234205e-34,0.7389667533490429
feature_067,-0.25869015090793473,0.029026779103078985,-8.912120424704456,5.006571261446386e-19,0.7720622087604536
feature_006,0.1303907708023576,0.027287667207385184,4.778377345758174,1.7671550798702457e-06,1.1392734911676317
feature_007,0.08109200123017214,0.024169865319497802,3.3550870126179526,0.0007934002454031657,1.0844706646125284
feature_039,0.07679985455015878,0.024104382221724813,3.1861366055231466,0.001441864983890922,1.0798259325162014
feature_051,-0.3816034199917469,0.01838017124472395,-20.761690133941848,9.612582074648722e-96,0.6827657707762631
feature_011,-0.03936657620227605,0.003267373990811269,-12.048383904929588,1.9778983323232844e-33,0.9613982188350986
feature_099,0.09261017449067291,0.02405905189523411,3.8492861187525924,0.00011846256983527116,1.0970340000646275
feature_063,-0.005062933177249552,0.0014487265492813815,-3.494747286684946,0.0004745108118266598,0.994949861866338
feature_092,0.17371087105937127,0.05677971878434737,3.059382377696077,0.0022179386244405466,1.1897115360522055
