b,coef,p,OR
feature_112,-0.1078076446841973,0.13103390660023118,0.8978002764776495
feature_007,0.05556074118034538,0.13141918113155704,1.0571332266422893
feature_074,0.09588676620464764,0.14103916900286267,1.1006344279240352
feature_076,-0.09654973842485018,0.1416851044132571,0.907964735740844
feature_006,0.03930251867040548,0.3238850413704073,1.0400850812178182
feature_039,-0.034261076285767626,0.35088962617549124,0.966319188677437
feature_067,-0.01736738103191454,0.6957247639047756,0.9827825626322768
feature_053,-0.013941430646607772,0.7062161982578163,0.9861553010497833
feature_013,0.012574848617082704,0.7374787758218935,1.0126542444738826
feature_100,0.033674104630549755,0.7871949126450581,1.0342474953299863
feature_021,0.004372291139633817,0.9280271889594638,1.0043818635505766
