b,term,coef,p
feature_006,feature_011:feature_006,0.009611452468154924,0.17375413814538077
feature_007,feature_011:feature_007,-0.008180150724795074,0.2119053168142222
feature_123,feature_011:C(feature_123)[T.hispanic],0.013110144941347606,0.40525259078703624
feature_013,feature_011:feature_013,-0.00444125512997294,0.5047565355056266
feature_039,feature_011:feature_039,0.0039308633228719424,0.5472308921580218
feature_123,feature_011:C(feature_123)[T.black],0.007620410442257371,0.6395796368131212
feature_123,feature_011:C(feature_123)[T.white],0.004685300969962982,0.737188576957569
feature_123,feature_011:C(feature_123)[T.other],0.008068371968645696,0.7540138813266893
feature_043,feature_011:C(feature_043)[T.squamous],-0.0019166026943253838,0.7905940985691493
feature_067,feature_011:feature_067,0.0008603101606653286,0.9131681011463075
