stratum_var,level,term,coef,p,OR
feature_043,adenocarcinoma,feature_013,-0.3164223638750339,1.1270482395065188e-27,0.7287515868128773
feature_043,adenocarcinoma,feature_067,-0.2486830771863439,4.066221154490037e-13,0.7798270792180051
feature_043,adenocarcinoma,feature_006,0.1349057727147346,2.048192490175874e-05,1.144428942838125
feature_043,adenocarcinoma,feature_051,-0.3666715337073883,4.067212106320898e-64,0.6930372470377302
feature_043,adenocarcinoma,feature_011,-0.03879250432394878,1.0802582772721859e-23,0.9619502889652124
feature_043,adenocarcinoma,feature_099,0.08111687362034228,0.00426565506717694,1.0844976383254756
feature_043,squamous,feature_013,-0.266965332396336,9.04604613727504e-09,0.7656996159760663
feature_043,squamous,feature_067,-0.28381400073246726,1.8313756851144858e-07,0.7529066717727969
feature_043,squamous,feature_006,0.11252880342735164,0.017093363246825435,1.1191044904934504
feature_043,squamous,feature_051,-0.4150282818151667,2.7428768317415056e-33,0.6603216053473046
feature_043,squamous,feature_011,-0.04070458736541309,2.524406347332331e-11,0.9601127174854385
feature_043,squamous,feature_099,0.11907803796829568,0.008465456733647193,1.1264578213381686
