var1,var2,int_coef,LRT_chi2,p
feature_006,feature_007,0.15581936858382453,8.781609738500265,0.003042825593797094
feature_099_z,feature_063_z,-0.022526348622191078,2.898952290248417,0.08863714668652312
feature_007,feature_051,0.05353954178198317,2.110770254628733,0.1462656800591332
feature_013,feature_007,0.07046641261284688,2.036180388611683,0.15359490457067004
feature_013,feature_006,-0.07215026848430617,1.8143888490376412,0.17798264174252076
feature_006,feature_011_z,0.03656780201896509,1.7818015728189494,0.18192825920392663
feature_011_z,smk_current,0.03537538391798954,1.6505722193978727,0.1988810668703085
feature_007,smk_never,-0.08759756787531005,1.6301282886925037,0.2016853053433827
feature_007,feature_011_z,-0.03182659350155132,1.573776427867415,0.2096594313274912
feature_013,feature_063_z,0.03377114787738171,1.5424945348568144,0.21424688025765415
feature_051,hist,-0.049816270798898485,1.49559641846281,0.2213501700387268
feature_006,feature_063_z,-0.03545581794699896,1.4831868892360944,0.22327656884357228
feature_063_z,smk_never,0.04276899474656373,1.424511063603859,0.23266232887433147
feature_067,feature_007,0.06607940896653994,1.290851486592146,0.25589109181953007
feature_006,feature_099_z,-0.02790630053570932,1.1183875711503788,0.29026591664978685
feature_006,feature_051,0.04044480710858557,1.0280637489559012,0.31061387157926235
feature_051,smk_never,0.05160438250454871,1.006627183072851,0.31571221965717366
feature_013,hist,0.050956434486564464,0.8674134932880406,0.3516723596061321
feature_013,smk_never,0.062248811920947854,0.7953165380822611,0.37249734701906145
feature_006,smk_never,0.09124797605194883,0.6264983622168074,0.4286426542936447
feature_099_z,smk_never,0.026031239423953488,0.5777871405880433,0.4471810006492285
feature_013,feature_011_z,-0.018383008898841344,0.5078438509372063,0.47607372909433177
feature_099_z,hist,0.018310768558723097,0.4675558997623739,0.4941137229351017
feature_013,feature_067,0.040542891387419004,0.46698382350587053,0.4943780330422033
feature_063_z,hist,-0.020533961183744072,0.46308024122117786,0.49618792591014593
feature_051,feature_011_z,-0.012537654959580728,0.4167326272363425,0.5185719187360386
feature_007,hist,0.03007107365863175,0.3151141928610741,0.5745587374909795
feature_067,hist,-0.0360211881786932,0.3144408886655583,0.5749677781883411
feature_067,feature_006,0.03504545931944277,0.3096922474578605,0.5778690960015466
feature_006,smk_current,0.030924284992578717,0.30512444706255337,0.5806875450376826
feature_007,feature_063_z,-0.013675342517865226,0.26905053755035624,0.6039693918788807
feature_051,feature_099_z,-0.0092261534629341,0.24900341650209157,0.6177776782603632
feature_063_z,smk_current,-0.01356021516217644,0.21516654543665936,0.642747708306938
feature_051,feature_063_z,0.009215293345745933,0.21010924175789114,0.6466817949217321
feature_006,hist,-0.02567070462872898,0.20228482782113133,0.6528828853872567
feature_013,smk_current,-0.022220294589707038,0.17236248185508884,0.6780206738234347
feature_067,feature_051,-0.016731510937153866,0.141985492031381,0.7063150888266718
feature_067,feature_063_z,0.011290182883097952,0.13269106152438326,0.7156580101963624
hist,smk_current,0.018236815617960193,0.1029212313296739,0.7483518114314738
feature_099_z,smk_current,0.008200009186298542,0.09794531386432936,0.7543094106417274
feature_013,feature_051,0.011319132801348325,0.09097901100903982,0.7629362159292599
feature_051,smk_current,-0.011881416529920783,0.08852620286052115,0.7660592113662339
feature_067,smk_current,-0.017908156018435734,0.07980370396398939,0.7775636014368328
hist,smk_never,-0.036306096561597584,0.0626930200305651,0.802289054398591
feature_011_z,hist,-0.006767801808972599,0.05867191793367965,0.8086074762233271
feature_067,smk_never,0.01968228131536611,0.05728509489563294,0.8108395873036773
feature_011_z,smk_never,0.007821056482280027,0.04744978744565742,0.8275617863813716
feature_067,feature_099_z,-0.005516368540897251,0.03665583405381767,0.8481674615925803
feature_007,smk_current,0.008504273633057318,0.026225070738291834,0.8713518700222421
feature_067,feature_011_z,0.004194556337198526,0.018856080765544903,0.8907798817522673
feature_011_z,feature_099_z,0.0016548514164208934,0.01707390976662282,0.8960386028048158
feature_011_z,feature_063_z,0.001265537606709264,0.008146134263370186,0.9280838339254895
feature_007,feature_099_z,-0.0008395693622572924,0.0012015167958452366,0.9723485428149312
feature_013,feature_099_z,0.0008513146611110642,0.0011903287449968047,0.9724775323351187
smk_current,smk_never,,,
