col,beta_int,se,p
feature_027,-0.8645769884209199,0.151184843954206,1.0735790776803232e-08
feature_072,0.775149349362945,0.2932136173169404,0.00820214071519271
feature_104,0.2671243518490335,0.1108497727810637,0.015961832157020177
feature_061,-0.45321406352444354,0.2258590547338095,0.04478977817664858
feature_093,0.163469943609971,0.08749656876853222,0.061720100769935
feature_013,0.16705139987713188,0.09033726499707936,0.06442937104635545
feature_112,0.2718347745298054,0.15985193673012485,0.08902920862524957
feature_016,-0.1487523876500968,0.09155990852780606,0.10423812954094573
feature_085,0.20567915858365243,0.12697686066773128,0.10527179462245466
feature_050,0.57361588209191,0.39267553122189053,0.14407350544834868
feature_098,-0.40629233993657377,0.2797126705984405,0.1463530079831977
feature_114,-0.1753661721533073,0.12267248458556412,0.15284686600306235
feature_117,0.19381777788398746,0.15473068355440664,0.21034631751692534
feature_012,-0.10090389903691867,0.08933370740197126,0.2586800011720911
feature_108,0.3281043903884897,0.2946755412739152,0.26551825719017164
feature_049,-0.20495031025186936,0.19536599434842702,0.294151304871921
feature_120,0.2011248969621065,0.1925875849903565,0.2963329673554318
feature_089,-0.09131416572015245,0.08989240893991053,0.3097169176582134
feature_034,-0.1482000440055987,0.1473844599635986,0.314639921943894
feature_116,0.37642913345893575,0.3800228234865325,0.3219085435751945
feature_087,0.10650464083835824,0.1096529753860596,0.3314047843197522
feature_037,-0.0807735947142973,0.0878347699692165,0.3577774210087076
feature_095,-0.07780273328309269,0.08810402818024302,0.3771941034980548
feature_008,0.4831001428405502,0.5728067535538863,0.39900972353364916
feature_081,0.18893043881974822,0.22469769914505375,0.400448483234375
feature_113,0.21041217970923332,0.2566842441053632,0.4123691457562074
feature_038,-0.07823470038993288,0.09693283305634967,0.41960761912925204
feature_035,-0.09982675649146425,0.1258460469024917,0.4276350524067456
feature_110,-0.06818520131566318,0.08951132550349425,0.44620956666766054
feature_046,0.14650565463658843,0.19307892242677352,0.4479803605028544
feature_102,-0.06839647425539457,0.09680464207705995,0.47985160040632646
feature_001,0.09078128770947627,0.12928940995494634,0.4825821098150883
feature_122,-0.07992944853133596,0.11480268586373955,0.4862827600026405
feature_040,-0.07906717217074906,0.12136339798637155,0.5147295282912995
feature_032,-0.07125235764838393,0.11030043136948012,0.5182894602874366
feature_025,0.05919350021675555,0.09464331907859795,0.531683822429142
feature_071,-0.08331425923356561,0.139705752411352,0.5509379271997273
feature_069,-0.05634393337552722,0.09720290449199048,0.5621487956464231
feature_080,-0.140319286286941,0.25000131294698213,0.5746106285880516
feature_074,0.08713081468605821,0.15792973323910173,0.5811496541052856
feature_041,-0.12548802375168588,0.23038945346250686,0.5859751266370585
feature_075,-0.06711422466335723,0.12810352117322216,0.6003438057591812
feature_067,0.05196299534487481,0.10260409637388979,0.612546590964577
feature_002,0.042904318578868124,0.0918304232048684,0.6403478748668903
feature_091,0.05098112807142802,0.11199634545315919,0.6489628451035567
feature_053,0.039224919689303396,0.08814354878695972,0.6563112234939016
feature_088,0.041148113149129376,0.0940017310222805,0.6615763475970868
feature_004,-0.07943455730267845,0.1830983462294919,0.6644079214476908
feature_076,0.06548133984847736,0.15119281176136273,0.6649434053125287
feature_115,-0.0375696995211581,0.08796961046834634,0.6693240544740233
feature_015,0.039366221943330185,0.09708206241597067,0.685114214982969
feature_068,-0.05905208573589526,0.14712840675964262,0.6881519506037204
feature_009,0.0936787486549576,0.2486039560629055,0.7063079568228557
feature_073,-0.03420833239569186,0.09622594435747354,0.7222149734908647
feature_083,-0.03585527487010035,0.10169245218231257,0.7243992777001704
feature_060,0.11496388324888725,0.3585417065592223,0.7484809583970964
feature_036,-0.06582985361246449,0.2249253791128631,0.7697711982441411
feature_111,0.034410096114868706,0.12126889146043673,0.7766016699732068
feature_030,0.027159214714984035,0.106625321543355,0.7989421727668989
feature_107,-0.028153868359559946,0.1229588771125618,0.8188923959327881
feature_109,-0.03504391199918339,0.16860588130483442,0.8353498902035303
feature_017,-0.025323187409628935,0.13702655514645665,0.8533820152561622
feature_105,0.015801778706382726,0.08960161659959272,0.8600143047236112
feature_106,-0.01793669990763162,0.1060406748225721,0.8656792523596251
feature_022,0.023687329808961172,0.14567193214127436,0.8708275835911028
feature_021,-0.013830818633138868,0.11560023578790232,0.904765546694202
feature_100,0.02568579964045431,0.31463388885912946,0.9349352946925449
feature_052,-0.054530418626844934,0.6710671664183637,0.9352357758441859
feature_079,0.010690144899678615,0.13350665733506736,0.9361799929790128
feature_086,0.0070103546287735375,0.0878262538184439,0.9363798464099313
feature_047,0.00854818029190507,0.10816200217262446,0.9370077517560339
feature_058,0.018047376525757566,0.302553789026494,0.9524342817704448
feature_029,0.0039450883166652325,0.09072890516129274,0.9653171893230126
feature_024,0.0036141012305441296,0.09182439404586763,0.9686042988827968
