feature,log_or,or,p,rr_when_0,rr_when_1,prevalence,abs_log_or
feature_013,-0.29508011176975657,0.744471944111897,1.3090389426613218e-33,0.19642755883186844,0.15396261393480612,0.6473,0.29508011176975657
feature_067,-0.25212302004295,0.7771491272690292,2.0397854888166925e-18,0.1774641864443019,0.14359504132231404,0.25168,0.25212302004295
feature_006,0.1272300800496943,1.1356782846403548,9.825607973373308e-07,0.16375692462648983,0.18193294992285033,0.28516,0.1272300800496943
feature_007,0.08255318976907074,1.0860564389939626,0.0005660234880564283,0.16374099677874696,0.17536095838362165,0.44742,0.08255318976907074
feature_039,0.07018763868538383,1.0727094441611735,0.0032898241872041305,0.16401248399487836,0.1738643634037108,0.50016,0.07018763868538383
feature_076,0.10034465740610124,1.1055518890660356,0.018221867564151072,0.16776244176427046,0.1822429906542056,0.08132,0.10034465740610124
feature_112,-0.09891305147992743,0.9058214644354048,0.031161645084818054,0.1699876412046573,0.15648362980149524,0.07758,0.09891305147992743
feature_021,-0.06191128376011773,0.9399662733655517,0.04877798674931671,0.17049228364915023,0.16191423519009726,0.18096,0.06191128376011773
feature_053,-0.044293931338935714,0.9566727200492978,0.06539743409980613,0.17172266318727122,0.16551385603998395,0.44818,0.044293931338935714
feature_074,0.07382863703576578,1.0766222964995782,0.08637974514455865,0.16809098223410965,0.1786693246947421,0.08026,0.07382863703576578
feature_100,0.13245510357279028,1.1416277599309597,0.10642185455077526,0.16855422916028975,0.1879396984924623,0.0199,0.13245510357279028
feature_117,-0.060852692151400344,0.94096184063162,0.16705289337105422,0.16963604247988312,0.16123581945450158,0.08286,0.060852692151400344
feature_038,-0.035505671959382555,0.9651172601085772,0.1750694157177909,0.17042599360438557,0.16546474358974358,0.29952,0.035505671959382555
feature_032,0.039801515641838786,1.0406042100344606,0.1777661158161591,0.16780607517591967,0.17343796563027714,0.20134,0.039801515641838786
feature_085,0.04525863877680882,1.046298438264431,0.21075126866574612,0.1681611288120164,0.17458745874587459,0.1212,0.04525863877680882
feature_081,-0.0706656980863227,0.9317733336755001,0.2608361143763861,0.16932076021565812,0.15961244263131055,0.03922,0.0706656980863227
feature_093,-0.02674677076840294,0.9736077562546449,0.26310075622544893,0.17074014295596035,0.16698640420385352,0.47956,0.02674677076840294
feature_046,0.05878099262039765,1.0605429485721154,0.26690401089648064,0.16850519921537196,0.1769022788721514,0.05178,0.05878099262039765
feature_104,0.03253932958858222,1.0330745227409488,0.2945906037593159,0.16812503038257742,0.17272522013998645,0.17716,0.03253932958858222
feature_071,0.03809790889922139,1.0388329388889763,0.2958498748137549,0.16829456660003633,0.17369477911646586,0.11952,0.03809790889922139
feature_111,0.03219749361138195,1.0327214410533971,0.33063770240362744,0.16825269703679277,0.172806785051683,0.15092,0.03219749361138195
feature_016,0.02326183604048999,1.023534502685971,0.3518329843867385,0.16779801578769543,0.17107148999598693,0.34886,0.02326183604048999
feature_012,-0.022379623289273114,0.9778689427555409,0.35566110110604154,0.17025151181968115,0.16711332312404287,0.41792,0.022379623289273114
feature_116,-0.11387139978366081,0.8923727078269694,0.3664704059159739,0.16909032153821296,0.15368852459016394,0.00976,0.11387139978366081
feature_015,-0.023975069054973912,0.9763100497866778,0.36899927957137535,0.1698778456413104,0.16652360515021458,0.2796,0.023975069054973912
feature_027,-0.030286776045772384,0.9701672729169085,0.3695812529370053,0.1695692025664528,0.16534693329754396,0.14902,0.030286776045772384
feature_075,0.029662630392656108,1.030106948547684,0.37555128904228774,0.16832356389214537,0.17251700680272108,0.147,0.029662630392656108
feature_109,-0.03164056789616689,0.9688547570064454,0.37584026084943545,0.16951452291700206,0.16510664416142395,0.13034,0.03164056789616689
feature_068,-0.03505486645041055,0.9655524383692469,0.3803473515418827,0.16943307226771093,0.16455696202531644,0.10112,0.03505486645041055
feature_120,0.04633090288276478,1.0474209482299213,0.40047834613267586,0.16862382622943933,0.17521902377972465,0.04794,0.04633090288276478
feature_017,-0.02990051614868546,0.9705420820101034,0.4200653855047116,0.16943763059870992,0.16527126590756866,0.11944,0.02990051614868546
feature_080,0.05493078469441395,1.0564674884247425,0.424446542722448,0.16870450937132725,0.1765489673550966,0.03002,0.05493078469441395
feature_049,-0.04043256425090601,0.9603739258628742,0.42660761924670676,0.16927659574468085,0.16366666666666665,0.06,0.04043256425090601
feature_079,0.027940681564470687,1.0283346834075804,0.44259639950624996,0.16846342794759825,0.1724137931034483,0.12064,0.027940681564470687
feature_052,-0.13026685716297418,0.8778611361280575,0.44901049439668483,0.16903249155541258,0.15151515151515152,0.00528,0.13026685716297418
feature_030,0.021417206516512466,1.021648201022247,0.45577851929863034,0.168276993259694,0.17129587469265095,0.21962,0.021417206516512466
feature_009,-0.052201092828958434,0.9491379828087927,0.46025276111273783,0.16915905199975248,0.1619486504279131,0.03038,0.052201092828958434
feature_036,-0.040838371104980516,0.9599842786073953,0.4644332693265151,0.16921911814203972,0.16355519480519481,0.04928,0.040838371104980516
feature_088,0.018430165623853353,1.0186010493169186,0.47687502904597223,0.1681540359838159,0.17074780542538445,0.30302,0.018430165623853353
feature_108,-0.062313248941904466,0.9395885155794299,0.4785569471772211,0.16910774754191996,0.1605316973415133,0.01956,0.062313248941904466
feature_113,-0.04996972406899481,0.9512582242931084,0.4867397975363221,0.16914264521047534,0.16223585548738922,0.02934,0.04996972406899481
feature_087,-0.0208793531284532,0.9793371114009737,0.4873972379143784,0.1695185831878274,0.16659939455095862,0.1982,0.0208793531284532
feature_095,0.016044331187479298,1.0161737325958409,0.5035616226614675,0.16792952180691006,0.17018334299861712,0.44834,0.016044331187479298
feature_002,0.015477295695789386,1.015597689357651,0.5366017075690964,0.1681862685105862,0.17036267036267036,0.34632,0.015477295695789386
feature_069,-0.015153154545653044,0.9849610767844935,0.5613450599845681,0.16957777078985736,0.16745455756042346,0.30038,0.015153154545653044
feature_083,0.0156947276109189,1.0158185367170114,0.5684730778286946,0.16838936544301775,0.1705986198042048,0.24924,0.0156947276109189
feature_022,-0.022053234761443212,0.9781881600517753,0.5789392291572429,0.16925268805235857,0.16617444378814727,0.10158,0.022053234761443212
feature_061,-0.029790763874501292,0.9706486070563715,0.5895679178167903,0.16914752510684886,0.16500199760287654,0.05006,0.029790763874501292
feature_041,0.032597217343141714,1.0331343268363087,0.5923547292734155,0.16875871687587168,0.17338092809790923,0.03922,0.032597217343141714
feature_004,-0.02572587911946258,0.9746022118116654,0.6086529790286731,0.16915867944621937,0.16557377049180327,0.061,0.02572587911946258
feature_107,-0.016433087307822624,0.9837011992840969,0.6261905676985218,0.1692802478989624,0.1669818967846528,0.14804,0.016433087307822624
feature_091,-0.013667966536814987,0.986425016008302,0.658791472079912,0.16929027835581562,0.16737681634436796,0.18306,0.013667966536814987
feature_008,0.0657829569912195,1.0679948911842543,0.6711502069338582,0.16888602808062114,0.17832167832167833,0.00572,0.0657829569912195
feature_058,0.03544645285181212,1.0360821673973082,0.6714613274063093,0.16883753215466907,0.1738703339882122,0.02036,0.03544645285181212
feature_110,0.01028544038149701,1.0103385173406374,0.6721781347760853,0.1683560448412432,0.1698010491933089,0.40412,0.01028544038149701
feature_047,0.012433578310426572,1.0125111966026754,0.6763759017743571,0.16859070464767617,0.17034068136272545,0.1996,0.012433578310426572
feature_098,0.027622106825474273,1.0280071341314456,0.6894575622630603,0.16882179463383448,0.1727332892124421,0.03022,0.027622106825474273
feature_060,-0.04913181620203414,0.9520556250702928,0.6907639870218761,0.16900611960495224,0.162217659137577,0.00974,0.04913181620203414
feature_114,0.01288757875268537,1.0129709814971004,0.695843401506524,0.16866045675918484,0.1704752012464295,0.15404,0.01288757875268537
feature_086,-0.008941943550326084,0.9910979167289673,0.709284496168906,0.1696309470875945,0.1683751363140676,0.5502,0.008941943550326084
feature_073,0.009531852056790678,1.0095774248411977,0.7140439335716704,0.16853804177023513,0.1698779918661244,0.29998,0.009531852056790678
feature_106,0.00934268401006428,1.0093864631142193,0.7447335902534511,0.16864900968479463,0.16996297299738103,0.22146,0.00934268401006428
feature_072,-0.023024276799530483,0.9772387592558487,0.7934448911722611,0.16900116215059025,0.1657922350472193,0.01906,0.023024276799530483
feature_050,-0.032040521982795916,0.968467337067289,0.7981003909789117,0.1689816684163773,0.16452991452991453,0.00936,0.032040521982795916
feature_029,-0.005833836030457646,0.994183147748048,0.815147703470673,0.16923076923076924,0.16841216216216215,0.3552,0.005833836030457646
feature_024,0.005698658382383402,1.0057149266237655,0.8196501759273453,0.1686591077150604,0.1694596443228454,0.35088,0.005698658382383402
feature_089,0.00549524719315778,1.0055103737593951,0.821320449575097,0.16862955032119914,0.1694013524264121,0.40224,0.00549524719315778
feature_105,-0.00530883729711794,0.9947052296755071,0.8286683014283828,0.16922726385000977,0.16848220769789396,0.38556,0.00530883729711794
feature_122,0.005957295647418083,1.0059750756224546,0.8516507939601352,0.16879899956712038,0.16963649322879543,0.16836,0.005957295647418083
feature_115,-0.003801123430733774,0.996206091694179,0.8741360780945987,0.1691798989862287,0.16864629209484408,0.44958,0.003801123430733774
