feature,kind,n_levels,p,effect,detail
feature_051,cat/ord,3,2.902266327024842e-93,0.100252393112351,"{0: 0.21079911146551233, 1: 0.15699863792965307, 2: 0.11054671835316134}"
feature_011,cont,217,2.7650674791860025e-35,-0.5493287177653858,m1=3.38 m0=3.93
feature_013,cat/ord,2,1.109329360648439e-33,0.04246494489706232,"{0: 0.19642755883186844, 1: 0.15396261393480612}"
feature_067,cat/ord,2,1.9915374242765803e-18,0.033869145121987854,"{0: 0.1774641864443019, 1: 0.14359504132231404}"
feature_006,cat/ord,2,1.0395027404398896e-06,0.018176025296360504,"{0: 0.16375692462648983, 1: 0.18193294992285033}"
feature_099,cont,39,0.0001325682465054299,0.022805222093010613,m1=3.82 m0=3.8
feature_063,cont,3710,0.00042181797540081784,-0.36901114214004593,m1=5.78 m0=6.15
feature_007,cat/ord,2,0.0005904565948079544,0.01161996160487469,"{0: 0.16374099677874696, 1: 0.17536095838362165}"
feature_039,cat/ord,2,0.0034149284285682475,0.009851879408832448,"{0: 0.16401248399487836, 1: 0.1738643634037108}"
feature_092,cont,44729,0.0037592005521928187,0.007454753216395549,m1=0.313 m0=0.306
feature_076,cat/ord,2,0.01927836481113668,0.014480548889935135,"{0: 0.16776244176427046, 1: 0.1822429906542056}"
feature_112,cat/ord,2,0.03288596918188831,0.01350401140316207,"{0: 0.1699876412046573, 1: 0.15648362980149524}"
feature_123,cat/ord,5,0.04481469374100249,0.019918400648352458,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,cat/ord,2,0.050551875323761514,0.008578048459052967,"{0: 0.17049228364915023, 1: 0.16191423519009726}"
feature_053,cat/ord,2,0.06715732226589445,0.006208807147287276,"{0: 0.17172266318727122, 1: 0.16551385603998395}"
feature_043,cat/ord,2,0.07841390423372419,0.00663246729878722,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_044,cont,5741,0.07901825994215586,-0.24287633365609196,m1=27.8 m0=28
feature_031,cont,111,0.08867030371832853,0.3062094812904661,m1=130 m0=130
feature_074,cat/ord,2,0.09042000699547424,0.01057834246063244,"{0: 0.16809098223410965, 1: 0.1786693246947421}"
