feature,n1,p1,p0,diff,log_or,p
feature_013,32365,0.15396261393480612,0.19642755883186844,-0.04246494489706232,-0.2951070843302976,1.109329360648439e-33
feature_067,12584,0.14359504132231404,0.1774641864443019,-0.033869145121987854,-0.25195180270272977,1.9915374242765803e-18
feature_006,14258,0.18193294992285033,0.16375692462648983,0.018176025296360504,0.12731125375276625,1.0395027404398896e-06
feature_007,22371,0.17536095838362165,0.16374099677874696,0.01161996160487469,0.08256465683357232,0.0005904565948079544
feature_039,25008,0.1738643634037108,0.16401248399487836,0.009851879408832448,0.07018038405372588,0.0034149284285682475
feature_076,4066,0.1822429906542056,0.16776244176427046,0.014480548889935135,0.10081702598549937,0.01927836481113668
feature_112,3879,0.15648362980149524,0.1699876412046573,-0.01350401140316207,-0.09829317963827923,0.03288596918188831
feature_021,9048,0.16191423519009726,0.17049228364915023,-0.008578048459052967,-0.061692871243937374,0.050551875323761514
feature_053,22409,0.16551385603998395,0.17172266318727122,-0.006208807147287276,-0.04426951627470258,0.06715732226589445
feature_074,4013,0.1786693246947421,0.16809098223410965,0.01057834246063244,0.0743224450029639,0.09042000699547424
feature_100,995,0.1879396984924623,0.16855422916028975,0.019385469332172556,0.13445845214603375,0.11574326628411497
feature_117,4143,0.16123581945450158,0.16963604247988312,-0.008400223025381542,-0.06029948638039723,0.17374300997982106
feature_038,14976,0.16546474358974358,0.17042599360438557,-0.0049612500146419825,-0.03541047631145266,0.17923590925972227
feature_032,10067,0.17343796563027714,0.16780607517591967,0.005631890454357469,0.03996818904330833,0.1825817697633948
feature_085,6060,0.17458745874587459,0.1681611288120164,0.006426329933858194,0.045577175469906854,0.21746234658697272
feature_093,23978,0.16698640420385352,0.17074014295596035,-0.0037537387521068277,-0.026736295504645603,0.2682219928886605
feature_081,1961,0.15961244263131055,0.16932076021565812,-0.009708317584347564,-0.0694218193982472,0.2740012380258302
feature_046,2589,0.1769022788721514,0.16850519921537196,0.008397079656779438,0.05958759519155333,0.27861548698102373
feature_104,8858,0.17272522013998645,0.16812503038257742,0.004600189757409029,0.0327401705107656,0.3018338227376992
feature_071,5976,0.17369477911646586,0.16829456660003633,0.005400212516429526,0.03842441034531111,0.30440613738862127
feature_111,7546,0.172806785051683,0.16825269703679277,0.00455408801489024,0.03244492002138941,0.3389751042562632
feature_016,17443,0.17107148999598693,0.16779801578769543,0.0032734742082914936,0.023321735870320017,0.3583405793126079
feature_012,20896,0.16711332312404287,0.17025151181968115,-0.003138188695638283,-0.022345376238714153,0.36199179382836344
feature_015,13980,0.16652360515021458,0.1698778456413104,-0.0033542404910958112,-0.023868213302332245,0.3761205445812471
feature_027,7451,0.16534693329754396,0.1695692025664528,-0.00422226926890884,-0.03001655686039844,0.37857380495364534
feature_075,7350,0.17251700680272108,0.16832356389214537,0.004193442910575718,0.02991911877925777,0.38468538116615936
feature_109,6517,0.16510664416142395,0.16951452291700206,-0.004407878755578104,-0.03132186784708233,0.3854536658750173
feature_068,5056,0.16455696202531644,0.16943307226771093,-0.004876110242394482,-0.03462471302797138,0.3911682553313359
feature_116,488,0.15368852459016394,0.16909032153821296,-0.015401796948049024,-0.10848434612225379,0.39929412373266593
feature_120,2397,0.17521902377972465,0.16862382622943933,0.006595197550285314,0.04721814055480916,0.41627353404434064
feature_017,5972,0.16527126590756866,0.16943763059870992,-0.004166364691141261,-0.029547703499084973,0.4307368786095056
feature_049,3000,0.16366666666666665,0.16927659574468085,-0.005609929078014192,-0.03966405288019454,0.44134085513059573
feature_080,1501,0.1765489673550966,0.16870450937132725,0.007844457983769343,0.056362644199857884,0.4449539745793255
feature_079,6032,0.1724137931034483,0.16846342794759825,0.0039503651558500386,0.028267354268830758,0.45354710067712867
feature_030,10981,0.17129587469265095,0.168276993259694,0.003018881432956949,0.021567303517220547,0.4645280072229979
