feature,beta_int,p_int
feature_021,-0.11995549921894279,0.08825996641048497
feature_112,-0.16209450762666122,0.11990147119490838
feature_051,-0.04943773013135543,0.22289658528978973
feature_013,0.04556190875495129,0.4014905530028019
feature_099,0.021798998200726987,0.41095996063791673
feature_063,-0.019248915007426,0.5237031944461323
feature_007,0.030508997017679645,0.5654535745687408
feature_039,0.029681590426114585,0.5751671139341394
feature_006,-0.028161899492454522,0.6169228434511895
feature_076,0.04108405405496912,0.6608463639417896
feature_067,-0.0277830094989995,0.6633235132503852
feature_011,-0.009431500745916133,0.7345471492025668
feature_100,-0.037723447930166076,0.8341486861107724
feature_032,0.007601839386321316,0.9073156252667846
feature_092,0.0023684829780534255,0.9287348683737643
