,beta,se,p,abs_z
feature_051,-0.38246988342448623,0.018411957987497965,7.611039393881473e-96,20.772906590607572
feature_013,-0.30261037801033513,0.024680504021724024,1.4647927817688465e-34,12.261110135513217
feature_011,-0.15264069535272157,0.012669329416522573,1.9859616489903682e-33,12.048048506312954
feature_067,-0.26059445729955544,0.02907831138048774,3.1937634250828166e-19,8.961815350612852
feature_006,0.13098356320829005,0.02734608700026486,1.6690882058722097e-06,4.789846649980358
feature_099,0.047062063928717576,0.012099844925977155,0.00010046064663431644,3.8894766186366603
feature_063,-0.04589654453104833,0.01321844386578692,0.0005162896257615621,3.472159430947965
feature_007,0.0806812109750645,0.024223436559811403,0.0008662519981355117,3.330708703360489
feature_039,0.07833819542296001,0.024154458754432746,0.00118187399543057,3.2432188284319827
feature_092,0.037349920361873415,0.012053361622378174,0.0019436254774189852,3.098713996312021
feature_005_private,0.0895747509314673,0.03797425168985756,0.01833272104726253,2.358828599521596
feature_076,0.09988857388125752,0.04302009846408434,0.020238061351033846,2.3219048176900445
feature_112,-0.10141164930525609,0.04639463765054895,0.028826690795463007,2.1858485040685767
feature_033,-0.021603450162554022,0.010937075490467314,0.048239869349523935,1.9752492502573886
feature_021,-0.06071695261090013,0.03176771236026772,0.05596877226973868,1.9112787197997796
feature_074,0.08272753384392652,0.04357820999481706,0.05764745734066185,1.898369250452592
feature_044,-0.02271026812499569,0.012181776872926946,0.06228210431183755,1.8642820634375186
feature_053,-0.04509962843787344,0.02432166204582777,0.0636964255268977,1.8542987873482932
feature_031,0.020841516986357566,0.01205259627945226,0.0837708199710461,1.7292138974147009
feature_100,0.14248421098469322,0.0830551307581677,0.08624668296589996,1.7155377360077326
feature_005_medicare,0.06306144006462136,0.037738750191385666,0.09472173802792244,1.6709996951360597
feature_123_white,-0.07857514237197409,0.05081768289792322,0.12205227764149061,1.5462165508373709
feature_070,0.0169919390326118,0.011968051365906255,0.15567322203146083,1.419774908471503
feature_043_squamous,0.038006189645259675,0.02796162102304524,0.17407467496561857,1.3592269780759836
feature_038,-0.035736977292121316,0.026483911673262795,0.17721352853540506,1.349384401104165
feature_032,0.040075567485576676,0.029880278037821274,0.17985402099361425,1.341204637883577
feature_020,0.015244138224529143,0.011665217595742114,0.1912797170588869,1.3068027320890576
feature_117,-0.05543689355891725,0.0445169665639048,0.21302219647429133,1.2452980927920305
feature_028,-0.015021913871209705,0.012149737744232916,0.21631058506955214,1.2363981994870727
feature_026,-0.012902172394811388,0.010671158124045945,0.22663612487883555,1.2090695541038012
feature_093,-0.029037665821096036,0.024178526605238553,0.2297631479864446,1.2009692027637737
feature_010,0.014455820480618291,0.012067088613582317,0.23093481554455197,1.1979542823898133
feature_085,0.04374838191486988,0.03658719803821616,0.2318022432119744,1.1957292238988537
feature_005_uninsured,0.08022906443939733,0.0686084961546665,0.24225255279912272,1.1693750619243157
feature_071,0.041301288648362314,0.036865389253645416,0.262574466933733,1.1203269376649334
feature_075,0.037697304282659806,0.033861078316838995,0.265582576074894,1.1132930832835606
feature_081,-0.07062574983957197,0.06355208697240416,0.26643710265386755,1.1113049658029226
feature_016,0.027903926863065216,0.025273135988437286,0.26955220829489,1.104094358366589
feature_111,0.035106420433575085,0.03349767998696141,0.2946268912101634,1.048025428842829
feature_096,-0.01257675565906628,0.012221641521247429,0.3034532790279283,1.0290561736082244
feature_054,0.012001124946306266,0.012059471317225559,0.31965758700197056,0.9951617803646209
feature_108,-0.08760794295309345,0.08888167747871806,0.3242954073949662,0.9856693239624151
feature_120,0.052383724317873304,0.05577383258243582,0.3476194106195999,0.9392168673445238
feature_062,0.011197081702011686,0.012067104191967593,0.353458768514619,0.92790130290455
feature_068,-0.03748619103314111,0.04041883420918049,0.3536962374209496,0.9274436476603455
feature_015,-0.02486633946154682,0.026990214986118723,0.3568889015553066,0.9213094254468062
feature_116,-0.11697587457321704,0.1275824877614096,0.3592135633773669,0.9168646624290016
feature_042,-0.010357057111600492,0.011327999907265114,0.36056540766078693,0.9142882412064715
feature_009,-0.06522080753080751,0.07147923586123522,0.36153497986637795,0.9124441069490812
feature_012,-0.022348018271263696,0.02450613842388422,0.3618026579034539,0.9119355275281897
feature_046,0.04871683767841681,0.05360522048681626,0.3634516360633724,0.9088077100699229
feature_027,-0.030699407119057148,0.03412457242573855,0.36831846534188273,0.8996275978509269
feature_059,0.010813717868941052,0.012067157881272066,0.3701844125667493,0.8961279843469752
feature_079,0.03254958920630353,0.03681495428014203,0.3766204150240229,0.8841404218138812
feature_066,-0.010698282142371566,0.012165387804162806,0.3791826451917988,0.8794032968444114
feature_022,-0.034998484377135694,0.04019123909459187,0.3838639988204221,0.8707988398856079
feature_088,0.02253128316449029,0.0262070226080881,0.38993116929771243,0.8597421958775511
feature_045,0.009372139696536021,0.010959629170683511,0.3924674652733714,0.8551511689470344
feature_056,-0.010211840708164631,0.012069597474914739,0.3975083168913778,0.8460796417932545
feature_104,0.026166883991813196,0.031407764464251066,0.40476902452352137,0.8331342404709147
feature_121,-0.01004437872343238,0.012102708531595317,0.4065793977015245,0.8299281683278199
feature_095,0.01968786684520022,0.02426621291547112,0.41717712508416693,0.8113283648248244
feature_004,-0.04074227437855387,0.050803999813328456,0.4225818049986739,0.8019501324355394
feature_030,0.021903138408778635,0.029052723996830697,0.45090328080176856,0.7539099745403565
feature_002,0.01909823580822604,0.025342101200881716,0.45107929200613484,0.7536169024359182
feature_083,0.020952398693111666,0.02783155118664572,0.4515526810615127,0.7528289944243264
feature_113,-0.053717643491660055,0.07272730839663206,0.4601394551853186,0.7386172357527764
feature_014,-0.008672657535463663,0.012061315923636347,0.4721117312221592,0.7190473734684297
feature_049,-0.03659415506989082,0.051445738652039635,0.47688870340002054,0.7113155730428995
feature_087,-0.02126522142283481,0.03041557374626583,0.48445473901039005,0.699155689129342
feature_114,0.02223754865279892,0.03335291950487821,0.5049416122948085,0.6667346961799385
feature_061,-0.03718987930397363,0.05585650877210336,0.5055318976449883,0.6658110240242499
feature_017,-0.024853515318326486,0.03751115192896121,0.5076102351437566,0.6625633722311217
feature_123_hispanic,-0.03819410836532823,0.05769463992600249,0.5079683698552016,0.6620044498815646
feature_086,-0.016041030656595453,0.024264320037646524,0.5085511272922005,0.6610954121816522
feature_047,0.01981933016409809,0.030135378760900666,0.5107460316168605,0.6576764911882509
feature_018,-0.007051703433072681,0.01080358963534913,0.5139377370803375,0.6527185566174828
feature_103,-0.007735000395231518,0.012098257666918343,0.5225963780237137,0.6393482936292735
feature_048,-0.007362298061920778,0.012069828786960954,0.5418781353017159,0.6099753519183532
feature_019,-0.0073157814525376475,0.01205692933239915,0.5440036457264799,0.6067698707397098
feature_003,-0.007308640645253339,0.0120726361765035,0.544920585535458,0.6053889588321945
feature_036,-0.03376516573034185,0.05720832834410799,0.5550470768770362,0.5902141647496575
feature_055,0.007084972035255448,0.012031522976502002,0.5559502067413039,0.5888674317534575
feature_080,0.04089066281658999,0.0696144914399088,0.5569436729298013,0.5873872231313618
feature_052,-0.1003265779635281,0.173782719468526,0.5637297634611231,0.5773104384046561
feature_069,-0.015103718265253389,0.026395120386389477,0.5671754423975771,0.5722163052926083
feature_123_other,0.050991969079841104,0.09518701545764141,0.5921638347351184,0.5357029930467011
