a,b,beta_int,p_int
feature_006,feature_039,0.1838609496770769,0.00041464323149410066
feature_007,feature_039,0.14567764772714686,0.002372850443426989
feature_006,feature_007,0.14878507831502638,0.004298610230383828
feature_007,feature_021,-0.12134199833737844,0.05495157672965242
feature_013,feature_006,-0.07711707531592346,0.14663503638429098
feature_013,feature_039,0.07091551141329122,0.1466803977054264
feature_006,feature_112,0.14075142116760272,0.15093928990797964
feature_013,feature_007,0.06904417051779528,0.15888396914378
feature_021,feature_100,-0.31737884341723305,0.164485339942822
feature_067,feature_007,0.07622953983177229,0.1865972024663115
feature_013,feature_021,0.0792208825938861,0.21931196240219542
feature_021,feature_032,-0.08763897696585136,0.2663706163043289
feature_076,feature_112,0.17353276086043615,0.2696204432528756
feature_112,feature_100,0.32232275551867734,0.29524243877631473
feature_007,feature_076,-0.08115406887649196,0.34116425336908063
feature_067,feature_076,0.09061961069050482,0.364761820456842
feature_007,feature_032,-0.051563555030252776,0.38443321579074774
feature_006,feature_076,-0.07878919772407547,0.39543136778698884
feature_006,feature_100,0.14609383196384462,0.4089557668546995
feature_076,feature_100,0.21535977025912922,0.41100512363582264
feature_039,feature_021,0.04649795242579113,0.45978755883630074
feature_039,feature_100,-0.11470945325842205,0.4849298486253888
feature_013,feature_067,0.03933878494749419,0.5047557307234234
feature_067,feature_006,0.038029234813171414,0.5425800619868192
feature_067,feature_039,-0.03280724124163951,0.5690772301427475
feature_039,feature_112,0.04483581436676299,0.6258848488829735
feature_013,feature_112,0.04525798272426218,0.6322290998469359
feature_006,feature_021,0.030350671630786443,0.6564029905383792
feature_013,feature_032,0.027007676987921943,0.6566026868436832
feature_067,feature_112,0.046082030123429,0.6740991096566507
feature_039,feature_076,-0.03280119108233211,0.6997768710160062
feature_067,feature_100,-0.07336012203158038,0.7075174083198996
feature_007,feature_112,0.031150549081235605,0.735214365033977
feature_112,feature_021,0.0405954118018949,0.7367378481038789
feature_076,feature_021,-0.03665704531313918,0.7423633508291901
feature_039,feature_032,-0.014550053678133525,0.805473609319484
feature_067,feature_032,0.016356599238192222,0.8186688052016522
feature_007,feature_100,-0.0318711739605669,0.846690502403989
feature_013,feature_100,0.0298504249486465,0.8600980908313965
feature_032,feature_100,0.01786892731869535,0.9297187971108167
feature_013,feature_076,-0.005938996362278797,0.9456398296886078
feature_006,feature_032,-0.003608971432802537,0.9551844383212814
feature_076,feature_032,0.004418456452889598,0.9661492117787037
feature_067,feature_021,0.001286113901289929,0.9864860541853999
feature_112,feature_032,0.0002686638957965933,0.9980846911651803
