a,b,int_beta,int_p
feature_006,feature_039,0.18386094967707578,0.00041464323149413036
feature_007,feature_039,0.1456776477271472,0.0023728504434269346
feature_006,feature_007,0.1487850783150293,0.004298610230383069
feature_007,feature_021,-0.12134199833737844,0.05495157672965242
feature_013,feature_006,-0.07711707531592221,0.14663503638429748
feature_013,feature_039,0.0709155114132896,0.14668039770543584
feature_006,feature_112,0.14075142116759884,0.15093928990799088
feature_013,feature_007,0.06904417051779264,0.15888396914379577
feature_067,feature_007,0.07622953983176904,0.18659720246633038
feature_013,feature_021,0.07922088259388307,0.21931196240221296
feature_076,feature_112,0.1735327608604343,0.2696204432528809
feature_007,feature_076,-0.08115406887649411,0.34116425336906797
feature_067,feature_076,0.09061961069050539,0.3647618204568389
feature_006,feature_076,-0.07878919772407768,0.39543136778697574
feature_039,feature_021,0.046497952425785784,0.45978755883635236
feature_013,feature_067,0.03933878494748837,0.5047557307234862
feature_067,feature_006,0.03802923481316936,0.5425800619868411
feature_067,feature_039,-0.03280724124163969,0.5690772301427454
feature_039,feature_112,0.04483581436676358,0.6258848488829689
feature_013,feature_112,0.045257982724263325,0.6322290998469271
feature_006,feature_021,0.030350671630790985,0.6564029905383313
feature_067,feature_112,0.0460820301234292,0.6740991096566492
feature_039,feature_076,-0.03280119108232602,0.6997768710160591
feature_007,feature_112,0.031150549081237534,0.7352143650339612
feature_112,feature_021,0.04059541180189298,0.7367378481038908
feature_076,feature_021,-0.03665704531314367,0.7423633508291596
feature_013,feature_076,-0.005938996362282571,0.9456398296885733
feature_067,feature_021,0.001286113901290803,0.9864860541853907
