feature,modifier,int_beta,int_p
feature_013,histology,0.04556190875494809,0.4014905530028351
feature_067,histology,-0.027783009498999787,0.663323513250382
feature_006,histology,-0.028161899492449727,0.6169228434512495
feature_007,histology,0.030508997017680263,0.5654535745687328
feature_039,histology,0.02968159042611388,0.5751671139341483
feature_013,smoking,,0.36727796598459594
feature_067,smoking,,0.7950591214872048
feature_006,smoking,,0.5854145272778417
feature_007,smoking,,0.22988502147672518
feature_039,smoking,,0.3067000838295725
