feature,type,p,effect,detail
feature_051,ord,6.494492675857906e-95,-0.09224280442851963,"levels=[np.int64(0), np.int64(1), np.int64(2)] spearman_rho=-0.0922"
feature_013,bin,1.109329360648439e-33,-0.04246494489706232,rate1=0.154 (n=32365) rate0=0.196 (n=17635)
feature_011,cont,1.3507664514170603e-32,-0.5493287177653858,mean_y1=3.383 mean_y0=3.933
feature_067,bin,1.9915374242765803e-18,-0.033869145121987854,rate1=0.144 (n=12584) rate0=0.177 (n=37416)
feature_006,bin,1.0395027404398896e-06,0.018176025296360504,rate1=0.182 (n=14258) rate0=0.164 (n=35742)
feature_063,cont,1.993176465402275e-06,-0.36901114214004593,mean_y1=5.780 mean_y0=6.149
feature_099,cont,3.4707779540155644e-05,0.022805222093010613,mean_y1=3.821 mean_y0=3.798
feature_007,bin,0.0005904565948079544,0.01161996160487469,rate1=0.175 (n=22371) rate0=0.164 (n=27629)
feature_039,bin,0.0034149284285682475,0.009851879408832448,rate1=0.174 (n=25008) rate0=0.164 (n=24992)
feature_092,cont,0.008361937583280594,0.007454753216395549,mean_y1=0.313 mean_y0=0.306
feature_076,bin,0.01927836481113668,0.014480548889935135,rate1=0.182 (n=4066) rate0=0.168 (n=45934)
feature_112,bin,0.03288596918188831,-0.01350401140316207,rate1=0.156 (n=3879) rate0=0.170 (n=46121)
feature_123,cat,0.04481469374100249,0.019918400648352458,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,bin,0.050551875323761514,-0.008578048459052967,rate1=0.162 (n=9048) rate0=0.170 (n=40952)
feature_033,ord,0.05798384369853688,-0.008478424604959947,"levels=[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4)] spearman_rho=-0.0085"
feature_053,bin,0.06715732226589445,-0.006208807147287276,rate1=0.166 (n=22409) rate0=0.172 (n=27591)
feature_043,cat,0.07841390423372419,0.00663246729878722,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_031,cont,0.08134660166385785,0.3062094812904661,mean_y1=130.282 mean_y0=129.975
feature_074,bin,0.09042000699547424,0.01057834246063244,rate1=0.179 (n=4013) rate0=0.168 (n=45987)
