feature,spearman_rho,spearman_p,lin_slope,lin_p
feature_078,0.852962689178101,0.0,0.174047891667004,0.0
feature_013,-0.22269841210502156,0.0,-0.003340923423245291,3.483567074305222e-260
feature_006,-0.13438222411586162,3.724192186636875e-200,-0.0748966811651933,9.910662632402463e-226
feature_009,0.11803858248974886,1.397531217857878e-154,0.494857963191419,1.466093121651525e-166
feature_014,-0.012184491590780826,0.006438563891942623,-0.0004973617972774278,0.006626176569737573
feature_084,-0.010889250187158245,0.014895013531001528,-0.061591877788491046,0.0315176839424281
feature_092,-0.010878346028729429,0.014995684071944251,-0.00041973017629869683,0.00018075877532259973
feature_038,-0.010869357157187577,0.015079122288956682,-0.011516825061010144,0.022518274856899875
feature_094,0.010392894212087382,0.02012943633634814,0.0007092881157770029,0.0317558519265766
feature_103,-0.009257677330052578,0.038445585209401174,-0.027981556347026953,0.12142473467848859
feature_028,-0.0085815744577942,0.05499879566316363,-0.04442172161632021,0.1439791731614435
feature_054,0.007181275748912334,0.10832607399723294,0.0010525237449548284,0.07933667034527828
feature_056,0.005980755301944335,0.18111948884451207,0.026909213222795214,0.1353322854372175
feature_005,-0.0050749751505772545,0.2564683972011105,-0.00252258641693842,0.4023725692098147
feature_118,-0.00504661688872748,0.2591354872436971,-0.0027832019824435145,0.12699563914302353
feature_082,0.004556881534957008,0.30823643586134564,0.004519090074821559,0.32246500143719453
feature_010,0.004440857514676593,0.32071677788519054,0.0003690604451359612,0.179177744737515
feature_065,-0.004040743868429226,0.36625056394776906,-0.001615799652226381,0.3737530529851015
feature_101,-0.003927826199916553,0.37979717491489445,-0.0008689418279343872,0.36976773730454865
feature_019,-0.00375008051860743,0.40173564336296047,-0.0034523851587140767,0.33854633652124516
feature_062,0.0037209238031792095,0.40540559432450757,0.0007809128600014024,0.3869501125431129
feature_090,-0.0035547840817073627,0.4266969665041535,-0.035315241631024556,0.5176181247308131
feature_122,0.0034056510594411204,0.4463525695424316,0.0002471078876164081,0.5130601824457418
feature_026,-0.003391856332015866,0.44819638502992243,-0.000870784258598165,0.7966427939714112
feature_020,0.0030643831862485877,0.49321684728155796,0.0056745396053449046,0.47713153219502485
feature_003,-0.0026470214701571335,0.5539321301500859,-0.010081602884139423,0.5030708077831338
feature_099,0.002224431605969756,0.6189167292963762,-0.0006424198652086346,0.5073062445139231
feature_070,0.002220553703171041,0.6195282140310509,0.0005012698072162245,0.5168676597355185
feature_120,-0.0021799678348755594,0.6259437051086605,2.8708489376147035e-05,0.8253061929669718
feature_059,-0.0018713024357775387,0.6756357894990747,-0.003975727598939486,0.43281566729445364
feature_031,0.0012611157565170711,0.7779533879270496,0.0001263264840607934,0.8675922160557485
feature_044,-0.001059529617994809,0.8127249296216034,-0.00038266069223750923,0.6066570547477247
feature_075,0.000995747032367029,0.8238076898475333,-0.0006936521484292442,0.8971505495205329
feature_055,0.0008264493508737925,0.8533897478823183,0.002428415690884773,0.5772901738941132
feature_117,-0.0002886361274705556,0.9485407453968004,-0.0009215318512009031,0.7597122696462809
