feature,n1,n0,mean_1,mean_0,diff_1_minus_0,t,p
feature_051,27481,22519,3.509451714491316,4.030517867876371,-0.5210661533850551,-28.854749313067618,1.580258406613419e-181
feature_109,4996,45004,3.8345454503838545,3.734092199860592,0.10045325052326248,3.084568537538453,0.0020478281258892394
feature_039,5098,44902,3.8288351765608493,3.734512331355767,0.09432284520508238,2.9400305342961843,0.003294101809045207
feature_105,3080,46920,3.657721802455868,3.7498016044560907,-0.0920798020002227,-2.437723845207544,0.014829615595811224
feature_043,9973,40027,3.7059328664108953,3.7536464375528515,-0.04771357114195629,-2.1141766916431486,0.03451620716978058
feature_115,9021,40979,3.7076835643914245,3.7521525903089095,-0.04446902591748492,-1.8768388431356349,0.060562224177405984
feature_104,7561,42439,3.783877310526883,3.7370479532446588,0.04682935728222404,1.8421653252025603,0.06547946238733074
feature_032,7541,42459,3.7074337527043886,3.7506468947337446,-0.043213142029356,-1.7109203275503466,0.0871256037359036
feature_023,5945,44055,3.70223358609824,3.7497831293449053,-0.04754954324666549,-1.6761742445934593,0.09374533896750663
feature_008,7476,42524,3.7087082824186806,3.750356770606759,-0.041648488188078314,-1.636446180193283,0.1017769133746748
feature_060,17444,32556,3.7246682433254588,3.7545571199187413,-0.029888876593282543,-1.5738977385084578,0.1155199532404388
feature_089,17627,32373,3.72494454503328,3.754575632080506,-0.029631087047226057,-1.5689090014870217,0.11667779477661142
feature_098,5966,44034,3.7063367116295782,3.7492498889735604,-0.042913177343982145,-1.5428573225293327,0.12290653327353733
feature_073,2384,47616,3.804880485669153,3.741087856073769,0.06379262959538412,1.487800145854603,0.13692383790520365
feature_011,20076,29924,3.728366727152624,3.7547047192329828,-0.026337992080358585,-1.427556018207637,0.15342691392363586
feature_050,247,49753,3.5612618458810834,3.7450373395918084,-0.183775493710725,-1.3990032654685098,0.16305957028191811
feature_111,4994,45006,3.7815341990329703,3.7399789504215706,0.0415552486113997,1.3864559918607688,0.16565774415026444
