,coef,se,t,p,abs_t
feature_078,0.17414814201019896,0.00038414479846609527,453.339841397252,0.0,453.339841397252
log_feature_013,-0.19097311264906316,0.0018804524973006572,-101.55699913887764,0.0,101.55699913887764
log_feature_013,-0.1909731126490355,0.0018804524973006858,-101.55699913886139,0.0,101.55699913886139
feature_006,-0.07713475923219947,0.0009907450510715703,-77.85530611409266,0.0,77.85530611409266
feature_009,0.4774423061779897,0.0076229558346898605,62.63217530466178,0.0,62.63217530466178
const,-7.601719952398755,0.2829416628819155,-26.86673950725772,7.193613731446308e-158,26.86673950725772
feature_092,-0.0005472953311536352,4.732259790837901e-05,-11.56520046116763,6.772792009220709e-31,11.56520046116763
feature_109,0.1369746754177878,0.012749519143083032,10.743516981352222,6.803671193784482e-27,10.743516981352222
feature_039,0.13030032849888462,0.012632659914270362,10.314559988406884,6.415571609627149e-25,10.314559988406884
feature_027,0.03572894410219806,0.007799344182920531,4.581019027271477,4.63833802875216e-06,4.581019027271477
feature_043,-0.04169821243370731,0.009567017849404405,-4.3585381662377936,1.3119558782657472e-05,4.3585381662377936
feature_121,0.047830299567236695,0.017418550172440574,2.745940339105446,0.006035935312948809,2.745940339105446
feature_116,0.04726383882243033,0.017403717188759514,2.7157324099104807,0.006615211350146892,2.7157324099104807
feature_073,0.047413596955944576,0.017938584211586048,2.6431069696861256,0.008217474793111088,2.6431069696861256
feature_050,-0.14314581109953686,0.054539144436514836,-2.6246435029094157,0.008676616783971376,2.6246435029094157
feature_014,-0.00019718860864943627,7.733715645666675e-05,-2.5497266473706492,0.010783705234829993,2.5497266473706492
feature_110,0.02117249753794393,0.009198343571002455,2.3017728544832456,0.021352084952847676,2.3017728544832456
feature_074,-0.0161354250501848,0.0076845304105505234,-2.099728179620653,0.03575776945261118,2.099728179620653
feature_070,0.0005925125941713662,0.00032646756170991094,1.8149202667119948,0.06954216694549095,1.8149202667119948
feature_075,0.004023930483347878,0.0022653934053014665,1.776261233007516,0.07569596401995393,1.776261233007516
feature_059,-0.003787478904483256,0.002139339215800891,-1.7703966142953917,0.0766672002868916,1.7703966142953917
feature_108,-0.013539687195673009,0.007686463173163279,-1.7614976993509617,0.07816032758856131,1.7614976993509617
feature_038,-0.003667730722821994,0.0021306187823044572,-1.7214392144121675,0.08517735397060625,1.7214392144121675
feature_099,-0.0006735271117924046,0.0004090844429898845,-1.646425630047875,0.09968245971919111,1.646425630047875
feature_089,-0.013136456858913102,0.008001253622210998,-1.6417998327720909,0.10063779786876723,1.6417998327720909
feature_022,-0.028034390496795472,0.017566177462363528,-1.595930051194157,0.11051074638704685,1.595930051194157
feature_056,0.011886430792625465,0.007608500654947827,1.5622566562960982,0.11823388243704562,1.5622566562960982
feature_117,-0.001924168214789953,0.0012721673075425587,-1.5125119183473297,0.13041001840408298,1.5125119183473297
feature_020,-0.004837775220330234,0.0033695655623196315,-1.435726692612527,0.15108639748176883,1.435726692612527
feature_010,0.00016434709076241984,0.0001159733343515732,1.4171110254034913,0.15645671533359942,1.4171110254034913
feature_054,-0.00035634299655640483,0.0002532642676339009,-1.4070006791147756,0.15943341808016426,1.4070006791147756
feature_072,-0.05142669523302547,0.0388793913211666,-1.3227237743567222,0.18593331844168604,1.3227237743567222
feature_063,0.010808048577308155,0.008342785362469799,1.2954964208870092,0.19515503050123478,1.2954964208870092
feature_047,0.01000599551571325,0.007804613315939946,1.2820616615658915,0.19982697517203618,1.2820616615658915
feature_036,0.028225093120558025,0.02220476726621863,1.2711276268812084,0.20368917597548017,1.2711276268812084
feature_024,-0.013161454235700152,0.010702804610264955,-1.229720126169278,0.21880772765524736,1.229720126169278
feature_122,0.00019479891388009626,0.00015948781009457788,1.2214031515297534,0.22193918728630285,1.2214031515297534
feature_076,0.011415565785241265,0.009547971992376782,1.1956010966889716,0.23185794716642477,1.1956010966889716
feature_049,-0.011822320593561312,0.009939018236439235,-1.1894857532525054,0.2342542359364984,1.1894857532525054
feature_003,-0.007128895097332317,0.006355494547416417,-1.1216900658392188,0.26199964158285377,1.1216900658392188
feature_042,-0.010676076953660893,0.009578241951683799,-1.1146175892731651,0.265019700012278,1.1146175892731651
feature_031,0.0003539874186429721,0.00031988704923955783,1.1066012815600956,0.2684716897267083,1.1066012815600956
feature_086,-0.012907500200220978,0.011779611474934575,-1.0957492297336289,0.27319382266812725,1.0957492297336289
feature_081,0.01043480438342049,0.00953748545154931,1.0940833866986834,0.27392369131711436,1.0940833866986834
feature_119,-0.024807860628924955,0.022839120668169118,-1.086200339731103,0.27739561615458025,1.086200339731103
feature_048,-0.013728554336288327,0.012842861503896545,-1.068963823375582,0.2850911439571604,1.068963823375582
feature_030,-0.009231714550216447,0.008815898312668128,-1.047166632690262,0.29502780588015004,1.047166632690262
feature_088,0.008031323387732554,0.007738338544861197,1.0378614661497227,0.29933958665163707,1.0378614661497227
feature_021,-0.016596196964412797,0.016014727617713425,-1.0363084131419273,0.30006330625456146,1.0363084131419273
feature_080,0.039072886314320085,0.03801641997392458,1.0277897377270173,0.304053728517418,1.0277897377270173
feature_083,0.00837739856778546,0.008339723485951115,1.0045175456833566,0.31513409133117426,1.0045175456833566
feature_112,0.007282532207745357,0.007810288457912943,0.9324280718936964,0.3511198560689847,0.9324280718936964
feature_114,-0.013028772155349921,0.014062236289556534,-0.9265078389435025,0.3541866079282782,0.9265078389435025
feature_094,-0.00012006826672613906,0.00013944198075305448,-0.8610625442762077,0.3892077359349945,0.8610625442762077
feature_052,0.023093430907647535,0.027256882325972728,0.847251370551727,0.3968590908222942,0.847251370551727
feature_097,-0.0077481720250981625,0.009224349416459538,-0.8399694845983016,0.40092952232622026,0.8399694845983016
feature_026,-0.0011946835288571198,0.0014265004207006033,-0.8374925878187752,0.40231975425819727,0.8374925878187752
feature_085,-0.008294830865984272,0.009951432194718798,-0.8335313655039843,0.40454910722563486,0.8335313655039843
feature_008,0.008923504518098408,0.010720481328834412,0.8323790923544867,0.40519898466588544,0.8323790923544867
feature_098,-0.009649093572826341,0.011794861661482654,-0.818076027490552,0.4133176842534587,0.818076027490552
feature_101,0.0003265852719286408,0.0004089266975664368,0.7986401325034096,0.42450291239373916,0.7986401325034096
feature_019,-0.0011515573172876776,0.0015229805166942173,-0.7561208463698857,0.4495803152174776,0.7561208463698857
feature_120,-4.063847089343014e-05,5.4906940537253304e-05,-0.7401335877721636,0.45922242370045435,0.7401335877721636
race_other,-0.022404716711957012,0.03146147231048968,-0.7121318573666044,0.4763864593240526,0.7121318573666044
race_hispanic,-0.012639595091913862,0.0184005633480496,-0.6869134848120624,0.49214044218993275,0.6869134848120624
feature_004,0.018952352290434543,0.028444185725205982,0.6662996956049195,0.5052226416858057,0.6662996956049195
feature_100,-0.03494191349573082,0.05305733806765459,-0.6585689137132287,0.5101756701877735,0.6585689137132287
feature_090,0.015069316875324083,0.02303976341065767,0.6540569278742403,0.513078145170299,0.6540569278742403
feature_041,0.014559390243490216,0.022329838512081406,0.6520150262445005,0.5143944832821781,0.6520150262445005
feature_068,0.0124144065913901,0.019452612469887314,0.6381871129447332,0.5233548149022846,0.6381871129447332
feature_017,-0.004897378847230119,0.00788220094653253,-0.6213212376150512,0.5343911222462558,0.6213212376150512
feature_046,-0.005097158822811653,0.00835706394001258,-0.6099221998777695,0.5419161243229841,0.6099221998777695
feature_091,0.006451577458125617,0.010770453698076584,0.5990070278355829,0.5491709184462426,0.5990070278355829
feature_104,0.00623610011006257,0.010670790141586896,0.5844084671629738,0.5589481745225089,0.5844084671629738
feature_060,-0.004399518161159232,0.008021524833344491,-0.5484640704309705,0.5833757481479801,0.5484640704309705
feature_077,-0.004111917539605733,0.007682929450019826,-0.5352017829078363,0.5925127195134766,0.5352017829078363
feature_107,-0.005318058859557234,0.010143746014813148,-0.5242697176951344,0.6000932856545376,0.5242697176951344
feature_001,0.0118073260914589,0.022701875005121403,0.5201035636393575,0.6029937029634438,0.5201035636393575
feature_113,-0.01395110312726167,0.02704040520639541,-0.5159354314691279,0.6059017934960431,0.5159354314691279
feature_082,0.0009880573302862305,0.0019280647121982695,0.5124606679615561,0.6083309098951182,0.5124606679615561
feature_095,0.003877874222042261,0.007652731505195576,0.5067307299896125,0.6123460055631881,0.5067307299896125
feature_061,0.003963516735898016,0.00833117402385515,0.4757452820633732,0.6342579400336096,0.4757452820633732
feature_012,0.0035691121816857838,0.0076890889879891915,0.46417881068367745,0.6425216668546186,0.46417881068367745
ins_private,-0.005469257034234987,0.011824433359478205,-0.46253861542134295,0.6436971347472529,0.46253861542134295
feature_066,-0.0037704563271119713,0.00831164529844596,-0.4536353744326576,0.6500932618168922,0.4536353744326576
feature_062,-0.00016480971720296924,0.0003810166013561688,-0.43255258856531426,0.6653417095531249,0.43255258856531426
