feature,rate,mean_pos,mean_neg,diff,p
feature_051,0.54962,3.509451714491316,4.030517867876371,-0.5210661533850551,1.580258406613419e-181
feature_109,0.09992,3.8345454503838545,3.734092199860592,0.10045325052326248,0.0020478281258892394
feature_039,0.10196,3.8288351765608493,3.734512331355767,0.09432284520508238,0.003294101809045207
feature_105,0.0616,3.657721802455868,3.7498016044560907,-0.0920798020002227,0.014829615595811224
feature_043,0.19946,3.7059328664108953,3.7536464375528515,-0.04771357114195629,0.03451620716978058
feature_115,0.18042,3.7076835643914245,3.7521525903089095,-0.04446902591748492,0.060562224177405984
feature_104,0.15122,3.783877310526883,3.7370479532446588,0.04682935728222404,0.06547946238733074
feature_032,0.15082,3.7074337527043886,3.7506468947337446,-0.043213142029356,0.0871256037359036
feature_023,0.1189,3.70223358609824,3.7497831293449053,-0.04754954324666549,0.09374533896750663
feature_008,0.14952,3.7087082824186806,3.750356770606759,-0.041648488188078314,0.1017769133746748
feature_060,0.34888,3.7246682433254588,3.7545571199187413,-0.029888876593282543,0.1155199532404388
feature_089,0.35254,3.72494454503328,3.754575632080506,-0.029631087047226057,0.11667779477661142
feature_098,0.11932,3.7063367116295782,3.7492498889735604,-0.042913177343982145,0.12290653327353733
feature_073,0.04768,3.804880485669153,3.741087856073769,0.06379262959538412,0.13692383790520365
feature_011,0.40152,3.728366727152624,3.7547047192329828,-0.026337992080358585,0.15342691392363586
feature_050,0.00494,3.5612618458810834,3.7450373395918084,-0.183775493710725,0.16305957028191811
feature_111,0.09988,3.7815341990329703,3.7399789504215706,0.0415552486113997,0.16565774415026444
feature_116,0.05082,3.796353555475024,3.7413333624429885,0.055020193032035536,0.18051216543794643
feature_077,0.54938,3.7331844749084477,3.7574732631211964,-0.024288788212748713,0.18191631517390416
feature_097,0.22012,3.7217853216758274,3.7504360974067725,-0.0286507757309451,0.18994525224285164
feature_030,0.25134,3.7251323222224495,3.7505072139362152,-0.025374891713765724,0.22384382870243524
feature_086,0.11964,3.7734936513109467,3.7401389297674084,0.03335472154353836,0.23075207379461188
feature_119,0.02886,3.68479124483118,3.745892881898644,-0.061101637067463965,0.25563573907128373
feature_027,0.59924,3.7522147012486817,3.7320400016883344,0.020174699560347342,0.2731538499996449
feature_087,0.45096,3.7332789566398468,3.7530416916191376,-0.01976273497929082,0.27764117612917444
