feature,type,effect,p,nuniq
feature_080,pearson,0.701535072951399,0.0,586
feature_042,binary,1.0981499237271555,0.0,2
feature_063,cat,2.3511410736537264,0.0,3
feature_056,binary,-1.5363170319001882,0.0,2
feature_048,binary,-1.0501723374934535,1.4549955380425552e-178,2
feature_067,pearson,-0.11552760378938601,4.0746632668183206e-148,210
feature_015,binary,-0.558930040322501,6.066087429244211e-144,2
feature_111,binary,0.5678562042894937,3.704854712016327e-143,2
feature_019,pearson,0.10021045803542346,9.393535192804359e-112,39
feature_101,pearson,-0.09141848558859533,2.979162563057627e-93,845
feature_040,binary,-0.45898205091367306,6.101871955866938e-70,2
feature_039,binary,0.3619568351900426,5.822526632644856e-59,2
feature_034,binary,0.11440172242322344,1.044485889142057e-06,2
feature_053,pearson,-0.01640106311208841,0.0002448912527249338,23564
feature_066,pearson,-0.013294083602434866,0.002951884965321785,16634
feature_006,pearson,-0.012838442767292822,0.004094220397479213,43
feature_077,binary,0.06600523138417991,0.004874718797005761,2
feature_086,binary,-0.0741087291535667,0.017533944373829276,2
feature_055,binary,-0.14433420314553036,0.023774031733699047,2
feature_065,pearson,0.010022256931200253,0.025023158365827396,39
feature_005,binary,-0.05385722927163883,0.025455233959309757,2
feature_031,binary,-0.06049369413094663,0.029150941723449633,2
feature_105,pearson,-0.00893018161405371,0.04584265324093631,268
feature_046,pearson,0.00840346525308747,0.060236553296957755,1857
feature_059,pearson,0.008293000003896305,0.06368814547246601,9070
feature_036,binary,0.045196573750899915,0.06369387125687108,2
feature_078,binary,-0.14723947761803924,0.07329485375571088,2
feature_075,binary,0.043116200528809046,0.07690046611130903,2
feature_008,binary,0.04827704615543382,0.08044504792545863,2
feature_094,binary,-0.1274392085744971,0.08132287025972368,2
feature_079,pearson,0.007249068569084168,0.1050344151127893,299
feature_009,binary,-0.03659497446009752,0.1180088704273507,2
feature_126,binary,-0.22269781767708796,0.11801981410237244,2
feature_052,binary,0.048534506171057146,0.16060270611590102,2
feature_057,binary,-0.047252246489930094,0.16636393876692782,2
feature_044,binary,0.0382843180029484,0.17043847847408303,2
feature_090,binary,-0.03308628098143984,0.17393636148483607,2
