f1,f2,beta_inter,p
feature_006,feature_039,0.04150657452331457,0.0004146432314941027
feature_007,feature_039,0.036218200290309276,0.002372850443427044
feature_006,feature_007,0.033401968933210194,0.0042986102303837264
feature_063,feature_099,-0.022240276682215034,0.08815418243003846
feature_006,feature_011,0.01835001545943277,0.13514949164305376
feature_013,feature_063,0.01883682786270262,0.14508392312791057
feature_006,feature_013,-0.016636558668984145,0.14663503638428652
feature_013,feature_039,0.016942419882238838,0.14668039770542085
feature_007,feature_013,0.01640387735363095,0.15888396914376723
feature_039,feature_063,0.017823434820724935,0.17361238746661944
feature_007,feature_057_never,-0.08998147269137376,0.1861948475848545
feature_007,feature_067,0.016449598067427528,0.1865972024663073
feature_011,feature_057_current,0.034656212090264864,0.20448085315372155
feature_007,feature_011,-0.015770786653183145,0.20860989338627223
feature_006,feature_063,-0.014439273065438176,0.27061841097967543
feature_063,feature_057_never,0.03726297040943157,0.28155934818634387
feature_039,feature_057_never,-0.07174434996196112,0.28921208052524894
feature_013,feature_123_white,-0.050168136557838534,0.324690452099368
feature_006,feature_099,-0.011337345364091977,0.33682491393936165
feature_013,feature_057_never,0.06209904564363027,0.37051338889566066
feature_006,feature_123_white,-0.047484251483442264,0.3804521224420472
feature_013,feature_043_squamous,0.04556190875495129,0.4014905530028019
feature_099,feature_057_never,0.027905576505554506,0.4102251387419603
feature_099,feature_043_squamous,0.021798998200726987,0.41095996063791673
feature_013,feature_067,0.008157426887464016,0.5047557307234243
feature_011,feature_039,0.008195483787152704,0.5144588638065335
feature_063,feature_043_squamous,-0.019248915007426,0.5237031944461323
feature_006,feature_057_never,0.07170988483865832,0.5267617799615611
feature_011,feature_013,-0.007554968431065396,0.5378718446211085
feature_006,feature_067,0.0074514883714865915,0.5425800619868376
feature_099,feature_123_white,-0.015013192783465329,0.5463456993683229
feature_007,feature_043_squamous,0.030508997017679645,0.5654535745687408
feature_039,feature_067,-0.007118957646107393,0.5690772301427205
feature_039,feature_043_squamous,0.029681590426114585,0.5751671139341394
feature_007,feature_063,-0.0070749644700809685,0.5860871364090983
feature_006,feature_043_squamous,-0.028161899492454522,0.6169228434511895
feature_063,feature_057_current,-0.014122636286272102,0.6278893161471191
feature_099,feature_057_current,0.012157986828780885,0.6390402370292717
feature_013,feature_057_current,-0.02468056536207717,0.642012456707775
feature_039,feature_057_current,0.02364611092740127,0.6487172271822301
feature_067,feature_043_squamous,-0.0277830094989995,0.6633235132503852
feature_011,feature_123_white,-0.011412235196405093,0.6635091411092676
feature_063,feature_067,0.005507693309554519,0.6781524185773318
feature_007,feature_057_current,0.021201447688656984,0.6837485542063784
feature_006,feature_057_current,0.020395855843988394,0.7115434469852373
feature_011,feature_043_squamous,-0.009431500745916133,0.7345471492025668
feature_039,feature_123_white,-0.016713732679269844,0.7371542732283209
feature_011,feature_099,0.0038277227962882575,0.7609223817289777
feature_011,feature_063,0.003532242034449274,0.7997902178844779
feature_067,feature_057_current,-0.014420800415617318,0.8187987603299622
feature_067,feature_123_white,-0.01302711785982973,0.8284208734263744
feature_007,feature_099,-0.002539528078411081,0.8313992014121266
feature_011,feature_057_never,0.007380957306219887,0.8357577318646402
feature_067,feature_057_never,0.016487440312913965,0.8398136507694981
feature_039,feature_099,-0.0020864897720880254,0.8613619857895747
feature_011,feature_067,0.0019017548268568576,0.8854880660876946
feature_067,feature_099,-0.0011874334283610692,0.9237232493565823
feature_063,feature_123_white,-0.0006230644540238579,0.9818425959678296
feature_007,feature_123_white,0.0010766311315072866,0.9828003909173296
feature_013,feature_099,-3.468742410422406e-05,0.9976307192436183
