,coef,p,or
const,-1.1035000502060333,1.0634102618378036e-81,0.33170805471021647
feature_051_1,-0.3679486012095248,4.751141135244685e-47,0.6921527565889819
feature_051_2,-0.7762758203678732,2.381729937449407e-78,0.4601163805200355
feature_013,-0.3016460451161368,1.735468303641459e-34,0.7395998035275274
feature_011,-0.15226790807008428,2.1972549447606068e-33,0.85875818167268
feature_067,-0.2590532228750261,4.494676794996799e-19,0.7717819454965481
feature_006,0.1299040836044518,7.404495450584468e-07,1.1387191562493628
feature_099,0.04634696744711172,0.0001233087083921064,1.0474377747262973
feature_007,0.0802115859488259,0.0009059764253593769,1.0835163002473638
feature_063,-0.045987118781723645,0.000488867717295344,0.955054264373926
feature_092,0.03692582881049368,0.0021413822597659577,1.0376160567667527
feature_039,0.07664840524762102,0.0014748338196710203,1.0796624060151596
feature_076,0.09944510608546982,0.020554706269408776,1.1045578355722978
feature_112,-0.10060673354088573,0.029829314083027195,0.9042885893386147
feature_123_black,0.005412081801124466,0.9271956574273091,1.0054267535721688
feature_123_hispanic,-0.04075839338650179,0.479107864784002,0.9600610590300944
feature_123_other,0.047473370592632104,0.6169951341932898,1.0486182766662182
feature_123_white,-0.0767076089608629,0.1304414008780671,0.9261606150851039
feature_021,-0.06008247954949189,0.05806545459754466,0.9416868604730568
feature_053,-0.04617926850996147,0.057031779403918764,0.9548707685864717
