feature,type,diff,effect,p,n_pos,n_neg,mean_pos,mean_neg
feature_051,multi,,426.14984344916445,2.902266327024842e-93,,,"{0: 0.21079911146551233, 1: 0.15699863792965307, 2: 0.11054671835316134}",
feature_013,binary,-0.04246494489706232,-0.29508011176975174,1.3090389426645996e-33,32365.0,17635.0,0.15396261393480612,0.19642755883186844
feature_011,cont,-0.5493287177653858,-0.14909044070469132,1.787815420116153e-32,8447.0,41553.0,3.3833668758138984,3.932695593579284
feature_067,binary,-0.033869145121987854,-0.25212302004295045,2.03978548881656e-18,12584.0,37416.0,0.14359504132231404,0.1774641864443019
feature_006,binary,0.018176025296360504,0.12723008004969458,9.825607973372145e-07,14258.0,35742.0,0.18193294992285033,0.16375692462648983
feature_099,cont,0.022805222093010613,0.045481282338302516,0.00013981013094280172,8447.0,41553.0,3.8209305078726175,3.798125285779607
feature_007,binary,0.01161996160487469,0.08255318976906749,0.0005660234880567204,22371.0,27629.0,0.17536095838362165,0.16374099677874696
feature_063,cont,-0.36901114214004593,-0.044310317398406254,0.0006882461176529518,8447.0,41553.0,5.780190600213094,6.1492017423531395
feature_092,cont,0.007454753216395549,0.03512925099614873,0.0031928243285728624,8447.0,41553.0,0.31304949455059594,0.3055947413342004
feature_039,binary,0.009851879408832448,0.0701876386853834,0.0032898241872043217,25008.0,24992.0,0.1738643634037108,0.16401248399487836
feature_076,binary,0.014480548889935135,0.10034465740609994,0.018221867564152547,4066.0,45934.0,0.1822429906542056,0.16776244176427046
feature_112,binary,-0.01350401140316207,-0.09891305147992384,0.0311616450848241,3879.0,46121.0,0.15648362980149524,0.1699876412046573
feature_123,multi,,9.752230089907084,0.04481469374100249,,,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}",
feature_021,binary,-0.008578048459052967,-0.061911283760120124,0.04877798674930804,9048.0,40952.0,0.16191423519009726,0.17049228364915023
feature_053,binary,-0.006208807147287276,-0.04429393133893395,0.06539743409981665,22409.0,27591.0,0.16551385603998395,0.17172266318727122
feature_043,multi,,3.097473414829456,0.07841390423372419,,,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}",
feature_044,cont,-0.24287633365609196,-0.02093420703172591,0.0822492564122102,8447.0,41553.0,27.795880194151767,28.03875652780786
feature_074,binary,0.01057834246063244,0.07382863703576736,0.08637974514455193,4013.0,45987.0,0.1786693246947421,0.16809098223410965
feature_031,cont,0.3062094812904661,0.020356890413692073,0.08810406382399996,8447.0,41553.0,130.28163845152125,129.97542897023078
feature_026,multi,,7.715035387558373,0.10259253071468667,,,"{0: 0.1703197265232254, 1: 0.1675237115758199, 2: 0.17477567298105684, 3: 0.16610371547784622, 4: 0.15302066772655007}",
feature_100,binary,0.019385469332172556,0.1324551035727879,0.10642185455078151,995.0,49005.0,0.1879396984924623,0.16855422916028975
feature_117,binary,-0.008400223025381542,-0.06085269215140042,0.16705289337105367,4143.0,45857.0,0.16123581945450158,0.16963604247988312
feature_038,binary,-0.0049612500146419825,-0.03550567195938225,0.17506941571779477,14976.0,35024.0,0.16546474358974358,0.17042599360438557
feature_032,binary,0.005631890454357469,0.039801515641841666,0.1777661158161271,10067.0,39933.0,0.17343796563027714,0.16780607517591967
feature_070,cont,0.7825196339829716,0.015706574762653847,0.18473882010479004,8447.0,41553.0,104.97494376701789,104.19242413303492
