col,type,p,mean_resp,mean_nonresp,effect,rate1,rate0,n1,rates
feature_051,cont,1.0761360514835657e-99,0.6597608618444418,0.8266791808052367,-0.1669183189607949,,,,
feature_011,cont,2.7650674791860025e-35,3.3833668758138984,3.932695593579284,-0.5493287177653858,,,,
feature_013,bin,1.109329360648439e-33,,,-0.04246494489706232,0.15396261393480612,0.19642755883186844,32365.0,
feature_067,bin,1.9915374242765803e-18,,,-0.033869145121987854,0.14359504132231404,0.1774641864443019,12584.0,
feature_006,bin,1.0395027404398896e-06,,,0.018176025296360504,0.18193294992285033,0.16375692462648983,14258.0,
feature_099,cont,0.0001325682465054299,3.8209305078726175,3.798125285779607,0.022805222093010613,,,,
feature_063,cont,0.00042181797540081784,5.780190600213094,6.1492017423531395,-0.36901114214004593,,,,
feature_007,bin,0.0005904565948079544,,,0.01161996160487469,0.17536095838362165,0.16374099677874696,22371.0,
feature_039,bin,0.0034149284285682475,,,0.009851879408832448,0.1738643634037108,0.16401248399487836,25008.0,
feature_092,cont,0.0037592005521928187,0.31304949455059594,0.3055947413342004,0.007454753216395549,,,,
feature_076,bin,0.01927836481113668,,,0.014480548889935135,0.1822429906542056,0.16776244176427046,4066.0,
feature_112,bin,0.03288596918188831,,,-0.01350401140316207,0.15648362980149524,0.1699876412046573,3879.0,
feature_033,cont,0.038610770093177205,1.3239019770332663,1.3510937838423218,-0.02719180680905553,,,,
feature_123,cat,0.04481469374100249,,,0.019918400648352458,,,,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,bin,0.050551875323761514,,,-0.008578048459052967,0.16191423519009726,0.17049228364915023,9048.0,
feature_053,bin,0.06715732226589445,,,-0.006208807147287276,0.16551385603998395,0.17172266318727122,22409.0,
feature_043,cat,0.07841390423372419,,,0.00663246729878722,,,,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_044,cont,0.07901825994215586,27.795880194151767,28.03875652780786,-0.24287633365609196,,,,
feature_031,cont,0.08867030371832853,130.28163845152125,129.97542897023078,0.3062094812904661,,,,
feature_074,bin,0.09042000699547424,,,0.01057834246063244,0.1786693246947421,0.16809098223410965,4013.0,
feature_100,bin,0.11574326628411497,,,0.019385469332172556,0.1879396984924623,0.16855422916028975,995.0,
feature_117,bin,0.17374300997982106,,,-0.008400223025381542,0.16123581945450158,0.16963604247988312,4143.0,
