=== T*B interaction screen (OLS) ===
                          treatment            biomarker    T0_B0    T1_B0    T0_B1    T1_B1  diff_B0  diff_B1      int_p
                treatment_tamoxifen             stage_iv     5.13     5.20     3.63     3.58   +0.069   -0.049   2.09e-02
                treatment_tamoxifen       has_brain_mets     4.79     4.82     3.71     3.83   +0.035   +0.121   2.82e-01
                treatment_tamoxifen          er_positive     4.27     4.35     4.86     4.88   +0.081   +0.023   2.70e-01
                treatment_tamoxifen          pr_positive     4.45     4.50     4.81     4.85   +0.054   +0.036   7.25e-01
                treatment_tamoxifen        her2_positive     4.76     4.81     4.32     4.32   +0.046   +0.002   4.89e-01
                treatment_tamoxifen             her2_low     4.64     4.68     4.75     4.80   +0.040   +0.049   8.54e-01
                treatment_tamoxifen       brca1_mutation     4.68     4.72     4.58     4.89   +0.036   +0.313   7.69e-02
                treatment_tamoxifen       brca2_mutation     4.68     4.73     4.56     4.60   +0.043   +0.039   9.76e-01
                treatment_tamoxifen      pik3ca_mutation     4.87     4.92     4.31     4.36   +0.049   +0.045   9.41e-01
                treatment_tamoxifen       postmenopausal     4.69     4.76     4.68     4.70   +0.069   +0.026   3.92e-01
                treatment_tamoxifen        node_positive     4.69     4.73     4.67     4.72   +0.038   +0.048   8.25e-01
              treatment_palbociclib             stage_iv     4.77     5.87     3.23     4.33   +1.096   +1.102   9.01e-01
              treatment_palbociclib       has_brain_mets     4.42     5.52     3.39     4.45   +1.099   +1.058   5.86e-01
              treatment_palbociclib          er_positive     4.30     4.29     4.31     5.89   -0.017   +1.577  9.31e-229
              treatment_palbociclib          pr_positive     4.32     4.72     4.30     5.79   +0.399   +1.491  2.60e-117
              treatment_palbociclib        her2_positive     4.31     5.66     4.32     4.31   +1.350   -0.014  2.19e-118
              treatment_palbociclib             her2_low     4.32     5.26     4.29     5.65   +0.943   +1.363   9.33e-19
              treatment_palbociclib       brca1_mutation     4.31     5.41     4.32     5.35   +1.100   +1.028   6.22e-01
              treatment_palbociclib       brca2_mutation     4.31     5.41     4.23     5.17   +1.102   +0.943   2.78e-01
              treatment_palbociclib      pik3ca_mutation     4.31     5.97     4.32     4.35   +1.659   +0.036  4.00e-255
              treatment_palbociclib       postmenopausal     4.29     5.47     4.32     5.37   +1.179   +1.045   4.29e-03
              treatment_palbociclib        node_positive     4.32     5.42     4.30     5.39   +1.104   +1.092   7.88e-01
              treatment_trastuzumab             stage_iv     5.17     5.09     3.62     3.61   -0.075   -0.006   2.38e-01
              treatment_trastuzumab       has_brain_mets     4.81     4.75     3.75     3.76   -0.065   +0.014   3.84e-01
              treatment_trastuzumab          er_positive     4.31     4.23     4.87     4.83   -0.085   -0.049   5.55e-01
              treatment_trastuzumab          pr_positive     4.49     4.37     4.83     4.80   -0.116   -0.026   1.20e-01
              treatment_trastuzumab        her2_positive     4.79     4.74     4.33     4.25   -0.051   -0.079   6.95e-01
              treatment_trastuzumab             her2_low     4.67     4.58     4.77     4.75   -0.084   -0.016   2.41e-01
              treatment_trastuzumab       brca1_mutation     4.71     4.64     4.67     4.66   -0.062   -0.016   7.97e-01
              treatment_trastuzumab       brca2_mutation     4.71     4.65     4.62     4.35   -0.055   -0.277   2.17e-01
              treatment_trastuzumab      pik3ca_mutation     4.90     4.84     4.34     4.27   -0.057   -0.070   8.26e-01
              treatment_trastuzumab       postmenopausal     4.71     4.70     4.70     4.61   -0.007   -0.096   1.18e-01
              treatment_trastuzumab        node_positive     4.71     4.67     4.70     4.62   -0.049   -0.072   6.87e-01
                 treatment_olaparib             stage_iv     5.15     5.15     3.63     3.52   -0.005   -0.109   1.84e-01
                 treatment_olaparib       has_brain_mets     4.80     4.78     3.76     3.65   -0.027   -0.115   4.75e-01
                 treatment_olaparib          er_positive     4.30     4.29     4.87     4.82   -0.013   -0.051   6.40e-01
                 treatment_olaparib          pr_positive     4.46     4.46     4.83     4.77   -0.000   -0.058   4.62e-01
                 treatment_olaparib        her2_positive     4.78     4.76     4.33     4.19   -0.014   -0.142   1.89e-01
                 treatment_olaparib             her2_low     4.65     4.61     4.77     4.74   -0.047   -0.022   7.54e-01
                 treatment_olaparib       brca1_mutation     4.70     4.65     4.63     5.03   -0.047   +0.398   6.59e-02
                 treatment_olaparib       brca2_mutation     4.70     4.66     4.54     4.84   -0.045   +0.295   1.63e-01
                 treatment_olaparib      pik3ca_mutation     4.89     4.86     4.33     4.30   -0.029   -0.030   9.86e-01
                 treatment_olaparib       postmenopausal     4.71     4.66     4.69     4.66   -0.049   -0.028   7.88e-01
                 treatment_olaparib        node_positive     4.71     4.64     4.68     4.68   -0.071   -0.002   3.60e-01
    treatment_sacituzumab_govitecan             stage_iv     5.15     5.16     3.62     3.62   +0.007   +0.006   9.90e-01
    treatment_sacituzumab_govitecan       has_brain_mets     4.80     4.77     3.73     3.90   -0.030   +0.162   1.21e-01
    treatment_sacituzumab_govitecan          er_positive     4.30     4.26     4.86     4.88   -0.046   +0.014   4.53e-01
    treatment_sacituzumab_govitecan          pr_positive     4.46     4.48     4.82     4.81   +0.016   -0.014   6.97e-01
    treatment_sacituzumab_govitecan        her2_positive     4.78     4.75     4.31     4.39   -0.028   +0.076   2.88e-01
    treatment_sacituzumab_govitecan             her2_low     4.65     4.66     4.77     4.74   +0.007   -0.031   6.26e-01
    treatment_sacituzumab_govitecan       brca1_mutation     4.69     4.69     4.70     4.43   -0.000   -0.267   2.55e-01
    treatment_sacituzumab_govitecan       brca2_mutation     4.70     4.69     4.57     4.56   -0.007   -0.013   9.79e-01
    treatment_sacituzumab_govitecan      pik3ca_mutation     4.89     4.86     4.32     4.36   -0.028   +0.037   4.05e-01
    treatment_sacituzumab_govitecan       postmenopausal     4.71     4.66     4.68     4.70   -0.051   +0.022   3.39e-01
    treatment_sacituzumab_govitecan        node_positive     4.71     4.66     4.68     4.71   -0.046   +0.030   3.06e-01
            treatment_pembrolizumab             stage_iv     5.17     5.08     3.62     3.59   -0.090   -0.031   3.66e-01
            treatment_pembrolizumab       has_brain_mets     4.81     4.74     3.77     3.65   -0.069   -0.121   6.15e-01
            treatment_pembrolizumab          er_positive     4.29     4.31     4.88     4.77   +0.020   -0.111   5.01e-02
            treatment_pembrolizumab          pr_positive     4.47     4.44     4.84     4.74   -0.030   -0.100   2.79e-01
            treatment_pembrolizumab        her2_positive     4.79     4.72     4.33     4.23   -0.067   -0.105   6.34e-01
            treatment_pembrolizumab             her2_low     4.67     4.57     4.77     4.74   -0.100   -0.029   2.74e-01
            treatment_pembrolizumab       brca1_mutation     4.70     4.63     4.71     4.45   -0.069   -0.257   3.39e-01
            treatment_pembrolizumab       brca2_mutation     4.71     4.63     4.56     4.60   -0.077   +0.032   5.88e-01
            treatment_pembrolizumab      pik3ca_mutation     4.90     4.81     4.33     4.30   -0.090   -0.037   4.17e-01
            treatment_pembrolizumab       postmenopausal     4.72     4.66     4.70     4.61   -0.057   -0.084   6.74e-01
            treatment_pembrolizumab        node_positive     4.72     4.61     4.69     4.65   -0.116   -0.033   1.84e-01
