treatment,feature,beta,p
treatment_venetoclax_azacitidine,npm1_mutation,1.0548841160877096,5.497046064987807e-102
treatment_venetoclax_azacitidine,unfit_for_intensive,0.8829270025227582,1.1387627191389427e-78
treatment_venetoclax_azacitidine,tp53_mutation,-0.40940473531314797,4.665806287159451e-07
treatment_venetoclax_azacitidine,complex_karyotype,-0.30575454966615867,5.999433093463627e-06
treatment_enasidenib,sex_female,0.31449567365143927,0.00022291835549053022
treatment_enasidenib,hemoglobin_g_dl,-0.07792850157541159,0.0011557284755917424
treatment_7plus3,complex_karyotype,-0.2134275800216194,0.0015137615029900125
treatment_venetoclax_azacitidine,blast_pct_marrow,0.003526110259348815,0.0035149753072974575
treatment_ivosidenib,npm1_mutation,-0.19998687481162047,0.028371455316278257
treatment_enasidenib,unfit_for_intensive,0.18674554834488602,0.028968652281717196
treatment_gilteritinib,unfit_for_intensive,0.13543150401331827,0.037438328354329684
treatment_ivosidenib,unfit_for_intensive,-0.15740487928329466,0.06631049179152654
treatment_enasidenib,wbc_k_per_ul,0.0027584235657405884,0.0737233167487217
treatment_ivosidenib,idh1_mutation,-0.3042444716232385,0.07680133567751081
treatment_enasidenib,secondary_aml,-0.17898885144577925,0.07704206286913454
treatment_venetoclax_azacitidine,wbc_k_per_ul,0.0016532741763277206,0.08323015274221417
treatment_7plus3,npm1_mutation,-0.07473676989131714,0.12107994035296124
treatment_ivosidenib,crp_mg_l,0.007100239456146836,0.1430189270437092
treatment_7plus3,secondary_aml,-0.07775021312746672,0.1456166316224171
treatment_7plus3,idh1_mutation,0.12776201507361865,0.1464942453549709
treatment_midostaurin,secondary_aml,0.1060025758061024,0.1480800796575524
treatment_gilteritinib,flt3_tkd,-0.21298807309759904,0.1560941844355262
treatment_enasidenib,flt3_tkd,-0.2853115859458972,0.1588686895452529
treatment_7plus3,nlr,0.015257733090577066,0.16421623109431938
treatment_enasidenib,age_years,-0.005289279185601315,0.17189559824906253
treatment_ivosidenib,blast_pct_marrow,-0.002889110967934757,0.1889220405378217
treatment_midostaurin,flt3_itd,-0.10631846902223639,0.19457122585331665
treatment_7plus3,hemoglobin_g_dl,0.015515748707097168,0.22625317291624591
treatment_ivosidenib,wbc_k_per_ul,0.00203087786915702,0.24677759903723728
treatment_enasidenib,nlr,0.02255453356845392,0.2511189668127277
treatment_enasidenib,tp53_mutation,-0.17094728501026296,0.2569402233365108
treatment_gilteritinib,sex_female,0.07241599304075724,0.26441738328798436
treatment_venetoclax_azacitidine,ecog_ps,0.0380973445247948,0.27884250629346086
treatment_enasidenib,crp_mg_l,-0.005411762492268371,0.31601449741925813
treatment_gilteritinib,flt3_itd,0.07919365586612433,0.32305078184226177
treatment_gilteritinib,complex_karyotype,-0.0941059275564495,0.32815306136679623
