=== Univariate response rates by binary feature ===
  sex_female: 0.189 vs 0.186 (diff=0.003, chi2 p=0.4208)
  secondary_aml: 0.188 vs 0.187 (diff=0.001, chi2 p=0.851)
  unfit_for_intensive: 0.221 vs 0.165 (diff=0.056, chi2 p=1.879e-55)
  complex_karyotype: 0.168 vs 0.191 (diff=-0.023, chi2 p=3.311e-06)
  flt3_itd: 0.189 vs 0.187 (diff=0.002, chi2 p=0.6365)
  flt3_tkd: 0.180 vs 0.188 (diff=-0.007, chi2 p=0.3371)
  idh1_mutation: 0.191 vs 0.187 (diff=0.004, chi2 p=0.5959)
  idh2_mutation: 0.191 vs 0.187 (diff=0.004, chi2 p=0.4743)
  npm1_mutation: 0.235 vs 0.167 (diff=0.067, chi2 p=5.789e-70)
  tp53_mutation: 0.166 vs 0.190 (diff=-0.024, chi2 p=3.511e-05)

=== Univariate response rates by ECOG ===
  ECOG=0: rate=0.231, n=17592
  ECOG=1: rate=0.174, n=24971
  ECOG=2: rate=0.129, n=7437
  chi2 p=1.79e-90

=== Continuous features: t-test between responders/non-responders ===
  age_years: resp=67.98, non=68.00, diff=-0.018, t-test p=0.8817
  wbc_k_per_ul: resp=19.27, non=20.39, diff=-1.114, t-test p=0.0001486
  blast_pct_marrow: resp=58.49, non=60.30, diff=-1.801, t-test p=2.016e-16
  albumin_g_dl: resp=3.82, non=3.80, diff=0.029, t-test p=2.726e-07
  ldh_u_l: resp=223.12, non=223.98, diff=-0.866, t-test p=0.3509
  weight_loss_pct_6mo: resp=3.44, non=3.95, diff=-0.510, t-test p=1.687e-33
  crp_mg_l: resp=5.69, non=6.17, diff=-0.476, t-test p=1.62e-06
  nlr: resp=3.50, non=3.50, diff=-0.002, t-test p=0.92
  hemoglobin_g_dl: resp=12.48, non=12.51, diff=-0.030, t-test p=0.1506
  alkaline_phosphatase_u_l: resp=105.22, non=104.12, diff=1.105, t-test p=0.05339
  ast_u_l: resp=27.83, non=28.04, diff=-0.204, t-test p=0.1269
  alt_u_l: resp=25.91, non=25.73, diff=0.181, t-test p=0.201
  total_bilirubin_mg_dl: resp=0.67, non=0.67, diff=-0.004, t-test p=0.2129
  creatinine_mg_dl: resp=1.00, non=1.00, diff=-0.001, t-test p=0.7138
  bun_mg_dl: resp=15.01, non=14.98, diff=0.034, t-test p=0.5509
  sodium_meq_l: resp=139.96, non=139.97, diff=-0.017, t-test p=0.6161
  potassium_meq_l: resp=4.20, non=4.20, diff=-0.002, t-test p=0.7637
  calcium_mg_dl: resp=9.40, non=9.40, diff=0.001, t-test p=0.8137
