=== Adjusted treatment x biomarker interaction screen ===
                          treatment            biomarker     main_T   int_coef      int_p
                treatment_tamoxifen             stage_iv     +0.009     -0.039   1.43e-01
                treatment_tamoxifen       has_brain_mets     -0.004     +0.017   6.80e-01
                treatment_tamoxifen          er_positive     -0.008     +0.007   7.88e-01
                treatment_tamoxifen          pr_positive     +0.005     -0.012   6.28e-01
                treatment_tamoxifen        her2_positive     -0.004     +0.011   7.41e-01
                treatment_tamoxifen             her2_low     +0.004     -0.018   4.73e-01
                treatment_tamoxifen       brca1_mutation     -0.004     +0.063   4.21e-01
                treatment_tamoxifen       brca2_mutation     -0.004     +0.047   5.51e-01
                treatment_tamoxifen      pik3ca_mutation     +0.001     -0.010   7.01e-01
                treatment_tamoxifen       postmenopausal     +0.002     -0.008   7.40e-01
                treatment_tamoxifen        node_positive     -0.007     +0.009   6.98e-01
              treatment_palbociclib             stage_iv     +1.097     +0.015   5.12e-01
              treatment_palbociclib       has_brain_mets     +1.103     -0.016   6.57e-01
              treatment_palbociclib          er_positive     +0.012     +1.559   0.00e+00
              treatment_palbociclib          pr_positive     +0.443     +1.030   0.00e+00
              treatment_palbociclib        her2_positive     +1.346     -1.338   0.00e+00
              treatment_palbociclib             her2_low     +0.960     +0.383   3.93e-67
              treatment_palbociclib       brca1_mutation     +1.104     -0.093   1.74e-01
              treatment_palbociclib       brca2_mutation     +1.106     -0.159   2.02e-02
              treatment_palbociclib      pik3ca_mutation     +1.679     -1.665   0.00e+00
              treatment_palbociclib       postmenopausal     +1.117     -0.026   2.41e-01
              treatment_palbociclib        node_positive     +1.111     -0.020   3.56e-01
              treatment_trastuzumab             stage_iv     -0.029     +0.058   5.78e-02
              treatment_trastuzumab       has_brain_mets     -0.009     -0.022   6.35e-01
              treatment_trastuzumab          er_positive     -0.007     -0.006   8.54e-01
              treatment_trastuzumab          pr_positive     -0.011     -0.001   9.74e-01
              treatment_trastuzumab        her2_positive     -0.013     +0.008   8.13e-01
              treatment_trastuzumab             her2_low     -0.003     -0.022   4.47e-01
              treatment_trastuzumab       brca1_mutation     -0.009     -0.086   3.42e-01
              treatment_trastuzumab       brca2_mutation     -0.008     -0.148   1.02e-01
              treatment_trastuzumab      pik3ca_mutation     -0.016     +0.013   6.52e-01
              treatment_trastuzumab       postmenopausal     +0.007     -0.030   2.90e-01
              treatment_trastuzumab        node_positive     +0.002     -0.028   3.25e-01
                 treatment_olaparib             stage_iv     -0.018     -0.007   8.68e-01
                 treatment_olaparib       has_brain_mets     -0.013     -0.075   2.28e-01
                 treatment_olaparib          er_positive     +0.011     -0.044   2.84e-01
                 treatment_olaparib          pr_positive     -0.010     -0.015   6.99e-01
                 treatment_olaparib        her2_positive     -0.028     +0.042   3.87e-01
                 treatment_olaparib             her2_low     -0.015     -0.013   7.46e-01
                 treatment_olaparib       brca1_mutation     -0.023     +0.102   4.04e-01
                 treatment_olaparib       brca2_mutation     -0.020     -0.016   8.95e-01
                 treatment_olaparib      pik3ca_mutation     -0.035     +0.041   3.00e-01
                 treatment_olaparib       postmenopausal     -0.058     +0.062   1.05e-01
                 treatment_olaparib        node_positive     -0.000     -0.039   2.93e-01
    treatment_sacituzumab_govitecan             stage_iv     +0.019     +0.043   2.94e-01
    treatment_sacituzumab_govitecan       has_brain_mets     +0.012     +0.195   1.91e-03
    treatment_sacituzumab_govitecan          er_positive     +0.021     +0.015   7.17e-01
    treatment_sacituzumab_govitecan          pr_positive     +0.062     -0.048   2.11e-01
    treatment_sacituzumab_govitecan        her2_positive     +0.034     -0.014   7.75e-01
    treatment_sacituzumab_govitecan             her2_low     +0.016     +0.042   2.80e-01
    treatment_sacituzumab_govitecan       brca1_mutation     +0.033     -0.063   5.90e-01
    treatment_sacituzumab_govitecan       brca2_mutation     +0.030     +0.060   6.02e-01
    treatment_sacituzumab_govitecan      pik3ca_mutation     +0.043     -0.033   4.04e-01
    treatment_sacituzumab_govitecan       postmenopausal     +0.039     -0.012   7.50e-01
    treatment_sacituzumab_govitecan        node_positive     +0.028     +0.008   8.35e-01
            treatment_pembrolizumab             stage_iv     -0.032     +0.028   4.18e-01
            treatment_pembrolizumab       has_brain_mets     -0.022     -0.023   6.51e-01
            treatment_pembrolizumab          er_positive     +0.028     -0.075   2.77e-02
            treatment_pembrolizumab          pr_positive     -0.003     -0.034   2.99e-01
            treatment_pembrolizumab        her2_positive     -0.032     +0.042   3.01e-01
            treatment_pembrolizumab             her2_low     -0.038     +0.039   2.31e-01
            treatment_pembrolizumab       brca1_mutation     -0.025     +0.019   8.46e-01
            treatment_pembrolizumab       brca2_mutation     -0.023     -0.035   7.31e-01
            treatment_pembrolizumab      pik3ca_mutation     -0.038     +0.041   2.12e-01
            treatment_pembrolizumab       postmenopausal     -0.004     -0.033   3.05e-01
            treatment_pembrolizumab        node_positive     -0.006     -0.036   2.54e-01
