T,X,beta_T,beta_X,beta_TX,p_TX,r2
feature_018,feature_016,-0.005369639565084856,-0.12056494586214238,2.5577380659993887,0.0,0.051597205179507055
feature_018,feature_031,0.57085994577328,-0.005388153656564327,-0.5622454664612403,5.297369973648298e-41,0.010328314698799912
feature_018,smk_current,0.2394412426216438,-0.7288745678402204,0.27226210278256036,1.7175514996154524e-09,0.022329167479262946
feature_018,feature_028,0.3451940985009192,-0.6396744534087673,-0.487945540420866,4.1313065280663427e-07,0.011391033429141717
feature_018,feature_022,0.353058303115273,0.2726647562358336,-0.24072099610673087,9.926922175073697e-05,0.005833349028178003
feature_018,hist_squam,0.2772759108460171,-0.9186019080335492,0.1712550836236078,0.00018718669250599213,0.03464742912818519
feature_012,feature_017,-0.03712862083973933,-0.31936254303182615,0.07137240294778803,0.0003150592440322422,0.016456681023728104
feature_018,feature_005,0.33203174343342223,-0.001426202800895809,-0.3343152187198042,0.006070662780619012,0.004965959837961997
feature_012,feature_023,-0.10211472453392266,-1.4912791876347573,0.10771493675141033,0.00676786384213067,0.0947886835130306
feature_018,feature_015,0.32005590275878687,1.6782786354121648,0.03481121226772852,0.010137873802578592,0.5779799594871411
feature_020,feature_029,-0.02470292462548311,-0.022678083300140005,0.053841909937308426,0.013555543154406099,0.0001564998366985204
feature_027,feature_028,-0.007285410927082637,-0.882925239723682,0.23808502627719602,0.01721829999587659,0.006283685117613902
feature_020,feature_024,-0.02489142373696428,-0.012182194672335266,0.05009454957401934,0.021512049929236526,0.00013328677374324638
feature_027,feature_005,0.010677578876946443,-0.0471478713941343,-0.25400166123501244,0.04959220664318012,0.00016084260997206723
feature_012,feature_016,-0.020451293508684725,0.8383197576887739,-0.11347974177707143,0.05651087070858939,0.013745267103949854
feature_020,feature_026,-0.024888496015219256,-0.024483030423074016,0.04047877463618822,0.06262215564078058,0.0001253025071460412
feature_012,feature_032,-0.03461758044537162,-0.06004946938981794,0.03717328943384684,0.06270700157131441,0.00047122532465704303
feature_012,feature_029,-0.03474603830380459,0.01163805970118226,-0.0361047145762113,0.0706788551189511,0.00013438907219864848
