family,task,variant,n,intended_n,primary_n,primary_rate,strict_n,strict_rate,rate_at_95,rmst_iterations
clinical,all,named,100,100,9,0.09,6,0.06,0.06,23.18
clinical,all,anonymized,100,100,5,0.05,5,0.05,0.05,24.01
clinical,aml,named,20,20,2,0.1,2,0.1,0.1,22.95
clinical,aml,anonymized,20,20,0,0.0,0,0.0,0.0,25.0
clinical,breast,named,20,20,0,0.0,0,0.0,0.0,25.0
clinical,breast,anonymized,20,20,0,0.0,0,0.0,0.0,25.0
clinical,crc,named,20,20,3,0.15,0,0.0,0.0,21.95
clinical,crc,anonymized,20,20,0,0.0,0,0.0,0.0,25.0
clinical,nsclc,named,20,20,0,0.0,0,0.0,0.0,25.0
clinical,nsclc,anonymized,20,20,0,0.0,0,0.0,0.0,25.0
clinical,prostate,named,20,20,4,0.2,4,0.2,0.2,21.0
clinical,prostate,anonymized,20,20,5,0.25,5,0.25,0.25,20.05
depmap,all,named,25,25,0,0.0,0,0.0,0.0,10.0
depmap,all,anonymized,25,25,0,0.0,0,0.0,0.0,10.0
depmap,depmap,named,25,25,0,0.0,0,0.0,0.0,10.0
depmap,depmap,anonymized,25,25,0,0.0,0,0.0,0.0,10.0
