job_id,family,task,variant,replicate,v1_primary,v2_primary_recovered,v2_strict_recovered,v2_confirmed_recovered,v2_interaction_confirmed_recovered,v2_primary_iteration,v2_confirmed_iteration
job_0001,clinical,prostate,anonymized,5,False,True,True,True,False,5.0,5.0
job_0002,clinical,prostate,anonymized,10,True,True,True,True,True,4.0,4.0
job_0003,clinical,crc,anonymized,9,False,False,False,False,False,,
job_0004,clinical,nsclc,anonymized,18,False,False,False,False,False,,
job_0005,clinical,breast,anonymized,2,False,False,False,False,False,,
job_0006,clinical,crc,anonymized,14,False,False,False,False,False,,
job_0007,clinical,nsclc,anonymized,12,False,False,False,False,False,,
job_0008,clinical,prostate,named,18,False,False,False,False,False,,
job_0009,depmap,depmap,anonymized,24,False,False,False,False,False,,
job_0010,depmap,depmap,anonymized,14,False,False,False,False,False,,
job_0011,clinical,prostate,anonymized,11,False,False,False,False,False,,
job_0012,clinical,breast,anonymized,5,False,False,False,False,False,,
job_0013,depmap,depmap,named,23,False,False,False,False,False,,
job_0014,clinical,prostate,anonymized,8,False,False,False,False,False,,
job_0015,clinical,nsclc,anonymized,9,False,False,False,False,False,,
job_0016,depmap,depmap,anonymized,19,False,False,False,False,False,,
job_0017,clinical,crc,anonymized,4,False,False,False,False,False,,
job_0018,clinical,nsclc,anonymized,16,False,False,False,False,False,,
job_0019,clinical,nsclc,named,18,False,False,False,False,False,,
job_0020,depmap,depmap,named,17,False,False,False,False,False,,
job_0021,clinical,prostate,named,1,False,True,True,True,False,4.0,4.0
job_0022,clinical,aml,named,2,False,True,True,True,False,5.0,5.0
job_0023,depmap,depmap,anonymized,8,False,False,False,False,False,,
job_0024,depmap,depmap,named,10,False,False,False,False,False,,
job_0025,clinical,nsclc,anonymized,4,False,False,False,False,False,,
job_0026,clinical,breast,named,11,False,False,False,False,False,,
job_0027,depmap,depmap,named,1,False,False,False,False,False,,
job_0028,clinical,prostate,anonymized,3,True,True,True,True,True,7.0,7.0
job_0029,clinical,aml,named,8,False,False,False,False,False,,
job_0030,depmap,depmap,anonymized,18,False,False,False,False,False,,
job_0031,clinical,aml,named,19,False,True,True,True,False,5.0,5.0
job_0032,depmap,depmap,anonymized,1,False,False,False,False,False,,
job_0033,clinical,breast,anonymized,6,False,False,False,False,False,,
job_0034,clinical,crc,anonymized,18,False,False,False,False,False,,
job_0035,clinical,aml,named,12,False,False,False,False,False,,
job_0036,clinical,nsclc,named,11,False,False,False,False,False,,
job_0037,clinical,breast,anonymized,17,False,False,False,False,False,,
job_0038,clinical,breast,named,13,False,False,False,False,False,,
job_0039,clinical,breast,named,14,False,False,False,False,False,,
job_0040,clinical,crc,named,8,False,False,False,False,False,,
job_0041,clinical,nsclc,anonymized,15,False,False,False,False,False,,
job_0042,clinical,nsclc,named,5,False,False,False,False,False,,
job_0043,clinical,breast,anonymized,7,False,False,False,False,False,,
job_0044,clinical,prostate,named,10,False,False,False,False,False,,
job_0045,clinical,prostate,anonymized,20,False,True,True,True,False,3.0,3.0
job_0046,clinical,breast,anonymized,15,False,False,False,False,False,,
job_0047,clinical,breast,anonymized,12,False,False,False,False,False,,
job_0048,clinical,crc,anonymized,10,False,False,False,False,False,,
job_0049,depmap,depmap,named,13,False,False,False,False,False,,
job_0050,clinical,breast,named,1,False,False,False,False,False,,
job_0051,clinical,prostate,named,12,False,False,False,False,False,,
job_0052,clinical,crc,named,7,False,False,False,False,False,,
job_0053,clinical,breast,anonymized,10,False,False,False,False,False,,
job_0054,clinical,crc,named,16,False,False,False,False,False,,
job_0055,clinical,aml,anonymized,8,False,False,False,False,False,,
job_0056,clinical,crc,anonymized,8,False,False,False,False,False,,
job_0057,depmap,depmap,anonymized,11,False,False,False,False,False,,
job_0058,depmap,depmap,named,5,False,False,False,False,False,,
job_0059,clinical,breast,anonymized,13,False,False,False,False,False,,
job_0060,clinical,prostate,named,8,False,True,True,True,False,3.0,3.0
job_0061,clinical,prostate,anonymized,15,False,False,False,False,False,,
job_0062,clinical,nsclc,named,17,False,False,False,False,False,,
job_0063,clinical,prostate,anonymized,12,False,True,True,True,False,5.0,5.0
job_0064,clinical,nsclc,named,15,False,True,True,True,False,4.0,4.0
job_0065,depmap,depmap,anonymized,10,False,False,False,False,False,,
job_0066,depmap,depmap,named,2,False,False,False,False,False,,
job_0067,clinical,aml,named,16,False,True,True,True,False,4.0,4.0
job_0068,clinical,breast,named,8,False,False,False,False,False,,
job_0069,clinical,breast,anonymized,16,False,False,False,False,False,,
job_0070,clinical,prostate,named,5,True,True,True,True,True,5.0,5.0
job_0071,depmap,depmap,named,22,False,False,False,False,False,,
job_0072,depmap,depmap,named,21,False,False,False,False,False,,
job_0073,clinical,aml,named,10,False,True,True,True,False,5.0,5.0
job_0074,clinical,aml,named,15,False,False,False,False,False,,
job_0075,clinical,prostate,anonymized,7,False,False,False,False,False,,
job_0076,depmap,depmap,named,16,False,False,False,False,False,,
job_0077,clinical,prostate,anonymized,14,False,False,False,False,False,,
job_0078,clinical,aml,anonymized,3,False,False,False,False,False,,
job_0079,clinical,breast,named,6,False,False,False,False,False,,
job_0080,clinical,crc,anonymized,19,False,False,False,False,False,,
job_0081,clinical,crc,named,10,False,False,False,False,False,,
job_0082,clinical,crc,anonymized,12,False,True,False,True,False,5.0,5.0
job_0083,clinical,breast,anonymized,3,False,False,False,False,False,,
job_0084,clinical,prostate,anonymized,2,False,False,False,False,False,,
job_0085,clinical,crc,anonymized,1,False,False,False,False,False,,
job_0086,clinical,crc,anonymized,20,False,False,False,False,False,,
job_0087,clinical,breast,anonymized,9,False,False,False,False,False,,
job_0088,clinical,aml,anonymized,17,False,False,False,False,False,,
job_0089,clinical,breast,named,19,False,False,False,False,False,,
job_0090,clinical,breast,anonymized,1,False,False,False,False,False,,
job_0091,clinical,breast,anonymized,18,False,False,False,False,False,,
job_0092,depmap,depmap,anonymized,12,False,False,False,False,False,,
job_0093,clinical,crc,anonymized,6,False,False,False,False,False,,
job_0094,clinical,aml,named,20,True,True,True,True,True,4.0,4.0
job_0095,depmap,depmap,anonymized,7,False,False,False,False,False,,
job_0096,clinical,prostate,named,3,False,False,False,False,False,,
job_0097,clinical,aml,anonymized,5,False,False,False,False,False,,
job_0098,clinical,prostate,named,11,False,True,True,True,False,4.0,4.0
job_0099,clinical,prostate,named,15,False,False,False,False,False,,
job_0100,clinical,crc,anonymized,13,False,False,False,False,False,,
job_0101,clinical,nsclc,anonymized,19,False,False,False,False,False,,
job_0102,clinical,prostate,named,20,False,False,False,False,False,,
job_0103,clinical,aml,anonymized,10,False,False,False,False,False,,
job_0104,clinical,nsclc,anonymized,2,False,False,False,False,False,,
job_0105,clinical,crc,anonymized,5,False,False,False,False,False,,
job_0106,clinical,aml,named,1,False,False,False,False,False,,
job_0107,depmap,depmap,named,18,False,False,False,False,False,,
job_0108,clinical,breast,named,4,False,False,False,False,False,,
job_0109,clinical,prostate,anonymized,4,True,True,True,True,True,5.0,5.0
job_0110,clinical,breast,named,3,False,False,False,False,False,,
job_0111,clinical,aml,anonymized,15,False,False,False,False,False,,
job_0112,clinical,nsclc,named,10,False,False,False,False,False,,
job_0113,clinical,prostate,named,4,False,False,False,False,False,,
job_0114,depmap,depmap,anonymized,5,False,False,False,False,False,,
job_0115,clinical,breast,anonymized,14,False,False,False,False,False,,
job_0116,clinical,nsclc,named,3,False,False,False,False,False,,
job_0117,depmap,depmap,anonymized,3,False,False,False,False,False,,
job_0118,clinical,crc,named,20,False,False,False,False,False,,
job_0119,clinical,crc,anonymized,7,False,False,False,False,False,,
job_0120,clinical,prostate,named,14,True,True,True,True,True,5.0,5.0
job_0121,clinical,crc,named,12,False,False,False,False,False,,
job_0122,clinical,breast,named,7,False,False,False,False,False,,
job_0123,depmap,depmap,anonymized,17,False,False,False,False,False,,
job_0124,clinical,nsclc,named,9,False,False,False,False,False,,
job_0125,clinical,nsclc,anonymized,1,False,False,False,False,False,,
job_0126,clinical,nsclc,named,1,False,False,False,False,False,,
job_0127,clinical,aml,anonymized,11,False,False,False,False,False,,
job_0128,clinical,breast,named,15,False,False,False,False,False,,
job_0129,clinical,prostate,named,2,False,False,False,False,False,,
job_0130,clinical,aml,anonymized,16,False,False,False,False,False,,
job_0131,clinical,breast,named,12,False,False,False,False,False,,
job_0132,clinical,aml,anonymized,20,False,False,False,False,False,,
job_0133,clinical,nsclc,named,14,False,False,False,False,False,,
job_0134,clinical,aml,named,7,False,False,False,False,False,,
job_0135,clinical,aml,anonymized,7,False,False,False,False,False,,
job_0136,clinical,nsclc,named,20,False,False,False,False,False,,
job_0137,depmap,depmap,named,19,False,False,False,False,False,,
job_0138,clinical,prostate,anonymized,13,False,False,False,False,False,,
job_0139,depmap,depmap,named,7,False,False,False,False,False,,
job_0140,clinical,aml,anonymized,1,False,False,False,False,False,,
job_0141,depmap,depmap,named,25,False,False,False,False,False,,
job_0142,clinical,nsclc,anonymized,14,False,False,False,False,False,,
job_0143,clinical,prostate,anonymized,17,False,True,True,True,False,5.0,5.0
job_0144,clinical,nsclc,anonymized,10,False,False,False,False,False,,
job_0145,clinical,crc,named,5,False,False,False,False,False,,
job_0146,clinical,breast,anonymized,4,False,False,False,False,False,,
job_0147,clinical,aml,named,13,False,False,False,False,False,,
job_0148,clinical,aml,anonymized,13,False,False,False,False,False,,
job_0149,depmap,depmap,named,24,False,False,False,False,False,,
job_0150,clinical,breast,anonymized,8,False,False,False,False,False,,
job_0151,clinical,aml,named,18,False,True,True,True,False,4.0,4.0
job_0152,depmap,depmap,named,12,False,False,False,False,False,,
job_0153,depmap,depmap,anonymized,4,False,False,False,False,False,,
job_0154,clinical,breast,anonymized,11,False,False,False,False,False,,
job_0155,clinical,crc,named,18,False,False,False,False,False,,
job_0156,depmap,depmap,anonymized,13,False,False,False,False,False,,
job_0157,clinical,prostate,named,13,False,True,True,True,False,3.0,3.0
job_0158,clinical,aml,anonymized,14,False,False,False,False,False,,
job_0159,clinical,prostate,anonymized,1,True,True,True,True,True,7.0,7.0
job_0160,clinical,aml,anonymized,12,False,False,False,False,False,,
job_0161,clinical,aml,named,9,False,True,True,True,False,5.0,5.0
job_0162,clinical,aml,named,6,False,False,False,False,False,,
job_0163,clinical,crc,anonymized,17,False,False,False,False,False,,
job_0164,clinical,crc,anonymized,3,False,False,False,False,False,,
job_0165,depmap,depmap,named,20,False,False,False,False,False,,
job_0166,clinical,crc,anonymized,11,False,False,False,False,False,,
job_0167,clinical,crc,anonymized,16,False,False,False,False,False,,
job_0168,depmap,depmap,anonymized,25,False,False,False,False,False,,
job_0169,depmap,depmap,named,9,False,False,False,False,False,,
job_0170,clinical,crc,anonymized,2,False,True,False,True,False,7.0,7.0
job_0171,clinical,prostate,anonymized,9,False,False,False,False,False,,
job_0172,depmap,depmap,named,11,False,False,False,False,False,,
job_0173,clinical,breast,named,5,False,False,False,False,False,,
job_0174,depmap,depmap,anonymized,15,False,False,False,False,False,,
job_0175,clinical,crc,named,11,False,False,False,False,False,,
job_0176,clinical,nsclc,named,13,False,False,False,False,False,,
job_0177,clinical,crc,named,3,False,False,False,False,False,,
job_0178,clinical,nsclc,anonymized,11,False,False,False,False,False,,
job_0179,clinical,nsclc,named,19,False,False,False,False,False,,
job_0180,clinical,crc,named,15,True,True,False,True,True,5.0,5.0
job_0181,clinical,nsclc,anonymized,17,False,False,False,False,False,,
job_0182,clinical,crc,named,19,True,True,False,True,True,5.0,5.0
job_0183,depmap,depmap,named,4,False,False,False,False,False,,
job_0184,clinical,breast,anonymized,19,False,False,False,False,False,,
job_0185,clinical,breast,named,16,False,False,False,False,False,,
job_0186,clinical,crc,named,13,False,False,False,False,False,,
job_0187,clinical,nsclc,anonymized,20,False,False,False,False,False,,
job_0188,clinical,breast,named,17,False,False,False,False,False,,
job_0189,clinical,prostate,named,6,False,False,False,False,False,,
job_0190,clinical,prostate,anonymized,6,False,True,True,True,False,5.0,5.0
job_0191,clinical,crc,named,9,False,False,False,False,False,,
job_0192,clinical,nsclc,named,7,False,False,False,False,False,,
job_0193,clinical,crc,named,6,False,False,False,False,False,,
job_0194,clinical,aml,named,11,False,True,True,True,False,5.0,5.0
job_0195,clinical,aml,named,5,False,False,False,False,False,,
job_0196,clinical,nsclc,anonymized,13,False,False,False,False,False,,
job_0197,clinical,crc,anonymized,15,False,False,False,False,False,,
job_0198,clinical,prostate,named,19,False,False,False,False,False,,
job_0199,clinical,breast,named,9,False,False,False,False,False,,
job_0200,clinical,nsclc,anonymized,8,False,False,False,False,False,,
job_0201,clinical,prostate,named,17,True,True,True,True,True,7.0,7.0
job_0202,clinical,nsclc,named,12,False,False,False,False,False,,
job_0203,depmap,depmap,named,15,False,False,False,False,False,,
job_0204,depmap,depmap,anonymized,23,False,False,False,False,False,,
job_0205,clinical,breast,named,20,False,False,False,False,False,,
job_0206,clinical,nsclc,anonymized,7,False,False,False,False,False,,
job_0207,depmap,depmap,anonymized,21,False,False,False,False,False,,
job_0208,clinical,aml,anonymized,9,False,False,False,False,False,,
job_0209,clinical,aml,anonymized,4,False,False,False,False,False,,
job_0210,clinical,crc,named,2,False,True,False,True,False,4.0,4.0
job_0211,clinical,nsclc,anonymized,3,False,False,False,False,False,,
job_0212,depmap,depmap,anonymized,22,False,False,False,False,False,,
job_0213,clinical,prostate,anonymized,16,True,True,True,True,True,3.0,3.0
job_0214,clinical,nsclc,named,2,False,False,False,False,False,,
job_0215,clinical,aml,named,3,False,False,False,False,False,,
job_0216,clinical,aml,anonymized,6,False,False,False,False,False,,
job_0217,clinical,breast,named,18,False,False,False,False,False,,
job_0218,clinical,prostate,named,7,False,True,True,True,False,4.0,4.0
job_0219,depmap,depmap,named,6,False,False,False,False,False,,
job_0220,depmap,depmap,named,8,False,False,False,False,False,,
job_0221,clinical,aml,anonymized,18,False,False,False,False,False,,
job_0222,clinical,aml,anonymized,2,False,False,False,False,False,,
job_0223,depmap,depmap,anonymized,9,False,False,False,False,False,,
job_0224,depmap,depmap,anonymized,20,False,False,False,False,False,,
job_0225,clinical,nsclc,named,16,False,False,False,False,False,,
job_0226,depmap,depmap,named,14,False,False,False,False,False,,
job_0227,clinical,nsclc,named,8,False,False,False,False,False,,
job_0228,clinical,crc,named,1,False,False,False,False,False,,
job_0229,clinical,crc,named,14,False,False,False,False,False,,
job_0230,depmap,depmap,anonymized,6,False,False,False,False,False,,
job_0231,clinical,nsclc,named,4,False,False,False,False,False,,
job_0232,clinical,breast,named,10,False,False,False,False,False,,
job_0233,clinical,prostate,anonymized,18,False,False,False,False,False,,
job_0234,depmap,depmap,anonymized,16,False,False,False,False,False,,
job_0235,clinical,crc,named,4,False,True,False,True,False,6.0,7.0
job_0236,clinical,breast,anonymized,20,False,False,False,False,False,,
job_0237,depmap,depmap,named,3,False,False,False,False,False,,
job_0238,clinical,nsclc,named,6,False,False,False,False,False,,
job_0239,clinical,nsclc,anonymized,5,False,False,False,False,False,,
job_0240,clinical,prostate,named,9,True,True,True,True,True,3.0,3.0
job_0241,clinical,crc,named,17,True,True,False,True,True,4.0,4.0
job_0242,clinical,breast,named,2,False,False,False,False,False,,
job_0243,clinical,aml,named,14,False,True,True,True,False,3.0,3.0
job_0244,clinical,aml,named,4,True,True,True,True,True,5.0,5.0
job_0245,clinical,aml,named,17,False,False,False,False,False,,
job_0246,clinical,nsclc,anonymized,6,False,False,False,False,False,,
job_0247,clinical,aml,anonymized,19,False,False,False,False,False,,
job_0248,clinical,prostate,anonymized,19,False,False,False,False,False,,
job_0249,clinical,prostate,named,16,False,False,False,False,False,,
job_0250,depmap,depmap,anonymized,2,False,False,False,False,False,,
