family,task,variant,n,intended_n,primary_n,primary_rate,strict_n,strict_rate,rate_at_95,rmst_iterations,confirmed_n,interaction_confirmed_n
clinical,all,named,100,100,3,0.03,3,0.03,0.03,24.75,3,2
clinical,all,anonymized,100,100,1,0.01,1,0.01,0.01,24.96,1,0
clinical,aml,named,20,20,1,0.05,1,0.05,0.05,24.6,1,0
clinical,aml,anonymized,20,20,0,0.0,0,0.0,0.0,25.0,0,0
clinical,breast,named,20,20,0,0.0,0,0.0,0.0,25.0,0,0
clinical,breast,anonymized,20,20,0,0.0,0,0.0,0.0,25.0,0,0
clinical,crc,named,20,20,0,0.0,0,0.0,0.0,25.0,0,0
clinical,crc,anonymized,20,20,0,0.0,0,0.0,0.0,25.0,0,0
clinical,nsclc,named,20,20,1,0.05,1,0.05,0.05,24.6,1,1
clinical,nsclc,anonymized,20,20,0,0.0,0,0.0,0.0,25.0,0,0
clinical,prostate,named,20,20,1,0.05,1,0.05,0.05,24.55,1,1
clinical,prostate,anonymized,20,20,1,0.05,1,0.05,0.05,24.8,1,0
depmap,all,named,25,25,1,0.04,0,0.0,0.0,9.88,1,0
depmap,all,anonymized,25,25,0,0.0,0,0.0,0.0,10.0,0,0
depmap,depmap,named,25,25,1,0.04,0,0.0,0.0,9.88,1,0
depmap,depmap,anonymized,25,25,0,0.0,0,0.0,0.0,10.0,0,0
