job_id,family,task,variant,replicate,model_id,harness_id,max_iterations,submitted_iterations,structured_claims,unique_structured_claims,primary_recovered,primary_iteration,strict_recovered,strict_iteration,terminal_failure,recovery_at_95,confirmed_recovered,confirmed_iteration,interaction_confirmed_recovered,interaction_confirmed_iteration,recovery_at_exact_membership,capped_iterations
job_0001,clinical,prostate,anonymized,5,gpt-5.6-luna,work-structured-v2,25,25,29,25,False,,False,,False,False,False,,False,,False,25
job_0002,clinical,prostate,anonymized,10,gpt-5.6-luna,work-structured-v2,25,25,28,24,False,,False,,False,False,False,,False,,False,25
job_0003,clinical,crc,anonymized,9,gpt-5.6-luna,work-structured-v2,25,25,25,22,False,,False,,False,False,False,,False,,False,25
job_0004,clinical,nsclc,anonymized,18,gpt-5.6-luna,work-structured-v2,25,25,25,22,False,,False,,False,False,False,,False,,False,25
job_0005,clinical,breast,anonymized,2,gpt-5.6-luna,work-structured-v2,25,25,27,18,False,,False,,False,False,False,,False,,False,25
job_0006,clinical,crc,anonymized,14,gpt-5.6-luna,work-structured-v2,25,25,25,20,False,,False,,False,False,False,,False,,False,25
job_0007,clinical,nsclc,anonymized,12,gpt-5.6-luna,work-structured-v2,25,25,25,22,False,,False,,False,False,False,,False,,False,25
job_0008,clinical,prostate,named,18,gpt-5.6-luna,work-structured-v2,25,25,28,28,False,,False,,False,False,False,,False,,False,25
job_0009,depmap,depmap,anonymized,24,gpt-5.6-luna,work-structured-v2,10,10,60,44,False,,False,,False,False,False,,False,,False,10
job_0010,depmap,depmap,anonymized,14,gpt-5.6-luna,work-structured-v2,10,10,52,37,False,,False,,False,False,False,,False,,False,10
job_0011,clinical,prostate,anonymized,11,gpt-5.6-luna,work-structured-v2,25,25,27,25,False,,False,,False,False,False,,False,,False,25
job_0012,clinical,breast,anonymized,5,gpt-5.6-luna,work-structured-v2,25,25,25,18,False,,False,,False,False,False,,False,,False,25
job_0013,depmap,depmap,named,23,gpt-5.6-luna,work-structured-v2,10,10,100,70,False,,False,,False,False,False,,False,,False,10
job_0014,clinical,prostate,anonymized,8,gpt-5.6-luna,work-structured-v2,25,25,25,23,False,,False,,False,False,False,,False,,False,25
job_0015,clinical,nsclc,anonymized,9,gpt-5.6-luna,work-structured-v2,25,25,38,24,False,,False,,False,False,False,,False,,False,25
job_0016,depmap,depmap,anonymized,19,gpt-5.6-luna,work-structured-v2,10,10,38,37,False,,False,,False,False,False,,False,,False,10
job_0017,clinical,crc,anonymized,4,gpt-5.6-luna,work-structured-v2,25,25,25,24,False,,False,,False,False,False,,False,,False,25
job_0018,clinical,nsclc,anonymized,16,gpt-5.6-luna,work-structured-v2,25,25,25,25,False,,False,,False,False,False,,False,,False,25
job_0019,clinical,nsclc,named,18,gpt-5.6-luna,work-structured-v2,25,25,25,23,False,,False,,False,False,False,,False,,False,25
job_0020,depmap,depmap,named,17,gpt-5.6-luna,work-structured-v2,10,10,20,17,False,,False,,False,False,False,,False,,False,10
job_0021,clinical,prostate,named,1,gpt-5.6-luna,work-structured-v2,25,25,25,24,False,,False,,False,False,False,,False,,False,25
job_0022,clinical,aml,named,2,gpt-5.6-luna,work-structured-v2,25,25,25,25,False,,False,,False,False,False,,False,,False,25
job_0023,depmap,depmap,anonymized,8,gpt-5.6-luna,work-structured-v2,10,10,36,32,False,,False,,False,False,False,,False,,False,10
job_0024,depmap,depmap,named,10,gpt-5.6-luna,work-structured-v2,10,10,21,18,True,7.0,False,,False,False,True,7.0,False,,False,7
job_0025,clinical,nsclc,anonymized,4,gpt-5.6-luna,work-structured-v2,25,25,25,23,False,,False,,False,False,False,,False,,False,25
job_0026,clinical,breast,named,11,gpt-5.6-luna,work-structured-v2,25,25,25,25,False,,False,,False,False,False,,False,,False,25
job_0027,depmap,depmap,named,1,gpt-5.6-luna,work-structured-v2,10,10,73,60,False,,False,,False,False,False,,False,,False,10
job_0028,clinical,prostate,anonymized,3,gpt-5.6-luna,work-structured-v2,25,25,25,20,False,,False,,False,False,False,,False,,False,25
job_0029,clinical,aml,named,8,gpt-5.6-luna,work-structured-v2,25,25,25,25,False,,False,,False,False,False,,False,,False,25
job_0030,depmap,depmap,anonymized,18,gpt-5.6-luna,work-structured-v2,10,10,42,37,False,,False,,False,False,False,,False,,False,10
job_0031,clinical,aml,named,19,gpt-5.6-luna,work-structured-v2,25,25,25,24,False,,False,,False,False,False,,False,,False,25
