job_id,family,task,variant,replicate,model_id,harness_id,max_iterations,submitted_iterations,structured_claims,unique_structured_claims,primary_recovered,primary_iteration,strict_recovered,strict_iteration,terminal_failure,recovery_at_95,confirmed_recovered,confirmed_iteration,interaction_confirmed_recovered,interaction_confirmed_iteration,recovery_at_exact_membership,capped_iterations
job_0001,clinical,nsclc,anonymized,18,gpt-5.6-sol,work-structured-v2,25,25,35,24,False,,False,,False,False,False,,False,,False,25
job_0002,clinical,nsclc,anonymized,12,gpt-5.6-sol,work-structured-v2,25,25,51,33,False,,False,,False,False,False,,False,,False,25
job_0003,clinical,nsclc,anonymized,9,gpt-5.6-sol,work-structured-v2,25,25,29,23,False,,False,,False,False,False,,False,,False,25
job_0004,clinical,nsclc,anonymized,16,gpt-5.6-sol,work-structured-v2,25,25,25,17,False,,False,,False,False,False,,False,,False,25
job_0005,clinical,nsclc,named,18,gpt-5.6-sol,work-structured-v2,25,25,31,27,True,9.0,True,9.0,False,True,True,9.0,False,,True,9
job_0006,clinical,nsclc,anonymized,4,gpt-5.6-sol,work-structured-v2,25,25,25,20,False,,False,,False,False,False,,False,,False,25
job_0007,clinical,nsclc,named,11,gpt-5.6-sol,work-structured-v2,25,25,50,37,False,,False,,False,False,False,,False,,False,25
job_0008,clinical,nsclc,anonymized,15,gpt-5.6-sol,work-structured-v2,25,25,25,15,False,,False,,False,False,False,,False,,False,25
job_0009,clinical,nsclc,named,5,gpt-5.6-sol,work-structured-v2,25,25,108,91,False,,False,,False,False,False,,False,,False,25
job_0010,clinical,nsclc,named,17,gpt-5.6-sol,work-structured-v2,25,25,159,137,True,10.0,True,10.0,False,True,True,10.0,True,10.0,True,10
job_0011,clinical,nsclc,named,15,gpt-5.6-sol,work-structured-v2,25,25,125,104,True,14.0,True,14.0,False,True,True,14.0,True,20.0,True,14
job_0012,clinical,nsclc,anonymized,19,gpt-5.6-sol,work-structured-v2,25,25,37,25,False,,False,,False,False,False,,False,,False,25
job_0013,clinical,nsclc,anonymized,2,gpt-5.6-sol,work-structured-v2,25,25,38,29,False,,False,,False,False,False,,False,,False,25
job_0014,clinical,nsclc,named,10,gpt-5.6-sol,work-structured-v2,25,25,266,245,False,,False,,False,False,False,,False,,False,25
job_0015,clinical,nsclc,named,3,gpt-5.6-sol,work-structured-v2,25,25,83,54,False,,False,,False,False,False,,False,,False,25
