job_id,family,task,variant,replicate,model_id,harness_id,max_iterations,submitted_iterations,structured_claims,unique_structured_claims,primary_recovered,primary_iteration,strict_recovered,strict_iteration,terminal_failure,recovery_at_95,confirmed_recovered,confirmed_iteration,interaction_confirmed_recovered,interaction_confirmed_iteration,recovery_at_exact_membership,capped_iterations
job_0001,clinical,nsclc,anonymized,11,gpt-5.6-sol,codex-cli-structured-v2,25,25,52,45,False,,False,,False,False,False,,False,,False,25
job_0002,clinical,nsclc,named,5,gpt-5.6-sol,codex-cli-structured-v2,25,25,28,23,False,,False,,False,False,False,,False,,False,25
job_0003,clinical,nsclc,anonymized,1,gpt-5.6-sol,codex-cli-structured-v2,25,25,25,19,False,,False,,False,False,False,,False,,False,25
job_0004,clinical,nsclc,anonymized,6,gpt-5.6-sol,codex-cli-structured-v2,25,25,56,37,False,,False,,False,False,False,,False,,False,25
job_0005,clinical,nsclc,named,2,gpt-5.6-sol,codex-cli-structured-v2,25,25,62,50,False,,False,,False,False,False,,False,,False,25
job_0006,clinical,nsclc,named,9,gpt-5.6-sol,codex-cli-structured-v2,25,25,28,23,False,,False,,False,False,False,,False,,False,25
job_0007,clinical,nsclc,anonymized,3,gpt-5.6-sol,codex-cli-structured-v2,25,25,41,32,True,8.0,True,8.0,False,True,True,8.0,False,,True,8
job_0008,clinical,nsclc,named,13,gpt-5.6-sol,codex-cli-structured-v2,25,25,51,36,False,,False,,False,False,False,,False,,False,25
job_0009,clinical,nsclc,anonymized,4,gpt-5.6-sol,codex-cli-structured-v2,25,25,42,26,False,,False,,False,False,False,,False,,False,25
job_0010,clinical,nsclc,named,3,gpt-5.6-sol,codex-cli-structured-v2,25,25,44,36,True,8.0,True,8.0,False,True,True,8.0,False,,True,8
job_0011,clinical,nsclc,named,12,gpt-5.6-sol,codex-cli-structured-v2,25,25,38,27,False,,False,,False,False,False,,False,,False,25
job_0012,clinical,nsclc,anonymized,9,gpt-5.6-sol,codex-cli-structured-v2,25,25,25,17,False,,False,,False,False,False,,False,,False,25
