job_id,family,task,variant,replicate,model_id,harness_id,max_iterations,submitted_iterations,structured_claims,unique_structured_claims,primary_recovered,primary_iteration,strict_recovered,strict_iteration,terminal_failure,recovery_at_95,confirmed_recovered,confirmed_iteration,interaction_confirmed_recovered,interaction_confirmed_iteration,recovery_at_exact_membership,capped_iterations
job_0001,clinical,nsclc,anonymized,11,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,11,28,22,False,,False,,False,False,False,,False,,False,25
job_0002,clinical,nsclc,named,5,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,20,63,51,True,5.0,True,5.0,False,True,True,5.0,True,19.0,True,5
job_0003,clinical,nsclc,anonymized,1,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,15,66,54,False,,False,,False,False,False,,False,,False,25
job_0004,clinical,nsclc,anonymized,6,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,8,21,18,False,,False,,False,False,False,,False,,False,25
job_0005,clinical,nsclc,named,2,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,10,41,31,True,4.0,True,4.0,False,True,True,4.0,False,,True,4
job_0006,clinical,nsclc,named,9,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,12,47,33,True,3.0,True,3.0,False,True,True,3.0,False,,True,3
job_0007,clinical,nsclc,anonymized,3,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,10,17,16,False,,False,,False,False,False,,False,,False,25
job_0008,clinical,nsclc,named,13,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,8,28,20,True,6.0,True,6.0,False,True,True,6.0,True,7.0,True,6
job_0009,clinical,nsclc,anonymized,4,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,9,30,21,False,,False,,False,False,False,,False,,False,25
job_0010,clinical,nsclc,named,3,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,8,36,29,True,3.0,True,3.0,False,True,True,3.0,True,3.0,True,3
job_0011,clinical,nsclc,named,12,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,25,79,46,True,16.0,True,16.0,False,True,True,16.0,True,16.0,True,16
job_0012,clinical,nsclc,anonymized,9,gpt-5.6-sol,codex-cli-claude-legacy-loose-v1,25,18,29,24,False,,False,,False,False,False,,False,,False,25
