model,workflow,completed,failed,active,queued,expected_n,expected_recovered,expected_recovery,surprising_n,surprising_recovered,surprising_recovery,R,P,F1,E,B,calls,known_output_tokens,B_n,P_n,matched_pairs,matched_difference_pp
astra_medium,deliberative,11,0,6,3,5,5,1,6,6,1,0.6666666666666666,0.9622178958818055,78.68786429006452,64.06060606060606,98.98989898989899,303.6363636363636,265305.54545454547,11,11,5,0
astra_medium,persistent,16,0,1,3,8,8,1,8,8,1,0.6770833333333333,0.938662859690488,78.56779366826889,64.38888888888889,94.7172619047619,104,88291.0625,16,16,8,0
astra_medium,sequential,16,0,1,3,8,8,1,8,8,1,0.7083333333333333,0.9199229852072159,79.7494334461576,65.625,97.26190476190476,106.6875,81971.1875,14,16,8,0
gemma_4_31b,deliberative,0,0,2,18,0,0,,0,0,,,,,,,,,0,0,0,
gemma_4_31b,persistent,0,0,2,18,0,0,,0,0,,,,,,,,,0,0,0,
gemma_4_31b,sequential,0,0,1,19,0,0,,0,0,,,,,,,,,0,0,0,
luna_medium,deliberative,13,1,4,2,7,5,0.7142857142857143,6,4,0.6666666666666666,0.3376068376068376,0.9026648301816006,45.43272182306079,39.675213675213676,86.80555555555556,304.0769230769231,223319.92307692306,8,13,6,-16.666666666666664
luna_medium,persistent,14,2,1,3,7,5,0.7142857142857143,7,4,0.5714285714285714,0.42063492063492064,0.8499338023712419,53.17698924745316,45.04761904761905,83.33333333333333,102.28571428571429,72988.92857142857,8,14,6,-16.666666666666664
luna_medium,sequential,15,1,2,2,7,5,0.7142857142857143,8,5,0.625,0.4296296296296296,0.8809674797855613,56.00323812483967,47.05185185185185,74.93055555555554,102.53333333333333,71019,8,15,7,-14.285714285714285
qwen_3_8_27b,deliberative,0,0,1,19,0,0,,0,0,,,,,,,,,0,0,0,
qwen_3_8_27b,persistent,2,0,0,18,1,1,1,1,1,1,0.6666666666666666,1.0,80.0,61.0,61.111111111111114,105,181035.5,1,2,1,0
qwen_3_8_27b,sequential,1,0,0,19,1,1,1,0,0,,0.3333333333333333,1.0,49.99999999999999,60.88888888888889,66.66666666666667,104,373135,1,1,0,
sol_medium,deliberative,10,0,6,4,5,5,1,5,5,1,0.6666666666666666,0.9431269213728084,78.06256257001091,61.37777777777778,91.66666666666666,301.1,543048.5,10,10,5,0
sol_medium,persistent,15,0,3,2,8,8,1,7,7,1,0.6666666666666666,0.9450086987680726,78.08001179209096,61.762962962962966,92.94871794871794,102.2,170331,13,15,7,0
sol_medium,sequential,15,0,2,3,7,7,1,8,8,1,0.6666666666666666,0.9191869385227975,77.18420576020631,61.6,87.10317460317461,101.4,175103.93333333332,14,15,7,0
terra_medium,deliberative,16,0,2,2,8,7,0.875,8,8,1,0.6527777777777778,0.9747619047619047,77.83899149051159,59.72222222222222,93.63636363636364,300.25,165841.75,11,16,8,12.5
terra_medium,persistent,17,0,1,2,8,8,1,9,8,0.8888888888888888,0.6372549019607843,0.9798494388077154,76.87737877533488,64.0,92.3076923076923,100.52941176470588,60894.76470588235,13,17,8,-12.5
terra_medium,sequential,15,1,1,3,7,7,1,8,8,1,0.6555555555555556,0.9849551414768806,78.59373610317006,62.281481481481485,93.05555555555556,100.2,61145.2,10,15,7,0
